X,Y,Z,Timestamp
-0.29,-1.42,0.71,1719425048.3337564
-0.3,-1.31,0.57,1719425048.3337564
-0.27,-1.34,0.09,1719425048.3337564
-0.19,-1.03,-0.3,1719425048.3337564
0.02,-0.75,-0.45,1719425048.3337564
0.28,-0.47,-0.39,1719425048.3337564
0.41,-0.21,-0.05,1719425048.3337564
0.04,-0.33,0.42,1719425048.3337564
-0.59,-0.4,0.81,1719425048.3337564
-1.13,-0.31,0.82,1719425048.3337564
-0.01,0.1,-0.14,1719425048.3337564
-0.09,0.06,0.08,1719425048.3337564
-0.27,0.05,0.17,1719425048.3337564
-0.25,0.02,0.17,1719425048.3337564
-0.06,0.04,0.22,1719425048.3337564
0.31,0.1,0.39,1719425048.3337564
0.39,0.11,0.34,1719425048.3337564
0.23,0.13,0.18,1719425048.374332
0.13,0.2,0.1,1719425048.374332
0.35,0.15,0.43,1719425048.374332
0.34,0.16,0.93,1719425048.374332
0.29,0.13,0.96,1719425048.4447758
0.23,0.22,0.87,1719425048.4447758
0.06,0.22,0.88,1719425048.4447758
-0.22,0.19,0.64,1719425048.4447758
-0.08,0.14,0.7,1719425048.515744
0.11,0.22,0.76,1719425048.515744
0.02,0.16,0.58,1719425048.515744
-0.07,0.05,0.54,1719425048.515744
-0.02,0.1,0.44,1719425048.5763004
-0.12,0.11,0.39,1719425048.5763004
-0.06,0.08,0.41,1719425048.5763004
-0.08,0.13,0.45,1719425048.5763004
-0.11,0.13,0.44,1719425048.6468194
-0.15,0.15,0.51,1719425048.6468194
-0.08,0.08,0.55,1719425048.6468194
-0.1,0.08,0.47,1719425048.7074192
-0.1,0.1,0.53,1719425048.7074192
-0.11,0.14,0.42,1719425048.7074192
-0.13,0.15,0.47,1719425048.7176685
-0.16,0.08,0.51,1719425048.7779043
-0.18,0.1,0.52,1719425048.7779043
-0.07,0.16,0.54,1719425048.7779043
-0.41,0.03,0.59,1719425048.7779043
-0.44,-0.05,0.45,1719425048.8482804
-0.54,-0.06,0.38,1719425048.8482804
-0.51,-0.07,0.11,1719425048.8482804
-0.41,-0.1,-0.13,1719425048.9087372
-0.54,-0.17,-0.31,1719425048.9087372
-0.52,-0.26,-0.38,1719425048.9087372
-0.28,-0.39,-0.39,1719425048.9087372
-0.03,-0.5,-0.48,1719425048.9802525
0.13,-0.63,0.33,1719425048.9802525
0.01,-0.59,0.53,1719425048.9802525
-0.08,-0.64,0.39,1719425049.041533
-0.33,-0.7,0.19,1719425049.041533
0.01,-0.75,-0.08,1719425049.041533
-0.59,-1.78,0.18,1719425049.041533
-0.77,-1.68,0.17,1719425049.1127868
-0.83,-1.68,0.13,1719425049.1127868
-0.52,-1.51,0.37,1719425049.1127868
-0.33,-1.52,0.49,1719425049.1127868
-0.23,-1.38,0.49,1719425049.173775
