X,Y,Z,Timestamp
0.18,-0.22,0.29,1719425442.5763211
-0.09,-0.27,0.28,1719425442.5773256
-0.21,-0.17,0.36,1719425442.5773256
-0.02,-0.13,0.24,1719425442.5773256
-0.03,-0.15,0.21,1719425442.5773256
-0.18,-0.08,0.24,1719425442.5773256
-0.23,-0.13,0.35,1719425442.5773256
-0.23,-0.13,0.39,1719425442.5773256
-0.26,-0.07,0.39,1719425442.5773256
-0.21,-0.03,0.32,1719425442.5773256
-0.18,-0.16,0.44,1719425442.5773256
-0.28,-0.15,0.48,1719425442.5773256
-0.23,-0.2,0.5,1719425442.5773256
-0.15,-0.22,0.62,1719425442.5963943
-0.17,-0.09,0.7,1719425442.5963943
-0.21,-0.13,0.54,1719425442.5963943
-0.26,-0.22,0.54,1719425442.5963943
-0.23,-0.1,0.64,1719425442.6663854
-0.17,-0.15,0.63,1719425442.6663854
-0.23,-0.16,0.54,1719425442.6663854
-0.33,-0.16,0.44,1719425442.7264082
-0.27,-0.1,0.53,1719425442.7264082
-0.24,-0.18,0.52,1719425442.7264082
-0.18,-0.15,0.61,1719425442.7264082
-0.15,-0.15,0.6,1719425442.796419
-0.41,-0.24,0.73,1719425442.796419
-0.45,-0.18,0.8,1719425442.796419
-0.52,-0.28,0.8,1719425442.8574727
-0.74,-0.26,0.58,1719425442.867457
-0.88,-0.31,0.45,1719425442.867457
-0.83,-0.38,0.39,1719425442.867457
-0.7,-0.34,0.34,1719425442.9279294
-0.4,-0.31,0.41,1719425442.9279294
-0.31,-0.25,0.33,1719425442.9279294
-0.33,-0.21,0.52,1719425442.9982133
-0.24,-0.2,0.8,1719425442.9982133
-0.08,-0.25,0.69,1719425442.9982133
0.1,-0.09,0.62,1719425442.9982133
0.12,-0.12,0.52,1719425443.0583284
-0.07,-0.17,0.4,1719425443.0583284
-0.13,-0.19,0.41,1719425443.0583284
-0.14,-0.11,0.44,1719425443.0583284
-0.11,-0.11,0.32,1719425443.1296036
-0.04,-0.18,0.18,1719425443.1296036
-0.12,-0.21,0.2,1719425443.1296036
-0.2,-0.18,0.1,1719425443.1906655
-0.28,-0.33,-0.1,1719425443.1906655
-0.41,-0.32,-0.3,1719425443.200872
-0.31,-0.41,-0.26,1719425443.200872
-0.22,-0.5,0.2,1719425443.2623081
-0.3,-0.49,1.03,1719425443.2623081
-0.54,-0.49,1.42,1719425443.2623081
-0.4,-0.41,0.98,1719425443.3333857
-0.13,-0.46,0.5,1719425443.3333857
-0.14,-0.38,0.43,1719425443.3333857
-0.1,-0.44,0.46,1719425443.3333857
0.06,-0.34,0.46,1719425443.394924
0.17,-0.34,0.42,1719425443.394924
0.37,-0.29,0.39,1719425443.394924
0.44,-0.32,0.46,1719425443.4664552
0.23,-0.37,0.61,1719425443.4664552
0.1,-0.39,0.54,1719425443.4664552
0.02,-0.47,0.62,1719425443.4664552
-0.06,-0.54,0.71,1719425443.528035
-0.31,-0.54,0.68,1719425443.528035
-0.46,-0.56,0.67,1719425443.528035
-0.61,-0.51,0.65,1719425443.528035
-0.44,-0.47,0.41,1719425443.5991907
-0.1,-0.35,0.62,1719425443.5991907
-0.13,-0.35,0.64,1719425443.5991907
-0.1,-0.27,0.7,1719425443.659742
