X,Y,Z,Timestamp
-0.31,-0.03,0.89,1719425865.894396
0.02,0.07,0.49,1719425865.8953984
0.06,0.07,0.29,1719425865.8953984
0.13,0.13,0.15,1719425865.8953984
0.07,0.06,0.16,1719425865.8963974
-0.02,0.14,0.13,1719425865.8963974
-0.13,0.13,0.22,1719425865.8963974
-0.24,0.03,0.53,1719425865.8963974
-0.32,-0.08,0.68,1719425865.8963974
-0.34,0.03,0.58,1719425865.897397
-0.39,-0.03,0.45,1719425865.897397
-0.36,-0.01,0.45,1719425865.897397
-0.36,-0.06,0.6,1719425865.897397
-0.28,-0.08,0.52,1719425865.8983972
-0.35,0.02,0.59,1719425865.9399025
-0.34,-0.03,0.54,1719425865.9409046
-0.43,-0.11,0.6,1719425865.9409046
-0.39,-0.1,0.59,1719425866.006712
-0.35,-0.09,0.45,1719425866.006712
-0.28,-0.03,0.48,1719425866.006712
-0.29,-0.02,0.55,1719425866.0082161
-0.28,-0.13,0.59,1719425866.07335
-0.24,-0.07,0.63,1719425866.0743532
-0.41,-0.07,0.26,1719425866.0743532
-0.66,-0.05,0.17,1719425866.075363
-0.65,-0.18,0.1,1719425866.1400251
-0.68,-0.11,-0.01,1719425866.1410291
-0.64,-0.22,0.09,1719425866.1410291
-0.58,-0.33,0.39,1719425866.2065508
-0.39,-0.19,0.47,1719425866.2075534
0.02,-0.16,0.24,1719425866.2075534
0.27,-0.16,0.58,1719425866.2075534
0.26,-0.27,0.88,1719425866.2737496
0.3,-0.26,0.91,1719425866.2747502
-0.08,-0.28,0.87,1719425866.2747502
-0.25,-0.39,0.98,1719425866.340488
-0.28,-0.47,1.29,1719425866.3408546
0.24,-0.18,0.44,1719425866.3408546
0.16,-0.28,0.54,1719425866.3418567
0.19,-0.23,0.62,1719425866.4066694
0.17,-0.2,0.41,1719425866.4078481
0.03,-0.26,0.63,1719425866.4078481
-0.1,-0.36,0.73,1719425866.409135
-0.31,-0.37,0.7,1719425866.4733438
-0.39,-0.43,0.65,1719425866.4743493
-0.33,-0.4,0.51,1719425866.4743493
-0.39,-0.29,0.45,1719425866.5395913
-0.36,-0.38,0.52,1719425866.5405955
-0.45,-0.4,0.55,1719425866.5405955
-0.66,-0.4,0.54,1719425866.5415962
-0.58,-0.44,0.54,1719425866.6066217
-0.8,-0.41,0.47,1719425866.607622
-0.86,-0.37,0.59,1719425866.607622
-1.04,-0.39,0.6,1719425866.6736321
