X,Y,Z,Timestamp
-0.32,-0.01,0.42,1719419557.8475227
-0.26,-0.04,0.43,1719419557.8481526
-0.36,-0.08,0.56,1719419557.8487082
-0.24,-0.02,0.63,1719419557.8487082
-0.3,-0.11,0.69,1719419557.8487082
-0.33,-0.12,0.75,1719419557.8487082
-0.18,0.04,0.7,1719419557.8487082
-0.22,0.13,0.45,1719419557.8497295
-0.11,0.06,0.37,1719419557.8497295
-0.14,0.17,0.3,1719419557.853728
0.03,0.08,0.49,1719419557.8537872
0.1,0.08,0.46,1719419557.8537872
0.09,0.05,0.52,1719419557.8537872
0.25,0.07,0.87,1719419557.9205282
0.19,0.05,0.74,1719419557.921066
0.21,0.1,0.68,1719419557.921066
0.06,0.02,0.55,1719419557.921066
-0.58,0.09,0.22,1719419557.9871452
-0.4,0.18,0.02,1719419557.987211
0.08,0.13,0.24,1719419557.987211
-0.03,0.08,0.13,1719419557.9882462
-0.27,0.11,0.14,1719419558.0549161
-0.09,0.1,-0.0,1719419558.0549161
-0.66,-0.88,0.66,1719419558.0559168
-0.54,-0.86,0.65,1719419558.0559168
-0.39,-0.92,0.64,1719419558.120415
-0.7,-1.07,0.78,1719419558.120415
-0.59,-1.13,0.6,1719419558.1214342
-0.41,-1.12,0.8,1719419558.1871793
-0.43,-1.15,0.94,1719419558.1877162
-0.63,-1.14,0.95,1719419558.1877162
-0.76,-1.06,0.61,1719419558.1877162
-0.72,-0.9,0.25,1719419558.2541828
-0.56,-0.93,0.25,1719419558.2541828
-0.4,-1.0,0.59,1719419558.2553103
0.12,-0.96,0.82,1719419558.3203166
0.4,-0.75,0.51,1719419558.3207674
0.15,-0.7,0.04,1719419558.3217669
-0.12,-0.83,0.46,1719419558.3217669
-0.03,-0.87,0.57,1719419558.3869286
-0.13,-0.83,0.8,1719419558.3879452
-0.28,-0.85,0.77,1719419558.3882284
-0.28,-0.77,0.75,1719419558.3882284
-0.17,-0.92,0.78,1719419558.4536145
-0.04,-0.75,0.49,1719419558.4546335
0.05,-0.57,-0.06,1719419558.4556375
0.06,-0.5,-0.1,1719419558.5203266
-0.16,-0.55,0.26,1719419558.5203266
-0.24,-0.68,0.46,1719419558.5203266
-0.22,-0.55,0.4,1719419558.521326
-0.16,-0.59,0.67,1719419558.5871952
-0.13,-0.34,0.66,1719419558.588231
-0.11,-0.27,0.7,1719419558.588231
-0.01,-0.21,0.61,1719419558.6538255
0.06,-0.24,0.36,1719419558.6543627
-0.03,-0.13,0.24,1719419558.6543627
-0.02,-0.04,0.13,1719419558.6543627
-0.1,-0.08,0.3,1719419558.7204552
-0.16,-0.11,0.37,1719419558.7204552
-0.19,-0.11,0.71,1719419558.7214544
-0.18,-0.15,0.72,1719419558.7214544
-0.23,-0.04,0.3,1719419558.7881417
-0.13,0.04,0.27,1719419558.7881417
-0.17,0.2,-0.04,1719419558.7891424
-0.12,0.13,-0.18,1719419558.8536797
