X,Y,Z,Timestamp
0.14,0.03,0.6,1719432378.8843021
0.19,-0.0,0.55,1719432378.8853157
0.13,-0.02,0.58,1719432378.8853157
0.04,0.02,0.56,1719432378.8853157
-0.03,0.03,0.59,1719432378.8863175
0.05,-0.0,0.45,1719432378.8863175
-0.07,0.06,0.42,1719432378.8863175
-0.11,-0.01,0.61,1719432378.8863175
-0.02,-0.0,0.69,1719432378.8863175
0.02,0.02,0.68,1719432378.8873196
0.03,-0.01,0.6,1719432378.9500206
-0.01,-0.03,0.51,1719432378.9500206
-0.11,0.03,0.38,1719432378.9510202
-0.13,0.08,0.31,1719432378.9510202
0.1,0.08,0.38,1719432379.0169394
0.27,0.09,0.24,1719432379.0169394
0.39,0.14,0.22,1719432379.0169394
0.57,0.14,0.23,1719432379.0169394
0.6,0.06,0.19,1719432379.0833228
0.82,0.1,0.13,1719432379.0833228
1.02,0.08,0.16,1719432379.0843256
0.75,-0.08,0.3,1719432379.0843256
0.49,-0.13,0.4,1719432379.1502602
0.31,-0.27,0.65,1719432379.1502602
-0.42,-0.19,0.55,1719432379.151263
-0.27,-0.24,0.61,1719432379.151263
-0.35,-0.18,0.61,1719432379.217038
-0.4,-0.2,0.5,1719432379.217038
-0.51,-0.07,0.04,1719432379.217038
-0.63,-0.13,-0.04,1719432379.2836044
-0.65,-0.04,-0.5,1719432379.2836044
-1.0,-0.2,-0.75,1719432379.2836044
-0.87,-0.27,-0.87,1719432379.3502865
-0.54,-0.54,-0.93,1719432379.3502865
-0.28,-0.83,-0.4,1719432379.3502865
-0.1,-1.13,0.31,1719432379.351289
0.39,-1.12,0.82,1719432379.4166198
0.7,-1.04,1.16,1719432379.4176035
-0.23,-0.73,0.67,1719432379.4176035
-0.21,-0.78,0.76,1719432379.4186037
-0.42,-0.83,0.65,1719432379.4838507
-0.4,-0.78,0.58,1719432379.4838507
-0.56,-0.79,0.46,1719432379.4838507
-0.69,-0.83,0.34,1719432379.5502968
-0.79,-0.9,0.15,1719432379.5502968
-0.67,-0.86,0.11,1719432379.5502968
-0.34,-0.83,0.07,1719432379.5513148
-0.02,-0.77,0.15,1719432379.616936
0.49,-0.9,0.26,1719432379.616936
0.6,-0.8,0.55,1719432379.616936
0.63,-0.72,0.64,1719432379.6828735
0.71,-0.72,0.61,1719432379.6838768
0.16,-0.59,0.95,1719432379.6858773
0.36,-0.6,1.08,1719432379.6868775
0.64,-0.71,1.42,1719432379.7499576
0.54,-0.94,1.83,1719432379.7499576
0.41,-1.03,1.75,1719432379.750958
0.23,-0.95,1.13,1719432379.750958
-0.03,-0.9,0.49,1719432379.8169444
-0.21,-0.69,0.12,1719432379.8169444
-0.16,-0.62,0.13,1719432379.8169444
-0.1,-0.54,0.24,1719432379.883612
