X,Y,Z,Timestamp
-0.68,-0.68,0.3,1719432936.9084888
-0.08,0.14,0.44,1719432936.909489
-0.2,0.13,0.59,1719432936.909489
-0.23,0.02,0.71,1719432936.910489
-0.13,0.11,0.76,1719432936.910489
-0.05,0.06,1.09,1719432936.910489
0.08,0.08,0.87,1719432936.910489
-0.07,0.09,0.48,1719432936.9114892
-0.16,0.23,0.31,1719432936.9114892
-0.01,0.18,0.82,1719432936.9114892
0.18,0.07,0.55,1719432936.9124894
-0.0,0.16,0.15,1719432936.9124894
-0.07,0.28,0.11,1719432936.9134898
0.03,0.19,0.51,1719432936.9134898
-0.08,0.13,0.45,1719432936.9395077
-0.13,0.24,0.35,1719432936.9401233
-0.1,0.22,0.13,1719432936.9411268
0.16,0.28,-0.28,1719432936.9411268
0.37,0.28,-0.59,1719432937.0062683
0.1,0.12,-0.72,1719432937.007271
-0.03,-0.0,-0.65,1719432937.007271
0.24,-0.21,-0.58,1719432937.0082712
0.3,-0.36,-0.8,1719432937.0731678
0.2,-0.66,-1.05,1719432937.0731678
-0.2,-1.03,-1.02,1719432937.07417
-0.46,-1.44,-0.35,1719432937.1395304
-0.64,-1.51,0.56,1719432937.1402855
-0.33,-1.44,1.27,1719432937.1413088
-0.28,-1.33,1.53,1719432937.1413088
-0.05,-1.13,1.19,1719432937.206197
-0.15,-1.22,1.49,1719432937.2071145
-0.36,-1.0,0.64,1719432937.2071145
-0.38,-0.93,0.23,1719432937.2719913
-0.16,-0.83,0.03,1719432937.2730966
0.01,-0.8,-0.13,1719432937.2740984
-0.04,-0.75,0.18,1719432937.2740984
0.08,-0.71,0.41,1719432937.3395202
0.15,-0.68,0.32,1719432937.34019
0.27,-0.59,0.26,1719432937.34019
0.18,-0.72,0.15,1719432937.4062438
0.19,-0.63,0.13,1719432937.4062438
0.27,-0.63,0.21,1719432937.407246
0.38,-0.5,0.35,1719432937.407246
0.39,-0.47,0.17,1719432937.472882
0.49,-0.42,0.29,1719432937.472882
0.44,-0.51,0.27,1719432937.4739027
0.18,-0.84,1.12,1719432937.4739027
0.1,-0.79,0.96,1719432937.5395086
-0.21,-0.83,0.73,1719432937.5400546
-0.29,-0.72,0.56,1719432937.5410569
-0.52,-0.65,0.46,1719432937.5430574
-0.7,-0.68,0.28,1719432937.6060224
-0.77,-0.6,0.25,1719432937.6060224
-0.65,-0.43,0.23,1719432937.6070278
-0.73,-0.35,0.08,1719432937.672928
