X,Y,Z,Timestamp
0.54,-3.3,3.3,1719434110.2164354
-0.52,-0.24,0.16,1719434110.2164354
-0.48,-0.14,-0.01,1719434110.2179387
-0.46,-0.02,-0.26,1719434110.2179387
-0.47,0.08,-0.39,1719434110.2189443
-0.43,0.15,-0.28,1719434110.2189443
-0.35,0.14,0.02,1719434110.2189443
-0.33,0.12,0.33,1719434110.2199445
-0.26,0.13,0.3,1719434110.2199445
-0.14,0.14,0.31,1719434110.2199445
-0.15,0.11,0.31,1719434110.2199445
-0.15,0.15,0.47,1719434110.2199445
-0.27,0.15,0.43,1719434110.2214472
-0.41,0.2,0.21,1719434110.2615507
-0.38,0.28,0.28,1719434110.2625542
-0.26,0.19,0.44,1719434110.2625542
-0.34,0.29,0.03,1719434110.2625542
-0.34,0.38,-0.03,1719434110.3284712
-0.22,0.33,0.1,1719434110.3294854
-0.26,0.38,-0.05,1719434110.3294854
-0.15,0.45,-0.0,1719434110.3294854
0.01,0.44,0.02,1719434110.3956225
-0.07,0.42,-0.37,1719434110.3956225
-0.35,0.44,-0.5,1719434110.3956225
-0.31,0.49,-0.54,1719434110.4620998
-0.31,0.44,-0.95,1719434110.4629703
-0.2,0.64,-1.31,1719434110.4629703
-0.09,0.87,-1.79,1719434110.463972
0.13,1.16,-2.5,1719434110.529002
0.57,1.17,-2.96,1719434110.529002
0.9,0.82,-3.3,1719434110.529002
-0.04,-2.76,3.3,1719434110.5949695
-0.12,-2.66,3.2,1719434110.5949695
-0.04,-2.23,2.39,1719434110.5963585
0.2,-1.8,1.48,1719434110.5963585
0.19,-1.52,1.12,1719434110.6624453
0.49,-1.36,1.33,1719434110.6624453
0.63,-1.28,1.48,1719434110.6624453
0.82,-1.26,1.19,1719434110.6624453
0.65,-1.21,1.15,1719434110.7289937
0.37,-1.27,1.02,1719434110.7289937
0.18,-1.28,0.64,1719434110.7299984
-0.11,-1.25,0.14,1719434110.7299984
-0.18,-1.01,-0.2,1719434110.7959766
-0.15,-0.73,-0.51,1719434110.7959766
-0.11,0.66,-0.96,1719434110.7959766
-0.04,0.47,-0.92,1719434110.8624983
0.18,0.68,-0.93,1719434110.8624983
0.24,0.72,-1.13,1719434110.8624983
0.28,0.97,-1.3,1719434110.863498
0.26,1.0,-1.39,1719434110.9294312
0.09,1.01,-1.93,1719434110.9294312
0.38,1.06,-2.32,1719434110.9304311
0.56,0.91,-2.54,1719434110.9304311
0.8,0.7,-2.99,1719434110.9955814
1.14,-0.1,-3.11,1719434110.9965816
1.22,-1.12,-3.13,1719434110.9965816
1.52,-2.66,-2.81,1719434111.0617545
1.41,-3.16,-2.2,1719434111.0627546
1.21,-3.27,-0.92,1719434111.0627546
0.56,-0.71,0.74,1719434111.0627546
0.33,-0.7,0.57,1719434111.1284335
0.17,-0.69,0.32,1719434111.1284335
-0.08,-0.53,0.03,1719434111.1299279
-0.37,-0.49,-0.03,1719434111.195011
-0.48,-0.4,0.03,1719434111.196011
-0.2,-0.25,0.07,1719434111.196011
-0.23,-0.04,-0.2,1719434111.196011
-0.44,0.11,-0.27,1719434111.2619085
