X,Y,Z,Timestamp
0.1,-0.65,0.27,1719431680.941351
0.06,-0.67,0.39,1719431680.94238
-0.0,-0.64,0.56,1719431680.94238
-0.06,-0.72,0.64,1719431680.94238
-0.11,-0.69,0.59,1719431680.9434454
-0.09,-0.73,0.54,1719431680.9440668
-0.14,-0.73,0.65,1719431680.9440668
-0.16,-0.69,0.52,1719431680.9440668
-0.24,-0.62,0.42,1719431680.9440668
-0.21,-0.6,0.35,1719431680.9440668
-0.23,-0.61,0.36,1719431680.9450865
-0.19,-0.59,0.33,1719431680.9450865
-0.26,-0.62,0.36,1719431680.9450865
-0.27,-0.62,0.4,1719431680.9450865
-0.23,-0.65,0.51,1719431680.9450865
-0.28,-0.65,0.48,1719431680.946087
-0.28,-0.62,0.48,1719431680.946087
-0.23,-0.6,0.38,1719431680.946087
-0.21,-0.64,0.36,1719431680.946087
-0.14,-0.59,0.34,1719431680.946087
-0.25,-0.61,0.31,1719431680.947087
-0.15,-0.6,0.42,1719431680.947479
-0.29,-0.59,0.44,1719431680.947479
-0.26,-0.6,0.39,1719431680.947479
-0.26,-0.63,0.45,1719431680.947479
-0.37,-0.68,0.62,1719431680.947479
-0.31,-0.79,1.18,1719431680.9484785
-0.55,-1.09,2.37,1719431680.9484785
-0.83,-1.51,3.3,1719431680.9484785
-0.98,-1.98,3.3,1719431680.9484785
-0.42,-1.91,1.58,1719431680.9484785
0.18,-1.37,0.2,1719431680.9494786
0.29,-1.11,-0.03,1719431680.9494786
-0.11,-1.0,0.28,1719431680.9494786
-0.28,-1.0,0.28,1719431680.9494786
-0.27,-0.94,0.07,1719431680.9494786
-0.17,0.22,0.54,1719431680.950479
-0.11,0.23,0.64,1719431680.950479
-0.19,0.2,0.65,1719431680.950479
-0.15,0.21,0.49,1719431680.950479
-0.25,0.25,0.39,1719431680.950479
-0.25,0.2,0.42,1719431680.950479
-0.22,0.24,0.34,1719431680.951479
-0.17,0.22,0.29,1719431680.951479
-0.1,0.2,0.32,1719431680.951479
-0.17,0.2,0.42,1719431680.951479
-0.14,0.17,0.44,1719431680.951479
-0.2,0.12,0.62,1719431680.9524796
-0.24,0.1,0.9,1719431680.9524796
-0.19,0.16,0.65,1719431680.9524796
-0.23,0.15,0.72,1719431680.9524796
-0.24,0.18,0.64,1719431680.9524796
-0.07,0.18,0.47,1719431680.9535158
-0.11,0.1,0.41,1719431680.9535158
-0.12,0.11,0.37,1719431680.9535158
-0.17,0.13,0.38,1719431680.9535158
-0.08,0.1,0.26,1719431680.9535158
-0.02,0.1,0.16,1719431681.0072489
-0.13,0.11,0.26,1719431681.0082264
-0.07,0.05,0.36,1719431681.0082264
-0.13,-0.05,0.72,1719431681.0082264
-0.35,-0.11,0.99,1719431681.0739472
-0.36,-0.15,1.11,1719431681.0748181
-0.43,-0.11,1.01,1719431681.0748181
-0.32,-0.1,0.62,1719431681.0758426
-0.33,0.02,0.42,1719431681.140615
-0.31,0.02,0.37,1719431681.1414764
-0.25,0.03,0.48,1719431681.1414764
-0.51,0.01,0.08,1719431681.2072682
-0.59,-0.04,0.49,1719431681.208256
-0.58,-0.04,0.73,1719431681.208256
-0.59,-0.03,0.54,1719431681.2092772
-0.62,-0.02,0.43,1719431681.2739575
-0.49,0.03,0.28,1719431681.2748096
-0.44,0.08,0.34,1719431681.2748096
-0.39,0.07,0.38,1719431681.2748096
-0.41,0.05,0.46,1719431681.3404496
-0.45,0.13,0.46,1719431681.341431
-0.43,0.09,0.44,1719431681.341431
-0.59,0.13,0.33,1719431681.4072976
-0.87,0.01,0.45,1719431681.4083679
-1.12,-0.1,0.54,1719431681.408582
-1.14,-0.08,0.5,1719431681.408582
0.68,-0.72,0.7,1719431681.4739556
0.7,-0.7,2.02,1719431681.4748821
0.68,-0.62,3.3,1719431681.4748821
0.79,-0.44,2.15,1719431681.4758818
0.6,-0.45,1.57,1719431681.5406249
0.23,-0.53,1.26,1719431681.5416238
0.21,-0.45,1.11,1719431681.5416238
0.23,-0.54,1.05,1719431681.5416238
0.21,-0.53,0.95,1719431681.6072948
0.29,-0.52,0.73,1719431681.6082509
0.32,-0.47,0.44,1719431681.6082509
0.24,-0.44,0.21,1719431681.6739645
0.15,-0.41,-0.08,1719431681.674934
0.02,-0.32,-0.09,1719431681.674934
-0.1,-0.34,-0.24,1719431681.674934
-0.59,-0.89,0.27,1719431681.7406225
-0.3,-1.01,0.55,1719431681.7429044
-0.54,-1.13,0.8,1719431681.744273
-0.55,-1.09,0.7,1719431681.8072863
-0.12,-1.15,1.19,1719431681.8084517
0.14,-1.16,1.36,1719431681.8084517
0.2,-0.97,1.22,1719431681.8084517
0.34,-0.85,1.01,1719431681.8739624
0.36,-0.73,0.79,1719431681.8747766
0.34,-0.62,0.51,1719431681.8749392
0.39,-0.47,0.18,1719431681.8749392
0.38,-0.43,-0.02,1719431681.9406323
0.38,-0.41,0.05,1719431681.9417012
0.19,-0.52,0.24,1719431681.9417012
0.15,-0.55,0.36,1719431681.9417012
-0.25,-0.58,0.38,1719431682.00729
