X,Y,Z,Timestamp
-0.25,-1.11,0.72,1719428915.834766
-0.2,-1.14,0.63,1719428915.8357644
-0.29,-1.11,0.58,1719428915.8357644
-0.33,-1.02,0.71,1719428915.8357644
-0.42,-0.49,0.08,1719428915.8357644
-0.39,-0.47,0.11,1719428915.8367658
-0.24,-0.35,0.32,1719428915.8367658
-0.11,-0.28,0.11,1719428915.8367658
0.08,-0.17,-0.11,1719428915.8367658
0.13,-0.13,0.04,1719428915.8367658
-0.11,-0.07,-0.08,1719428915.837766
-0.25,-0.13,-0.22,1719428915.837766
-0.38,-0.17,-0.39,1719428915.837766
-0.38,-0.18,-0.09,1719428915.857125
-0.31,-0.13,0.07,1719428915.857125
-0.02,-0.14,0.34,1719428915.858021
0.27,0.12,0.74,1719428915.858021
-0.01,-0.06,0.64,1719428915.9238033
0.09,-0.13,0.63,1719428915.9238033
-0.04,-0.15,0.6,1719428915.9238033
-0.16,-0.13,0.92,1719428915.9904535
-0.01,-0.03,0.74,1719428915.9904535
-0.05,-0.04,0.62,1719428915.9904535
-0.09,-0.1,0.68,1719428915.9916842
-0.19,-0.04,0.75,1719428916.057132
-0.08,-0.04,0.68,1719428916.0580292
-0.09,-0.05,0.73,1719428916.0580292
-0.28,-0.1,0.69,1719428916.1240902
-0.33,-0.03,0.64,1719428916.1240902
-0.33,-0.12,0.7,1719428916.1240902
-0.47,-0.04,0.65,1719428916.1251438
-0.28,-0.23,0.29,1719428916.1904492
-0.29,-0.2,0.19,1719428916.190954
-0.25,-0.28,-0.03,1719428916.190954
-0.34,-0.34,-0.15,1719428916.257298
-0.1,-0.46,-0.07,1719428916.257298
0.18,-0.48,0.08,1719428916.2583013
0.09,-0.54,0.42,1719428916.2583013
0.18,-0.62,0.62,1719428916.3238182
0.11,-0.57,0.64,1719428916.3238182
0.05,-0.65,0.47,1719428916.3251798
-0.07,-0.68,0.41,1719428916.3251798
0.16,-0.71,0.3,1719428916.390721
0.08,-0.85,0.52,1719428916.390721
0.05,-0.85,0.74,1719428916.390721
0.09,-0.8,1.02,1719428916.3917675
-0.14,-0.99,0.41,1719428916.4571614
-0.09,-1.11,0.43,1719428916.4577498
0.02,-1.09,0.41,1719428916.4577498
-0.1,-1.1,0.35,1719428916.5238254
-0.13,-1.11,0.45,1719428916.5238254
-0.05,-1.03,0.51,1719428916.5238254
-0.13,-1.13,0.38,1719428916.5248296
-0.1,-1.02,0.41,1719428916.5907547
-0.16,-1.07,0.41,1719428916.5918257
-0.2,-1.15,0.54,1719428916.5918257
-0.18,-1.11,0.59,1719428916.6571639
-0.21,-1.18,0.43,1719428916.6571639
-0.29,-1.16,0.26,1719428916.6580527
-0.19,-1.06,0.19,1719428916.6580527
-0.1,-0.77,0.65,1719428916.7241044
-0.1,-0.72,0.22,1719428916.7241044
-0.13,-0.6,0.09,1719428916.7241044
-0.37,-0.4,0.36,1719428916.7904792
