X,Y,Z,Timestamp
0.26,-0.05,0.62,1719429596.1877398
0.11,0.03,0.67,1719429596.18874
0.03,-0.07,0.78,1719429596.1897402
-0.07,-0.08,0.82,1719429596.1897402
-0.11,-0.04,0.9,1719429596.1897402
-0.13,-0.0,0.87,1719429596.1906953
-0.19,-0.03,0.71,1719429596.1906953
-0.41,0.05,0.31,1719429596.1906953
-0.78,-0.84,1.94,1719429596.1906953
-0.5,-0.67,1.06,1719429596.1906953
-0.37,-0.62,0.37,1719429596.2153773
-0.39,-0.53,0.31,1719429596.2160413
-0.36,-0.6,0.44,1719429596.2160413
-0.4,-0.59,0.68,1719429596.282109
-0.37,-0.6,0.7,1719429596.282109
-0.31,-0.62,0.59,1719429596.2830625
-0.34,-0.61,0.43,1719429596.2830625
-0.4,-0.64,0.59,1719429596.3489022
-0.31,-0.66,0.55,1719429596.3499072
-0.23,-0.66,0.29,1719429596.3499072
-0.13,-0.61,0.24,1719429596.3499072
-0.17,-0.56,0.31,1719429596.415392
-0.96,-0.8,0.18,1719429596.4159975
-0.77,-0.69,0.03,1719429596.4170003
-0.56,-0.52,-0.23,1719429596.4823952
-0.44,-0.48,-0.12,1719429596.483414
-0.34,-0.57,0.17,1719429596.483414
-0.34,-0.54,0.57,1719429596.483414
-0.37,-0.51,0.61,1719429596.5489192
-0.36,-0.54,0.57,1719429596.5489192
-0.41,-0.61,0.57,1719429596.5499213
-0.53,-0.67,0.6,1719429596.6149092
-0.85,-0.72,0.63,1719429596.615915
-1.05,-0.8,1.03,1719429596.615915
-1.21,-0.94,1.33,1719429596.6169152
-1.16,-1.01,1.75,1719429596.6824245
-0.25,0.08,0.59,1719429596.6834316
-0.23,-0.01,0.77,1719429596.6834316
-0.18,-0.01,0.82,1719429596.7487283
-0.24,0.05,0.64,1719429596.7489426
-0.33,-0.02,0.75,1719429596.7499452
-0.31,-0.07,0.85,1719429596.7499452
-0.37,-0.04,0.58,1719429596.8149178
-0.24,-0.04,0.44,1719429596.8159244
-0.3,-0.1,0.44,1719429596.8179245
-0.26,-0.05,0.43,1719429596.882088
-0.28,-0.04,0.49,1719429596.882088
-0.27,-0.06,0.53,1719429596.8827882
-0.31,0.01,0.64,1719429596.8827882
-0.34,-0.07,0.7,1719429596.9490972
-0.34,-0.03,0.76,1719429596.950101
-0.28,-0.03,0.67,1719429596.950101
-0.23,-0.08,0.58,1719429596.950101
-0.28,-0.04,0.57,1719429597.0149267
-0.25,-0.03,0.54,1719429597.0159688
-0.31,-0.06,0.47,1719429597.0159688
-0.25,-0.03,0.41,1719429597.0820448
-0.3,-0.08,0.5,1719429597.084049
-0.32,-0.11,0.52,1719429597.0850492
-0.39,-0.05,0.66,1719429597.0850492
-0.33,-0.05,0.67,1719429597.148287
-0.4,-0.04,0.69,1719429597.1492875
-0.48,-0.05,0.61,1719429597.1492875
-0.54,-0.1,0.66,1719429597.2154236
0.1,-0.13,0.82,1719429597.2160928
0.53,-0.12,1.01,1719429597.2171113
0.88,0.02,0.72,1719429597.2171113
0.74,-0.02,0.71,1719429597.2819963
