X,Y,Z,Timestamp
1.26,-0.02,-0.14,1719430629.1955569
0.87,0.06,-0.28,1719430629.1963603
0.51,0.03,-0.19,1719430629.1970124
0.1,-0.02,0.16,1719430629.1970124
0.06,0.05,0.35,1719430629.1970124
0.2,0.1,0.51,1719430629.1970124
0.24,0.18,0.55,1719430629.1970124
0.23,0.19,0.64,1719430629.1970124
0.14,0.14,0.66,1719430629.1980293
0.11,0.11,0.61,1719430629.1980293
0.05,0.17,0.53,1719430629.1985002
-0.03,0.1,0.4,1719430629.1985002
-0.07,0.1,0.46,1719430629.1985002
-0.36,0.08,0.88,1719430629.199037
-0.33,0.16,0.72,1719430629.199037
-0.27,0.14,0.57,1719430629.199037
-0.23,0.11,0.52,1719430629.199037
-0.34,0.14,0.49,1719430629.199037
-0.46,0.06,0.42,1719430629.2382433
-0.88,-0.08,0.32,1719430629.2382433
-1.15,-0.22,-0.15,1719430629.2382433
-1.16,-0.38,-0.58,1719430629.304801
-1.11,-0.49,-1.01,1719430629.304801
-0.98,-0.75,-1.36,1719430629.304801
-0.8,-0.98,-1.37,1719430629.305803
-0.76,-1.27,-0.72,1719430629.371478
-0.83,-1.4,-0.05,1719430629.371478
0.33,-0.59,0.25,1719430629.372481
0.49,-0.54,0.31,1719430629.4380484
0.63,-0.54,0.59,1719430629.4390533
0.76,-0.62,0.9,1719430629.4390533
0.75,-0.72,1.07,1719430629.4390533
0.74,-0.88,1.26,1719430629.5048068
0.61,-0.99,1.31,1719430629.5048068
0.47,-1.2,1.23,1719430629.5048068
0.37,-1.37,1.26,1719430629.505809
0.33,-1.45,1.06,1719430629.5714839
0.27,-1.53,0.7,1719430629.5714839
0.19,-1.47,0.38,1719430629.5724876
0.16,-1.48,0.21,1719430629.5724876
0.1,-1.47,-0.05,1719430629.6381466
0.04,-1.46,-0.19,1719430629.6381466
-0.23,-1.44,-0.2,1719430629.6391506
-0.61,-0.35,0.86,1719430629.7048123
-0.83,-0.36,1.03,1719430629.7058198
-0.83,-0.45,1.09,1719430629.7058198
-0.88,-0.47,0.96,1719430629.7058198
-0.85,-0.58,0.86,1719430629.7714705
-0.92,-0.63,0.9,1719430629.7714705
-0.93,-0.66,0.89,1719430629.772473
-0.75,-0.75,1.06,1719430629.8381526
-0.35,-0.74,1.42,1719430629.8381526
0.07,-0.75,1.47,1719430629.8381526
0.37,-0.72,0.96,1719430629.839156
0.41,-0.57,0.41,1719430629.9048061
