X,Y,Z,Timestamp
-0.04,0.02,-0.4,1719428410.5788825
-0.13,-0.02,-0.13,1719428410.5788825
-0.44,-0.05,0.21,1719428410.5788825
-0.55,-0.07,0.67,1719428410.5840018
-0.63,-0.04,0.59,1719428410.5840018
-0.66,-0.13,0.49,1719428410.5850132
-0.43,-0.1,0.43,1719428410.5855963
-0.46,-0.12,0.56,1719428410.5855963
-0.47,-0.16,0.63,1719428410.5855963
-0.53,-0.1,0.71,1719428410.5866468
-0.58,-0.11,0.97,1719428410.5871847
-0.44,-0.1,0.77,1719428410.5878546
-0.44,-0.17,0.7,1719428410.5878546
-0.44,-0.13,0.67,1719428410.5878546
-0.4,-0.09,0.54,1719428410.5888824
-0.35,-0.13,0.56,1719428410.5888824
-0.29,-0.13,0.62,1719428410.5888824
-0.31,-0.1,0.67,1719428410.589884
-0.36,-0.11,0.57,1719428410.589884
-0.36,-0.1,0.49,1719428410.589884
-0.28,-0.1,0.54,1719428410.5953372
-0.34,-0.1,0.51,1719428410.5958855
-0.34,-0.09,0.43,1719428410.5958855
-0.38,-0.07,0.51,1719428410.5958855
-0.4,-0.05,0.49,1719428410.6149406
-0.4,-0.13,0.66,1719428410.6149406
-0.37,-0.11,0.7,1719428410.6149406
-0.37,-0.13,0.61,1719428410.6149406
-0.28,-0.12,0.55,1719428410.6849473
-0.36,-0.08,0.54,1719428410.6849473
-0.39,-0.08,0.56,1719428410.6849473
-0.34,-0.13,0.65,1719428410.7452033
-0.32,-0.16,0.63,1719428410.7452033
-0.34,-0.13,0.54,1719428410.7452033
-0.38,-0.17,0.52,1719428410.7452033
-0.34,-0.06,0.5,1719428410.8111372
-0.39,-0.05,0.49,1719428410.8111372
-0.31,-0.1,0.52,1719428410.8111372
-0.39,-0.12,0.58,1719428410.8814
-0.31,-0.13,0.52,1719428410.8814
-0.4,-0.1,0.57,1719428410.8814
-0.32,-0.1,0.65,1719428410.8814
-0.34,-0.12,0.52,1719428410.9514465
-0.34,-0.15,0.54,1719428410.9514465
-0.34,-0.15,0.49,1719428410.9514465
-0.35,-0.19,0.54,1719428411.0180998
-0.3,-0.15,0.59,1719428411.0180998
-0.29,-0.15,0.6,1719428411.0191514
-0.34,-0.21,0.56,1719428411.0199094
-0.36,-0.18,0.66,1719428411.0845642
-0.39,-0.16,0.51,1719428411.0845642
-0.4,-0.08,0.56,1719428411.0845642
-0.43,-0.13,0.54,1719428411.1512263
-0.37,-0.1,0.6,1719428411.1512263
-0.28,-0.08,0.63,1719428411.1512263
-0.3,-0.17,0.62,1719428411.1512263
-0.37,-0.18,0.56,1719428411.2181244
-0.22,-0.12,0.64,1719428411.2181244
-0.13,-0.13,0.56,1719428411.2181244
-0.21,-0.28,0.1,1719428411.2181244
-0.29,-0.3,0.1,1719428411.2843242
-0.29,-0.4,0.06,1719428411.2843242
-0.32,-0.44,0.13,1719428411.2843242
-0.27,-0.55,0.26,1719428411.3506815
-0.28,-0.58,0.34,1719428411.3516817
-0.19,-0.53,0.34,1719428411.3516817
-0.33,-0.63,0.33,1719428411.3516817
-0.51,-0.71,0.4,1719428411.4179647
-0.7,-0.74,0.69,1719428411.4179647
-0.72,-0.83,0.95,1719428411.4179647
-0.84,-0.85,0.95,1719428411.4796503
-0.79,-0.8,0.9,1719428411.4796503
-0.78,-0.88,0.75,1719428411.4796503
-0.6,-0.79,0.97,1719428411.4796503
-0.45,-0.75,1.17,1719428411.5510736
-0.17,-0.76,0.76,1719428411.552074
0.31,-0.61,0.23,1719428411.552074
0.23,-0.6,0.26,1719428411.613665
0.15,-0.51,0.57,1719428411.613665
-0.08,-0.6,0.53,1719428411.613665
-0.22,-0.5,0.49,1719428411.613665
-0.19,-0.53,0.98,1719428411.6845791
-0.09,-0.43,1.08,1719428411.6845791
-0.02,-0.46,0.88,1719428411.6845791
-0.11,-0.49,0.82,1719428411.685582
-0.12,-0.49,0.73,1719428411.7506397
-0.03,-0.39,0.44,1719428411.7506397
-0.42,-0.2,0.1,1719428411.7506397
-0.45,-0.15,0.13,1719428411.8179946
-0.32,-0.21,0.18,1719428411.8179946
-0.45,-0.21,0.73,1719428411.8187447
-0.61,-0.25,0.96,1719428411.8187447
-0.44,-0.18,0.82,1719428411.8783343
