X,Y,Z,Timestamp
-0.24,-0.02,-0.05,1719429147.5503495
-0.15,0.03,0.41,1719429147.5513494
-0.09,-0.01,0.48,1719429147.5513494
-0.18,0.04,0.52,1719429147.5513494
-0.46,0.1,0.38,1719429147.5513494
-0.18,0.13,0.74,1719429147.55235
-0.13,0.16,0.75,1719429147.55235
-0.19,0.16,0.66,1719429147.55235
-0.22,0.03,0.68,1719429147.55235
-0.2,0.11,0.65,1719429147.5533502
-0.13,0.07,0.49,1719429147.5533502
-0.1,0.12,0.52,1719429147.5533502
-0.1,0.05,0.7,1719429147.5543506
-0.16,0.07,0.28,1719429147.5543506
-0.11,-0.04,0.45,1719429147.6128054
-0.18,0.09,0.52,1719429147.6138096
-0.17,0.01,0.62,1719429147.6138096
-0.12,0.06,0.59,1719429147.6138096
-0.19,-0.0,0.57,1719429147.6801786
-0.18,0.04,0.62,1719429147.6801786
-0.13,0.02,0.63,1719429147.6811814
-0.12,0.08,0.54,1719429147.7461915
-0.11,0.05,0.54,1719429147.7471907
-0.16,-0.02,0.52,1719429147.7471907
-0.14,-0.05,0.44,1719429147.7471907
-0.2,0.06,0.54,1719429147.8135204
-0.23,0.03,0.52,1719429147.8135204
-0.17,0.07,0.67,1719429147.8145232
-0.18,0.09,0.7,1719429147.8145232
-0.18,0.07,0.67,1719429147.8801851
-0.11,-0.34,0.57,1719429147.8801851
-0.29,-0.33,0.59,1719429147.8801851
-0.45,-0.35,0.95,1719429147.9463863
-0.79,-0.29,0.8,1719429147.9463863
-0.96,-0.38,0.7,1719429147.9463863
-0.94,-0.29,0.49,1719429147.9478748
-0.79,-0.2,0.33,1719429148.0135162
-0.74,-0.14,0.29,1719429148.0135162
-0.59,-0.09,0.46,1719429148.0135162
-0.64,-0.02,0.68,1719429148.0801756
-0.58,0.04,0.69,1719429148.0808592
-0.55,-0.01,0.72,1719429148.0808592
-0.45,-0.04,0.7,1719429148.0808592
-0.52,-0.05,0.44,1719429148.1462445
-0.08,-0.8,0.09,1719429148.1472447
-0.18,-0.87,0.64,1719429148.1472447
-0.39,-0.92,1.26,1719429148.1472447
-0.45,-0.92,1.22,1719429148.2135177
-0.24,-0.85,0.71,1719429148.2135177
-0.31,-0.98,0.42,1719429148.2135177
-0.34,-0.91,0.5,1719429148.2805371
-0.62,-1.06,0.41,1719429148.2805371
-0.73,-1.12,0.32,1719429148.2805371
-0.83,-1.07,0.15,1719429148.2805371
-0.83,-1.02,-0.02,1719429148.347205
-0.76,-1.04,-0.2,1719429148.347205
-0.77,-1.0,-0.11,1719429148.3482068
-0.61,-1.04,-0.12,1719429148.4133434
0.32,-0.67,0.65,1719429148.4143443
0.22,-0.69,0.54,1719429148.4143443
0.24,-0.67,0.49,1719429148.4143443
0.1,-0.75,0.49,1719429148.480197
-0.18,-0.84,0.6,1719429148.480197
-0.25,-0.83,0.6,1719429148.480197
-0.39,-0.74,0.81,1719429148.546863
-0.35,-0.87,1.03,1719429148.5472121
-0.45,-0.74,1.32,1719429148.5472121
-0.31,-0.84,1.67,1719429148.5472121
-0.26,-0.92,1.61,1719429148.613225
-0.3,-1.06,1.57,1719429148.6142254
-0.74,-1.18,1.04,1719429148.6142254
-0.91,-1.16,0.33,1719429148.6801984
-0.16,-0.02,0.52,1719429148.6801984
-0.1,0.08,0.91,1719429148.6801984
-0.18,0.08,0.69,1719429148.6812012
-0.05,-0.03,0.6,1719429148.7462218
