X,Y,Z,Timestamp
-0.24,0.03,0.57,1719430361.3573396
-0.14,0.04,0.61,1719430361.3580654
-0.19,0.11,0.67,1719430361.3580654
-0.13,0.12,0.78,1719430361.3586853
-0.16,0.11,0.78,1719430361.3586853
-0.02,0.06,0.82,1719430361.3586853
-0.15,-0.03,0.76,1719430361.3597162
-0.15,0.07,0.58,1719430361.3597162
-0.21,-0.03,0.37,1719430361.3597162
-0.16,-0.0,0.44,1719430361.3597162
-0.08,-0.03,0.44,1719430361.360716
0.46,-0.01,0.19,1719430361.360716
0.76,-0.05,-0.1,1719430361.360716
1.09,-0.08,-0.37,1719430361.360716
1.31,-0.21,-0.66,1719430361.3871977
1.22,-0.46,-0.6,1719430361.3871977
1.03,-0.77,-0.21,1719430361.3871977
0.78,-0.93,0.21,1719430361.4538252
0.48,-1.11,0.59,1719430361.453982
0.25,-1.16,0.91,1719430361.453982
0.03,-1.18,0.97,1719430361.4550087
-0.27,-1.26,0.98,1719430361.5207255
-0.7,-1.26,1.24,1719430361.5208123
-1.02,-1.31,1.58,1719430361.5208123
-1.45,-1.31,1.87,1719430361.521842
-0.72,-1.21,0.23,1719430361.5868452
-0.63,-1.25,0.21,1719430361.5880117
-0.44,-1.33,0.11,1719430361.5880117
-0.14,-1.31,0.04,1719430361.6539736
0.13,-1.09,0.06,1719430361.654054
0.28,-1.11,0.13,1719430361.654054
0.28,-1.01,0.28,1719430361.6550741
0.55,-0.88,0.54,1719430361.7206335
0.74,-0.75,0.77,1719430361.7206335
0.86,-0.64,0.9,1719430361.7216713
0.77,-0.58,0.78,1719430361.7216713
0.75,-0.49,0.63,1719430361.7872982
0.62,-0.51,0.54,1719430361.7872982
0.39,-0.59,0.53,1719430361.7872982
0.26,-0.53,0.5,1719430361.8534923
0.13,-0.72,0.59,1719430361.8539648
-0.55,-0.76,-0.23,1719430361.8539648
-0.61,-0.61,-0.32,1719430361.8549645
-0.49,-0.45,-0.11,1719430361.9207032
-0.31,-0.42,-0.15,1719430361.920804
-0.44,-0.29,-0.1,1719430361.920804
-0.5,-0.16,0.03,1719430361.9873095
-0.43,-0.18,0.03,1719430361.9874244
-0.42,-0.11,0.23,1719430361.9874244
-0.39,-0.11,0.41,1719430361.9884439
-0.35,-0.03,0.56,1719430362.0539355
-0.31,-0.09,0.61,1719430362.0539355
-0.34,-0.03,0.56,1719430362.0539355
-0.3,-0.08,0.51,1719430362.1204853
