X,Y,Z,Timestamp
-0.47,-0.68,1.68,1719431062.8022554
-0.26,-0.42,0.94,1719431062.8034172
-0.2,-0.28,0.48,1719431062.8034172
-0.07,-0.18,0.13,1719431062.8039913
-0.05,-0.15,-0.13,1719431062.8039913
-0.12,-0.06,-0.12,1719431062.8039913
-0.16,-0.03,-0.09,1719431062.8039913
-0.16,0.01,0.05,1719431062.8039913
-0.2,-0.11,0.21,1719431062.8050117
-0.21,-0.05,0.27,1719431062.8050117
-0.23,0.01,0.29,1719431062.8050117
-0.31,-0.11,0.31,1719431062.8050117
-0.44,-0.36,0.79,1719431062.8050117
-0.32,-0.34,0.71,1719431062.8326285
-0.39,-0.3,0.65,1719431062.832761
-0.35,-0.23,0.58,1719431062.832761
-0.35,-0.25,0.57,1719431062.832761
-0.33,-0.32,0.47,1719431062.8995564
-0.38,-0.24,0.47,1719431062.8995564
-0.32,-0.29,0.53,1719431062.8995564
-0.38,-0.23,0.52,1719431062.900576
-0.32,-0.23,0.43,1719431062.9660795
-0.43,-0.3,0.49,1719431062.9667401
-0.39,-0.27,0.49,1719431062.9667401
-0.39,-0.23,0.49,1719431063.032811
-0.42,-0.27,0.52,1719431063.032811
-0.39,-0.34,0.61,1719431063.0338316
-0.38,-0.39,0.69,1719431063.0338316
-0.47,-0.35,0.75,1719431063.099638
-0.46,-0.39,0.73,1719431063.099638
-0.38,-0.33,0.8,1719431063.10067
-0.39,-0.38,0.68,1719431063.1662297
-0.41,-0.4,0.71,1719431063.166314
-0.47,-0.39,0.75,1719431063.166314
-0.34,-0.39,0.65,1719431063.1673505
-0.44,-0.4,0.73,1719431063.2328146
-0.54,-0.49,0.8,1719431063.2328146
-0.52,-0.37,0.75,1719431063.233835
-0.53,-0.51,0.88,1719431063.299483
-0.48,-0.38,0.9,1719431063.299483
-0.1,0.07,0.26,1719431063.3005037
-0.11,0.14,0.31,1719431063.3005037
-0.1,0.15,0.12,1719431063.366335
-0.13,0.18,0.15,1719431063.366335
-0.13,0.24,0.13,1719431063.3673728
-0.16,0.23,0.16,1719431063.3673728
-0.18,0.34,0.15,1719431063.4328825
-0.1,0.29,0.12,1719431063.4328825
-0.14,0.25,-0.03,1719431063.4328825
-0.03,0.35,-0.1,1719431063.4992695
0.03,0.39,-0.19,1719431063.4994495
0.03,0.45,-0.5,1719431063.4994495
0.03,0.46,-0.66,1719431063.5004487
0.11,0.38,-0.83,1719431063.5661743
0.18,0.29,-1.0,1719431063.5662808
0.15,0.23,-1.09,1719431063.5662808
-0.54,-0.84,1.84,1719431063.5662808
-0.3,-0.68,1.39,1719431063.6327748
-0.14,-0.53,0.96,1719431063.6327748
-0.17,-0.49,0.78,1719431063.6337981
-0.12,-0.52,0.64,1719431063.6993704
-0.23,-0.39,0.52,1719431063.699516
-0.34,-0.43,0.73,1719431063.699516
-0.24,-0.32,0.63,1719431063.7005355
-0.24,-0.27,0.42,1719431063.7661967
-0.31,-0.28,0.49,1719431063.7661967
-0.33,-0.25,0.45,1719431063.7661967
-0.33,-0.18,0.44,1719431063.767225
-0.27,-0.08,0.34,1719431063.8327374
-0.34,-0.06,0.24,1719431063.8337555
0.08,0.44,-0.66,1719431063.8337555
0.07,0.41,-0.74,1719431063.8995254
0.13,0.29,-0.79,1719431063.8996677
0.15,0.18,-0.76,1719431063.900698
-0.08,-0.08,-0.76,1719431063.900698
-0.19,-0.33,-0.48,1719431063.9660878
-0.34,-0.62,-0.15,1719431063.9660878
-0.34,-0.71,0.29,1719431063.967106
-0.33,-0.87,0.97,1719431064.0327842
-0.54,-0.92,1.7,1719431064.0327842
-0.61,-0.95,2.11,1719431064.0327842
-0.85,-0.97,2.1,1719431064.0338051
-0.75,-1.03,1.56,1719431064.0993714
