X,Y,Z,Timestamp
-0.03,-0.61,0.53,1719431667.8768353
-0.03,-0.63,0.67,1719431667.8768353
0.05,-0.59,0.62,1719431667.8778458
-0.23,-0.51,0.29,1719431667.8778458
-0.22,-0.55,0.27,1719431667.8778458
-0.25,-0.52,0.24,1719431667.878846
-0.28,-0.58,0.39,1719431667.878846
-0.28,-0.56,0.35,1719431667.879846
-0.28,-0.59,0.35,1719431667.879846
-0.23,-0.57,0.39,1719431667.879846
-0.23,-0.58,0.46,1719431667.8808591
-0.23,-0.62,0.44,1719431667.8808591
-0.26,-0.55,0.43,1719431667.8818958
-0.19,-0.62,0.41,1719431667.8818958
-0.24,-0.6,0.49,1719431667.8818958
-0.19,-0.59,0.4,1719431667.8828967
-0.2,-0.59,0.39,1719431667.8828967
-0.19,-0.6,0.38,1719431667.883896
-0.18,-0.63,0.36,1719431667.883896
-0.24,-0.62,0.46,1719431667.883896
-0.19,-0.62,0.36,1719431667.8848963
-0.23,-0.64,0.45,1719431667.8848963
-0.21,-0.57,0.44,1719431667.8848963
-0.23,-0.62,0.35,1719431667.8858964
-0.15,-0.57,0.44,1719431667.8870873
-0.18,-0.6,0.29,1719431667.8870873
-0.18,-0.6,0.38,1719431667.8881018
-0.21,-0.62,0.4,1719431667.8881018
-0.19,-0.62,0.4,1719431667.8891017
-0.18,-0.63,0.41,1719431667.8891017
-0.12,-0.57,0.41,1719431667.8891017
-0.34,-1.15,0.8,1719431667.8901024
-0.66,-1.21,0.41,1719431667.8901024
-0.58,-0.98,0.06,1719431667.8901024
-0.36,-0.65,-0.51,1719431667.891103
-0.15,-0.23,-0.92,1719431667.891103
-0.07,0.09,-0.92,1719431667.891103
0.03,0.31,-0.9,1719431667.892103
0.2,0.33,-0.45,1719431667.892103
0.22,0.32,-0.13,1719431667.892103
0.08,0.29,0.39,1719431667.8931992
-0.17,0.24,0.44,1719431667.8931992
-0.1,0.34,0.09,1719431667.8931992
-0.14,0.36,0.06,1719431667.894211
-0.15,0.37,0.04,1719431667.894211
-0.13,0.36,-0.23,1719431667.894211
-0.11,0.28,0.23,1719431667.8952115
-0.16,0.2,0.4,1719431667.8952115
-0.27,0.16,0.52,1719431667.8952115
-0.21,0.15,0.64,1719431667.8952115
-0.23,0.06,1.21,1719431667.8962116
-0.23,0.14,0.97,1719431667.8962116
-0.19,0.23,0.54,1719431667.8962116
-0.2,0.18,0.66,1719431667.8972118
-0.18,0.13,0.71,1719431667.8972118
-0.22,0.18,0.43,1719431667.8972118
-0.2,0.23,0.37,1719431667.8982122
-0.21,0.18,0.44,1719431667.9404426
-0.2,0.19,0.39,1719431667.941039
-0.13,0.19,0.32,1719431667.941666
-0.08,0.25,0.39,1719431667.941666
-0.13,0.17,0.57,1719431668.0071008
-0.09,0.15,0.45,1719431668.0071008
-0.11,0.15,0.47,1719431668.0082633
-0.21,0.12,0.47,1719431668.0737834
-0.18,0.18,0.4,1719431668.0737834
-0.24,0.12,0.38,1719431668.0749502
-0.27,0.1,0.43,1719431668.0749502
-0.21,0.12,0.51,1719431668.14046
-0.23,0.06,0.72,1719431668.1416903
-0.18,0.05,0.82,1719431668.142689
-0.13,0.07,0.7,1719431668.142689
-0.09,0.15,0.54,1719431668.2071245
-0.07,0.13,0.54,1719431668.208282
-0.12,0.17,0.47,1719431668.208282
-0.18,0.11,0.46,1719431668.208282
-0.08,0.14,0.41,1719431668.2737799
-0.39,-0.12,0.64,1719431668.2747612
-0.49,-0.16,0.76,1719431668.275009
-0.52,-0.12,0.71,1719431668.3404431
-0.55,-0.13,0.68,1719431668.3410485
-0.47,-0.15,0.61,1719431668.3415554
-0.46,-0.18,0.81,1719431668.3415554
-0.54,-0.24,1.03,1719431668.4071267
-0.83,-0.3,1.1,1719431668.4083798
-1.18,-0.42,0.81,1719431668.4083798
-1.37,-0.37,0.17,1719431668.4740689
-1.48,-0.25,-0.39,1719431668.4740689
-1.26,-0.19,-0.39,1719431668.4749806
-1.15,-0.26,-0.05,1719431668.4749806
-0.94,-0.31,0.09,1719431668.5404658
0.41,-0.59,2.11,1719431668.5410502
0.47,-0.57,1.82,1719431668.5415068
0.42,-0.51,1.51,1719431668.6071076
0.35,-0.46,1.24,1719431668.6071076
0.48,-0.44,0.92,1719431668.6082163
0.47,-0.4,0.61,1719431668.6082163
0.41,-0.43,0.45,1719431668.6737883
0.41,-0.49,0.31,1719431668.6748934
0.24,-0.48,0.26,1719431668.6748934
0.04,-0.58,0.28,1719431668.675777
-0.23,-0.66,0.15,1719431668.740445
-0.46,-0.64,0.02,1719431668.7410548
-0.58,-0.59,-0.04,1719431668.7415428
-0.68,-0.55,0.02,1719431668.807117
-0.83,-0.58,0.09,1719431668.807117
-0.46,-0.8,0.28,1719431668.808325
-0.47,-0.84,0.43,1719431668.808325
-0.41,-0.88,0.55,1719431668.873793
-0.41,-0.89,0.71,1719431668.873793
-0.31,-0.93,0.68,1719431668.875984
-0.15,-0.84,0.48,1719431668.8771696
-0.19,-0.75,0.43,1719431668.94106
-0.18,-0.77,0.28,1719431668.9416192
-0.04,-0.76,0.52,1719431668.9426174
0.08,-0.75,0.69,1719431669.0071197
