X,Y,Z,Timestamp
0.09,-0.47,0.54,1719428933.6428475
0.33,-0.35,0.56,1719428933.6438477
0.24,-0.06,0.29,1719428933.6438477
0.26,-0.09,0.31,1719428933.644848
0.25,-0.09,0.63,1719428933.644848
0.08,-0.14,0.82,1719428933.644848
0.19,-0.12,1.03,1719428933.644848
0.28,-0.12,0.97,1719428933.644848
0.26,-0.12,0.86,1719428933.6458485
0.23,-0.14,0.59,1719428933.6458485
0.32,-0.23,0.54,1719428933.6458485
0.18,-0.26,0.51,1719428933.6458485
0.12,-0.32,0.54,1719428933.6458485
-0.03,-0.19,0.62,1719428933.6468484
-0.08,-0.2,0.87,1719428933.6576927
-0.11,-0.21,0.82,1719428933.6576927
-0.11,-0.24,0.98,1719428933.6584952
-0.18,-0.13,0.65,1719428933.7243564
-0.11,-0.1,0.58,1719428933.7243564
-0.18,-0.16,0.53,1719428933.7243564
-0.18,-0.2,0.5,1719428933.7255328
-0.27,-0.18,0.46,1719428933.7913792
-0.09,-0.12,0.52,1719428933.7913792
-0.15,-0.11,0.54,1719428933.7923837
-0.24,-0.2,0.53,1719428933.8574932
-0.1,-0.16,0.68,1719428933.8574932
-0.18,-0.19,0.81,1719428933.8584933
-0.2,-0.15,0.9,1719428933.8584933
-0.2,-0.11,0.74,1719428933.9237404
-0.41,-0.21,0.65,1719428933.9247406
-0.6,-0.22,0.49,1719428933.9247406
0.15,-0.52,-0.0,1719428933.9257405
0.25,-0.58,-0.05,1719428933.9910479
0.37,-0.65,0.1,1719428933.9917483
0.41,-0.73,0.34,1719428933.9917483
0.39,-0.73,0.69,1719428934.057697
0.27,-0.83,0.85,1719428934.057697
0.28,-0.88,0.82,1719428934.057697
0.28,-0.83,0.67,1719428934.05874
0.28,-0.97,0.72,1719428934.1243598
0.13,-1.04,0.75,1719428934.1243598
-0.07,-1.1,0.82,1719428934.1253626
-0.0,-1.12,0.99,1719428934.1253626
-0.2,-1.13,1.21,1719428934.1910372
-0.03,-1.15,1.13,1719428934.1910372
0.19,-1.08,0.73,1719428934.1920567
-0.34,-1.31,0.71,1719428934.257704
-0.4,-1.34,0.54,1719428934.257704
-0.37,-1.21,0.46,1719428934.257704
-0.15,-1.11,0.36,1719428934.2585695
-0.36,-1.03,0.33,1719428934.3243732
-0.46,-0.97,0.16,1719428934.3243732
-0.37,-0.79,0.14,1719428934.3253756
-0.42,-0.71,0.18,1719428934.3910728
