X,Y,Z,Timestamp
-0.78,-0.15,0.64,1719429631.878317
-0.76,-0.24,0.56,1719429631.878317
-1.07,-0.22,0.43,1719429631.878317
-1.17,-0.28,-0.07,1719429631.878317
-1.25,-0.33,-0.32,1719429631.8793378
-0.75,-0.35,-0.26,1719429631.8793378
-0.07,-0.11,0.54,1719429631.8793378
-0.09,-0.05,0.62,1719429631.8793378
0.03,-0.11,0.68,1719429631.8793378
-0.02,-0.02,0.67,1719429631.880338
-0.13,-0.01,0.81,1719429631.880338
-0.07,-0.02,0.88,1719429631.880338
-0.1,0.04,0.82,1719429631.880338
-0.24,-0.08,0.64,1719429631.8833203
-0.21,-0.08,0.49,1719429631.8833203
-0.24,0.03,0.38,1719429631.8843234
-0.19,0.02,0.36,1719429631.8843234
-0.29,-0.06,0.46,1719429631.9493408
-0.29,-0.01,0.49,1719429631.9503462
-0.28,-0.03,0.47,1719429631.9503462
-0.89,-1.6,0.8,1719429632.0159786
-0.84,-1.59,1.96,1719429632.0169802
-1.05,-1.29,2.52,1719429632.0169802
-1.28,-1.11,3.23,1719429632.0169802
-0.92,-0.83,2.17,1719429632.083321
-0.41,-0.67,0.82,1719429632.083321
-0.32,-0.62,0.37,1719429632.0843232
-0.29,-0.58,0.44,1719429632.0843232
-0.22,-0.56,0.37,1719429632.15048
-0.25,-0.49,0.24,1719429632.15048
-0.25,-0.44,0.13,1719429632.15048
-0.28,-0.49,0.16,1719429632.2160652
-0.4,-0.62,0.35,1719429632.2170708
-0.42,-0.66,0.42,1719429632.2170708
-0.41,-0.76,0.64,1719429632.2170708
-0.31,-0.65,0.31,1719429632.2835743
-0.29,-0.59,-0.02,1719429632.2835743
-0.36,-0.53,0.09,1719429632.2835743
-0.41,-0.47,0.15,1719429632.3498895
-0.41,-0.47,0.21,1719429632.3498895
-0.34,-0.47,0.31,1719429632.3508923
-0.36,-0.5,0.47,1719429632.3508923
-0.36,-0.57,0.46,1719429632.416325
-0.42,-0.57,0.54,1719429632.416325
-0.45,-0.68,0.54,1719429632.4173276
-0.39,-0.64,0.26,1719429632.4833746
-0.41,-0.55,0.13,1719429632.4833746
-0.56,-0.56,0.23,1719429632.4843743
-0.46,-0.45,0.49,1719429632.4843743
-0.47,-0.48,0.54,1719429632.549392
-0.62,-0.51,0.75,1719429632.5513961
-0.72,-0.61,1.11,1719429632.552398
-0.86,-0.62,1.47,1719429632.6159585
-1.09,-0.83,1.95,1719429632.6169603
-1.13,-0.93,1.63,1719429632.6169603
-0.83,-0.87,0.72,1719429632.6179607
-0.29,-0.83,0.05,1719429632.6838024
0.1,-0.54,-0.64,1719429632.6838024
0.52,-0.21,-0.94,1719429632.6838024
0.23,-0.04,-0.61,1719429632.6848013
-0.09,-0.08,0.11,1719429632.7493827
-0.08,-0.06,0.59,1719429632.750388
-0.29,-0.07,0.45,1719429632.750388
-0.19,-0.09,0.46,1719429632.816967
-0.21,-0.09,0.5,1719429632.8179667
-0.23,-0.03,0.47,1719429632.8189673
-0.28,-0.03,0.49,1719429632.8189673
-0.33,-0.08,0.59,1719429632.884347
-0.38,-0.13,0.55,1719429632.885347
-0.37,-0.04,0.65,1719429632.885347
-0.37,-0.05,0.64,1719429632.949142
-0.39,-0.03,0.72,1719429632.9501507
-0.32,-0.12,0.62,1719429632.9501507
-0.31,-0.08,0.49,1719429632.9511588
-0.28,-0.03,0.44,1719429633.0170527
-0.33,-0.01,0.49,1719429633.0170527
-1.35,-0.31,0.46,1719429633.0170527
-1.11,-0.24,0.2,1719429633.082585
-0.53,-0.28,0.16,1719429633.0835857
-0.28,-0.25,0.05,1719429633.0835857
-0.2,-0.23,0.51,1719429633.0835857
-0.19,-0.27,0.77,1719429633.1499143
