X,Y,Z,Timestamp
0.03,0.15,0.67,1719430641.0471547
0.03,0.14,0.68,1719430641.0477126
-0.0,0.1,0.86,1719430641.0484478
0.03,0.01,0.78,1719430641.0484478
0.03,0.02,0.59,1719430641.0484478
-0.03,0.04,0.5,1719430641.0484478
-0.13,0.04,0.58,1719430641.0484478
-0.12,0.02,0.65,1719430641.0484478
-0.08,0.08,0.65,1719430641.0497103
-0.14,0.03,0.6,1719430641.0497103
-0.11,0.05,0.62,1719430641.0497103
-0.22,-0.03,0.5,1719430641.0497103
-0.28,-0.05,0.52,1719430641.0497103
-0.32,0.03,0.6,1719430641.0507133
-0.34,-0.08,0.67,1719430641.0507133
-0.43,0.05,0.59,1719430641.0507133
-0.39,-0.03,0.54,1719430641.0507133
-0.31,0.05,0.42,1719430641.0507133
-0.34,0.04,0.4,1719430641.1050603
-0.34,0.03,0.31,1719430641.1050603
-0.4,0.08,0.31,1719430641.106064
-0.52,0.04,0.4,1719430641.106064
-0.58,-0.04,0.33,1719430641.1717434
-0.56,-0.0,0.25,1719430641.1717434
-0.65,-0.06,0.22,1719430641.1727474
-0.67,-0.13,0.11,1719430641.2383835
-0.72,-0.18,-0.08,1719430641.2383835
-0.71,-0.22,-0.45,1719430641.2393878
-0.54,-0.33,-0.62,1719430641.2393878
-0.36,-0.43,-0.95,1719430641.3050654
-0.25,-0.93,1.82,1719430641.3060696
-0.09,-0.83,1.05,1719430641.3060696
-0.07,-0.7,0.23,1719430641.3717487
-0.13,-0.65,-0.29,1719430641.3717487
-0.1,-0.64,-0.44,1719430641.3727524
0.03,-0.68,-0.23,1719430641.4383945
0.1,-0.66,0.21,1719430641.4383945
0.19,-0.7,0.71,1719430641.4383945
0.25,-0.74,1.11,1719430641.4393978
0.37,-0.78,1.38,1719430641.5050719
0.38,-0.9,1.59,1719430641.5050719
0.38,-0.98,1.44,1719430641.5050719
0.25,-1.08,1.19,1719430641.5060756
0.23,-1.12,0.82,1719430641.5713913
-0.91,-0.7,0.33,1719430641.572887
-0.79,-0.62,0.49,1719430641.5735006
-0.79,-0.63,0.6,1719430641.5744095
-0.73,-0.64,0.72,1719430641.6379466
-0.75,-0.62,0.82,1719430641.6389596
-0.9,-0.69,0.88,1719430641.6389596
-1.17,-0.72,1.11,1719430641.705059
-1.44,-0.84,1.26,1719430641.705059
-1.46,-0.96,1.24,1719430641.7060626
-1.23,-1.04,1.17,1719430641.7060626
-0.75,-1.12,1.09,1719430641.7717738
