X,Y,Z,Timestamp
-0.28,-0.84,0.52,1719428450.537052
-0.28,-0.79,0.52,1719428450.537052
-0.22,-0.83,0.6,1719428450.537052
-0.11,-0.75,0.72,1719428450.537052
-0.22,-0.73,0.69,1719428450.537052
-0.08,-0.74,0.63,1719428450.537052
-0.23,-0.39,0.6,1719428450.537052
-0.23,-0.38,0.44,1719428450.5410743
-0.13,-0.34,0.91,1719428450.5410743
0.03,-0.36,0.57,1719428450.5410743
-0.11,-0.33,0.08,1719428450.5420878
-0.08,-0.25,0.11,1719428450.5420878
-0.12,-0.27,0.22,1719428450.5430987
-0.11,-0.29,0.23,1719428450.5430987
-0.23,-0.2,0.37,1719428450.5527062
-0.22,-0.22,0.57,1719428450.5527062
-0.09,-0.15,0.69,1719428450.5537064
0.11,-0.1,0.67,1719428450.6138508
0.05,-0.17,0.52,1719428450.6138508
-0.08,-0.18,0.23,1719428450.6138508
-0.53,-0.2,0.44,1719428450.6138508
-0.54,-0.34,0.52,1719428450.6838362
-0.56,-0.28,0.51,1719428450.6838362
-0.54,-0.24,0.82,1719428450.6838362
-0.51,-0.28,0.82,1719428450.7617075
-0.43,-0.31,0.8,1719428450.7648275
-0.49,-0.22,0.81,1719428450.7648275
-0.5,-0.24,0.7,1719428450.7648275
-0.43,-0.3,0.63,1719428450.8157265
-0.36,-0.29,0.56,1719428450.8157265
-0.37,-0.22,0.49,1719428450.8157265
-0.4,-0.36,0.45,1719428450.8157265
-0.39,-0.25,0.57,1719428450.8857255
-0.36,-0.21,0.59,1719428450.8857255
-0.22,-0.18,0.74,1719428450.8857255
-0.23,-0.23,0.63,1719428450.9457984
-0.13,-0.23,0.6,1719428450.9457984
-0.21,-0.23,0.68,1719428450.9457984
-0.19,-0.18,0.56,1719428450.9457984
-0.16,-0.17,0.52,1719428451.0197535
-0.14,-0.19,0.55,1719428451.0208163
-0.26,-0.27,0.59,1719428451.0208163
-0.14,-0.31,0.48,1719428451.0843256
-0.16,-0.22,0.6,1719428451.0843256
-0.18,-0.21,0.7,1719428451.0843256
-0.17,-0.2,0.59,1719428451.0843256
-0.12,-0.14,0.58,1719428451.1451735
-0.15,-0.25,0.44,1719428451.1451735
-0.15,-0.27,0.28,1719428451.1451735
-0.16,-0.3,0.13,1719428451.211451
-0.23,-0.34,0.16,1719428451.211451
-0.22,-0.47,0.2,1719428451.211451
-0.19,-0.48,0.26,1719428451.211451
-0.18,-0.45,0.39,1719428451.2859442
-0.38,-0.6,0.52,1719428451.2869463
-0.46,-0.59,0.77,1719428451.2869463
-0.4,-0.6,0.67,1719428451.3529408
-0.32,-0.63,0.69,1719428451.3529408
-0.28,-0.62,0.56,1719428451.3539696
-0.42,-0.6,0.55,1719428451.3541458
-0.32,-0.67,0.48,1719428451.4193819
-0.27,-0.7,0.48,1719428451.4203854
-0.18,-0.83,0.64,1719428451.4203854
-0.1,-0.87,0.58,1719428451.4213893
-0.15,-0.75,0.44,1719428451.478212
-0.12,-0.77,0.47,1719428451.478212
-0.18,-0.75,0.62,1719428451.478212
-0.38,-0.79,0.67,1719428451.5531037
-0.34,-0.88,0.81,1719428451.5541065
-0.21,-0.85,0.82,1719428451.5541065
-0.21,-0.84,0.78,1719428451.5541065
-0.19,-0.77,0.81,1719428451.619996
-0.03,-0.78,0.69,1719428451.619996
-0.1,-0.83,0.54,1719428451.6209967
-0.11,-0.72,0.47,1719428451.6782494
