X,Y,Z,Timestamp
-0.68,-0.54,-0.18,1719429160.271613
-0.38,-0.44,-0.25,1719429160.272613
-0.11,-0.14,-0.2,1719429160.2736144
0.38,-0.17,0.28,1719429160.2736144
0.2,0.01,0.27,1719429160.2736144
-0.12,0.01,0.55,1719429160.2736144
-0.13,0.03,0.59,1719429160.2736144
0.03,0.01,0.56,1719429160.2736144
-0.1,-0.03,0.44,1719429160.2746148
-0.13,-0.08,0.44,1719429160.2746148
-0.47,-0.13,0.3,1719429160.280616
-0.21,-0.04,0.32,1719429160.280616
-0.09,-0.07,0.38,1719429160.280616
-0.05,-0.11,0.29,1719429160.3472557
-0.11,-0.12,0.37,1719429160.3476782
-0.2,-0.18,0.75,1719429160.3476782
-0.17,-0.1,1.42,1719429160.3476782
-0.28,-0.23,2.35,1719429160.4139316
-0.17,-0.13,2.1,1719429160.4139316
-0.26,-0.3,1.15,1719429160.4139316
0.26,-0.07,0.74,1719429160.4806035
0.32,-0.07,0.58,1719429160.4806035
0.41,-0.15,0.58,1719429160.4806035
0.4,-0.1,0.54,1719429160.4816062
0.47,-0.15,0.69,1719429160.5467525
0.45,-0.17,1.13,1719429160.5476854
0.33,-0.2,1.51,1719429160.5476854
0.44,-0.18,1.26,1719429160.5476854
0.41,-0.12,1.08,1719429160.6139207
0.22,-0.23,1.06,1719429160.6139207
0.15,-0.19,0.89,1719429160.6139207
0.06,-0.22,1.06,1719429160.6148694
-0.11,-0.33,0.86,1719429160.6801467
-0.3,-0.31,0.21,1719429160.6811469
-0.65,-0.23,-0.21,1719429160.6811469
-0.58,-1.11,-3.0,1719429160.7472534
-0.05,-2.33,-3.2,1719429160.7476938
0.25,-3.3,-0.89,1719429160.7476938
0.02,-3.3,1.92,1719429160.748696
-0.74,-3.3,3.3,1719429160.8139405
-1.38,-2.06,3.3,1719429160.8139405
-1.2,-1.3,3.3,1719429160.8149433
-0.68,-1.33,1.36,1719429160.880607
0.24,-1.06,-0.83,1719429160.880607
0.25,-0.77,-1.36,1719429160.880607
-0.09,-0.73,-0.62,1719429160.880607
-0.39,-0.62,0.18,1719429160.9473686
-0.62,-0.64,0.72,1719429160.9473686
-0.65,-0.83,0.44,1719429160.9483688
0.01,-0.83,0.6,1719429161.013737
-0.03,-0.91,0.56,1719429161.013737
-0.02,-0.87,0.66,1719429161.0147498
-0.08,-0.83,0.64,1719429161.0147498
-0.08,-0.83,0.45,1719429161.0805979
0.05,-0.8,0.34,1719429161.0805979
0.19,-0.65,-0.04,1719429161.081603
0.33,-0.64,-0.32,1719429161.081603
0.31,-0.69,-0.16,1719429161.147275
0.17,-0.66,0.09,1719429161.147275
0.02,-0.77,0.44,1719429161.147275
0.01,-0.72,0.67,1719429161.2139516
-0.05,-0.84,0.65,1719429161.2139516
0.02,-0.83,0.7,1719429161.2139516
0.02,-0.76,1.02,1719429161.214957
-0.42,-0.47,-0.4,1719429161.280635
-0.49,-0.34,-0.68,1719429161.280635
-0.15,0.13,-1.25,1719429161.2816548
-0.34,-0.22,0.34,1719429161.3473005
