X,Y,Z,Timestamp
0.34,-0.83,0.25,1719430423.538486
0.08,-0.83,0.07,1719430423.5393274
-0.19,-0.76,0.17,1719430423.539382
-0.5,-0.73,0.3,1719430423.539382
-0.73,-0.64,0.21,1719430423.540171
-0.83,-0.57,0.13,1719430423.540171
-0.88,-0.53,0.05,1719430423.540171
-0.68,-0.4,-0.07,1719430423.540171
-0.59,-0.31,-0.05,1719430423.540171
-0.42,-0.22,0.08,1719430423.5411894
-0.16,-0.23,0.07,1719430423.5411894
-0.02,-0.1,0.19,1719430423.5411894
-0.09,-0.1,0.42,1719430423.5411894
0.07,-0.08,0.44,1719430423.5881321
0.03,-0.02,0.68,1719430423.5881321
0.09,-0.0,0.8,1719430423.5881321
0.08,0.02,0.65,1719430423.589132
0.07,-0.03,0.65,1719430423.6547534
0.09,-0.07,0.67,1719430423.6547534
0.05,0.03,0.72,1719430423.6547534
0.08,-0.05,0.54,1719430423.6557562
0.03,-0.04,0.49,1719430423.721423
-0.02,-0.12,0.48,1719430423.721423
-0.11,-0.09,0.51,1719430423.721423
-0.04,-0.07,0.47,1719430423.7880895
0.01,-0.03,0.61,1719430423.7880895
0.04,-0.08,0.56,1719430423.7890923
0.07,-0.03,0.67,1719430423.7890923
0.05,-0.02,0.62,1719430423.854766
0.36,0.05,0.39,1719430423.854766
0.51,0.04,0.14,1719430423.8557708
0.8,-0.0,-0.29,1719430423.8557708
1.1,-0.09,-0.89,1719430423.9214363
1.37,-0.25,-1.4,1719430423.9218092
1.16,-0.63,-1.06,1719430423.9218092
0.6,-0.9,-0.21,1719430423.9881153
0.34,-0.96,0.61,1719430423.9881153
0.3,-0.8,0.91,1719430423.989136
0.36,-0.79,1.0,1719430423.989136
0.21,-0.8,0.82,1719430424.0547645
-0.05,-0.85,0.96,1719430424.0547645
-0.31,-1.02,1.39,1719430424.0557683
-0.59,-1.09,1.95,1719430424.0557683
-0.83,-1.04,2.45,1719430424.1218164
-0.83,-0.75,0.32,1719430424.1218164
-0.99,-0.85,0.2,1719430424.1218164
-1.25,-0.97,0.09,1719430424.1881459
-1.08,-1.19,0.03,1719430424.1881459
-0.54,-1.22,0.15,1719430424.1881459
-0.22,-1.23,0.22,1719430424.189147
-0.09,-1.36,0.3,1719430424.2547824
-0.06,-1.31,0.44,1719430424.2547824
-0.08,-1.3,0.41,1719430424.2557862
0.02,-1.33,0.24,1719430424.3205988
0.37,-1.26,0.17,1719430424.3216412
0.68,-1.14,0.27,1719430424.3216412
0.69,-1.05,0.42,1719430424.3226416
0.78,-0.87,0.51,1719430424.388319
-0.08,-0.86,1.16,1719430424.388319
-0.08,-0.83,1.58,1719430424.388319
-0.06,-0.98,2.02,1719430424.389318
0.13,-0.96,1.88,1719430424.45478
0.22,-0.97,1.5,1719430424.45478
0.18,-1.06,0.99,1719430424.45478
-0.03,-1.01,0.26,1719430424.521453
