X,Y,Z,Timestamp
-0.3,-0.33,-0.14,1719434210.955385
-0.38,-0.15,-0.04,1719434210.9563854
-0.49,-0.2,0.03,1719434210.9563854
-0.49,-0.13,0.21,1719434210.9563854
-0.42,-0.16,0.59,1719434210.9563854
0.48,0.1,0.19,1719434210.9573855
-0.08,0.21,-0.04,1719434210.9573855
-0.54,0.18,-0.03,1719434210.9573855
-0.75,0.19,-0.11,1719434210.9573855
-0.53,0.16,0.05,1719434210.9573855
-0.39,0.07,0.34,1719434210.9583857
-0.44,0.11,0.39,1719434210.9583857
-0.3,0.01,0.48,1719434210.9588888
-0.16,0.04,0.39,1719434210.9588888
-0.16,0.18,-0.15,1719434210.9956152
-0.25,0.36,-0.72,1719434210.9956152
-0.25,0.54,-0.83,1719434210.9956152
-0.18,0.58,-0.49,1719434211.0622818
-0.18,0.6,-0.39,1719434211.0622818
-0.05,0.5,-0.27,1719434211.0622818
1.88,-3.3,-2.32,1719434211.0622818
1.95,-3.3,-1.28,1719434211.128847
1.49,-3.3,-0.39,1719434211.1299422
0.91,-3.3,0.08,1719434211.1299422
0.75,-3.3,1.32,1719434211.1951814
0.56,-3.3,3.11,1719434211.1961815
1.26,-3.26,3.3,1719434211.1961815
1.31,-3.13,3.3,1719434211.1961815
0.72,-3.08,3.3,1719434211.2617862
0.37,-3.03,3.3,1719434211.2627897
0.28,-2.8,3.3,1719434211.2627897
0.24,-2.4,2.33,1719434211.2637901
0.34,-2.0,1.32,1719434211.3282537
0.47,-1.65,1.06,1719434211.3292677
0.47,-1.38,1.1,1719434211.3292677
-0.42,-0.49,-0.4,1719434211.395528
-0.24,-0.15,-0.73,1719434211.3960328
-0.12,-0.06,-0.76,1719434211.3960328
0.07,0.16,-0.75,1719434211.3970377
0.17,0.23,-0.43,1719434211.4622717
0.33,0.23,-0.05,1719434211.4622717
0.15,0.21,-0.23,1719434211.4632745
-0.02,0.28,-0.42,1719434211.4632745
-0.19,0.38,-0.71,1719434211.5289419
-0.2,0.34,-0.6,1719434211.5289419
-0.35,0.55,-1.06,1719434211.5299795
-0.45,0.61,-1.01,1719434211.5957294
-0.18,0.66,-0.84,1719434211.5957294
-0.03,0.71,-0.84,1719434211.5957294
0.43,-3.3,0.41,1719434211.596734
0.8,-3.3,2.5,1719434211.6619537
1.31,-3.3,3.3,1719434211.6629698
1.3,-3.3,3.3,1719434211.6629698
0.59,-3.3,3.3,1719434211.6629698
0.39,-3.02,3.3,1719434211.7287831
0.23,-2.66,3.02,1719434211.7297916
0.13,-2.22,1.52,1719434211.7297916
0.23,-1.61,0.45,1719434211.79536
0.19,-1.2,-0.04,1719434211.7963672
0.02,-0.83,-0.1,1719434211.7963672
-0.07,-0.66,0.18,1719434211.7963672
0.18,-0.57,0.55,1719434211.8622744
