X,Y,Z,Timestamp
-0.08,-0.73,0.8,1719431678.8271947
-0.02,-0.72,0.82,1719431678.8284104
0.03,-0.66,0.59,1719431678.8284104
0.08,-0.56,0.38,1719431678.8284104
-0.29,-0.61,0.46,1719431678.8294253
-0.29,-0.64,0.43,1719431678.8294253
-0.34,-0.65,0.39,1719431678.8294253
-0.33,-0.61,0.29,1719431678.8294253
-0.28,-0.62,0.3,1719431678.8294253
-0.3,-0.6,0.39,1719431678.8304253
-0.19,-0.62,0.39,1719431678.8304253
-0.23,-0.65,0.48,1719431678.8304253
-0.21,-0.61,0.47,1719431678.8304253
-0.18,-0.63,0.52,1719431678.8304253
-0.19,-0.58,0.39,1719431678.8304253
-0.18,-0.58,0.36,1719431678.831426
-0.19,-0.55,0.34,1719431678.831426
-0.23,-0.62,0.34,1719431678.831426
-0.18,-0.58,0.25,1719431678.8322818
-0.28,-0.62,0.39,1719431678.8322818
-0.25,-0.74,0.49,1719431678.8322818
-0.18,-0.67,0.52,1719431678.8322818
-0.22,-0.72,0.56,1719431678.8322818
-0.23,-0.7,0.54,1719431678.833296
-0.23,-0.64,0.42,1719431678.833296
-0.16,-0.66,0.39,1719431678.833296
-0.16,-0.64,0.36,1719431678.833296
-0.22,-0.61,0.27,1719431678.833296
-0.15,-0.64,0.38,1719431678.833296
-0.26,-0.71,0.58,1719431678.8342962
-0.19,-0.85,1.09,1719431678.8342962
-0.47,-1.21,2.4,1719431678.8342962
0.15,0.22,-0.04,1719431678.8342962
-0.05,0.13,0.32,1719431678.8342962
-0.16,0.19,0.36,1719431678.8352966
-0.1,0.13,0.64,1719431678.8352966
-0.06,0.16,0.73,1719431678.8352966
-0.03,0.15,0.52,1719431678.8352966
-0.18,0.15,0.44,1719431678.8352966
-0.18,0.16,0.13,1719431678.8362968
-0.2,0.25,0.05,1719431678.8362968
-0.15,0.19,0.11,1719431678.8362968
-0.07,0.18,0.17,1719431678.8362968
-0.17,0.1,0.56,1719431678.8362968
-0.18,0.13,0.49,1719431678.8362968
-0.01,0.11,0.49,1719431678.8372972
-0.06,0.1,0.61,1719431678.8372972
-0.15,0.1,0.75,1719431678.8372972
-0.27,0.08,0.49,1719431678.8372972
-0.25,0.05,0.46,1719431678.8372972
-0.2,0.09,0.42,1719431678.8383353
-0.21,0.06,0.36,1719431678.8383353
-0.26,0.09,0.31,1719431678.8391774
-0.13,0.11,0.39,1719431678.8393466
-0.07,0.07,0.64,1719431678.8739307
-0.15,0.04,0.88,1719431678.8749828
-0.14,0.09,0.6,1719431678.8750434
-0.13,0.08,0.45,1719431678.876042
-0.18,0.08,0.48,1719431678.9405677
-0.24,0.07,0.44,1719431678.9412608
-0.26,0.04,0.44,1719431678.9415364
-0.28,0.07,0.49,1719431678.9415364
-0.13,0.03,0.53,1719431679.007239
-0.08,0.06,0.62,1719431679.0084934
-0.25,0.02,0.31,1719431679.0084934
-0.33,-0.06,0.6,1719431679.0739214
-0.41,-0.14,0.92,1719431679.0749722
-0.41,-0.11,0.94,1719431679.0749722
-0.32,-0.1,0.72,1719431679.0749722
-0.36,-0.04,0.52,1719431679.1405838
-0.31,-0.04,0.5,1719431679.1414053
-0.32,0.01,0.41,1719431679.1415546
-0.28,-0.05,0.45,1719431679.1415546
-0.36,-0.06,0.38,1719431679.207261
-0.38,-0.05,0.35,1719431679.2083848
-0.53,-0.09,0.48,1719431679.2083848
-0.56,-0.1,0.57,1719431679.273925
-0.39,-0.07,0.7,1719431679.2749157
-0.97,-0.18,0.65,1719431679.2749739
-1.26,-0.19,0.39,1719431679.2749739
-1.3,-0.22,0.24,1719431679.3412194
-1.27,-0.25,-0.03,1719431679.3417046
-0.75,-0.27,-0.29,1719431679.3422325
-0.56,-0.18,-0.49,1719431679.4072511
-0.01,-0.02,-0.8,1719431679.4072511
0.34,-0.02,-0.53,1719431679.4081824
0.18,-0.09,-0.02,1719431679.4081824
0.4,-0.05,0.04,1719431679.473917
0.39,-0.05,-0.19,1719431679.4749188
0.35,-0.16,-0.09,1719431679.4757202
0.14,-0.36,0.39,1719431679.5404048
0.2,-0.57,0.67,1719431679.5413802
0.06,-0.44,0.06,1719431679.5424385
-0.07,-0.45,-0.03,1719431679.543888
-0.34,-0.49,0.02,1719431679.6072438
-0.53,-0.51,0.26,1719431679.608252
-0.5,-0.48,0.34,1719431679.608252
-0.34,-0.46,0.36,1719431679.6739268
-0.28,-0.33,0.19,1719431679.6739268
-0.28,-0.36,0.04,1719431679.6752083
-0.25,-0.36,0.06,1719431679.6773806
-0.48,-0.49,0.26,1719431679.7406023
-0.89,-0.64,0.6,1719431679.741636
-1.03,-0.59,0.7,1719431679.7427251
-0.55,-0.6,0.57,1719431679.744189
-0.46,-0.44,0.36,1719431679.8072658
0.19,-0.77,0.8,1719431679.808458
0.12,-0.76,0.82,1719431679.808458
0.12,-0.75,0.7,1719431679.87399
0.15,-0.68,0.54,1719431679.8749838
0.08,-0.59,0.41,1719431679.8772016
0.07,-0.63,0.34,1719431679.877731
0.05,-0.6,0.39,1719431679.94062
