X,Y,Z,Timestamp
0.03,0.03,0.49,1718894599.4930124
-0.12,-0.03,0.39,1718894599.4940777
0.03,0.1,0.54,1718894599.4940777
0.11,0.15,0.77,1718894599.4950857
-0.16,0.01,0.54,1718894599.4950857
-0.24,-0.03,0.65,1718894599.4960837
-0.15,-0.06,0.6,1718894599.5164123
-0.62,-0.18,0.42,1718894599.5174134
-0.54,-0.13,0.47,1718894599.5184126
-0.4,-0.07,0.46,1718894599.5184126
-0.23,-0.03,0.53,1718894599.51942
-0.22,0.02,0.62,1718894599.51942
-0.01,0.05,0.66,1718894599.51942
-0.07,-0.04,0.62,1718894599.5204163
0.03,0.01,0.63,1718894599.5628111
-0.13,-0.06,0.53,1718894599.563051
-0.42,-0.13,0.45,1718894599.563835
-0.86,-0.22,0.5,1718894599.5648415
-1.26,-0.34,0.43,1718894599.6294603
-0.23,-0.24,0.01,1718894599.630463
-0.39,-0.36,-0.27,1718894599.631547
0.1,-0.34,0.01,1718894599.69637
0.05,-0.32,0.28,1718894599.6967697
0.1,-0.28,0.68,1718894599.6977844
0.12,-0.32,0.64,1718894599.6986213
0.07,-0.34,0.72,1718894599.762565
0.14,-0.41,0.93,1718894599.7635508
0.27,-0.3,0.95,1718894599.764512
0.1,-0.4,0.8,1718894599.7649674
0.34,0.11,0.69,1718894599.8289862
-0.14,-0.48,0.77,1718894599.8299167
-0.18,-0.61,0.65,1718894599.8299167
-0.44,-0.62,0.72,1718894599.895505
-0.44,-0.58,0.67,1718894599.8975549
-0.36,-0.77,0.53,1718894599.8975549
-0.38,-0.64,0.6,1718894599.8985002
-0.32,-0.6,0.71,1718894599.9628563
-0.43,-0.62,0.63,1718894599.9628563
-0.54,-0.62,0.42,1718894599.9638624
-0.59,-0.59,0.34,1718894599.9638624
-0.66,-0.49,0.26,1718894600.0293484
-0.52,-0.42,0.39,1718894600.030225
-0.57,-0.41,0.54,1718894600.030225
-0.78,-0.5,0.52,1718894600.095805
-0.9,-0.4,0.56,1718894600.0968025
-1.34,-0.48,0.53,1718894600.0968025
-1.37,-0.59,0.29,1718894600.0968025
-1.07,-0.57,0.26,1718894600.1626904
-0.02,-0.03,0.53,1718894600.1626904
-0.29,-0.03,0.41,1718894600.163698
-0.13,-0.01,0.38,1718894600.2299662
