X,Y,Z,Timestamp
-0.3,-0.41,1.04,1718894684.3745837
-0.41,-0.2,0.39,1718894684.375617
-0.35,-0.13,0.4,1718894684.375617
-0.33,-0.2,0.39,1718894684.3766232
-0.22,-0.13,0.37,1718894684.3766232
-0.37,-0.16,0.33,1718894684.37783
-0.33,-0.16,0.37,1718894684.378105
-0.26,-0.16,0.4,1718894684.378105
-0.23,-0.08,0.37,1718894684.3789346
-0.26,-0.09,0.45,1718894684.379342
-0.29,-0.2,0.52,1718894684.379342
-0.26,-0.2,0.51,1718894684.3803494
-0.39,-0.19,0.51,1718894684.3803494
-0.28,-0.18,0.59,1718894684.3813481
-0.33,-0.25,0.59,1718894684.3813481
-0.25,-0.22,0.51,1718894684.3813481
-0.33,-0.21,0.55,1718894684.3823478
-0.34,-0.13,0.55,1718894684.3823478
-0.29,-0.12,0.49,1718894684.3823478
-0.35,-0.19,0.58,1718894684.3833492
-0.27,-0.13,0.53,1718894684.4278264
-0.37,-0.18,0.59,1718894684.4287522
-0.35,-0.19,0.61,1718894684.4297533
-0.31,-0.18,0.63,1718894684.4297533
-0.39,-0.26,0.6,1718894684.4954028
-0.29,-0.21,0.59,1718894684.4958396
-0.39,-0.25,0.61,1718894684.4966671
-0.4,-0.24,0.56,1718894684.5620427
-0.41,-0.25,0.63,1718894684.563041
-0.36,-0.16,0.54,1718894684.563041
-0.4,-0.21,0.53,1718894684.5640407
-0.39,-0.14,0.49,1718894684.628676
-0.3,-0.2,0.51,1718894684.628676
-0.31,-0.2,0.49,1718894684.6296031
-0.32,-0.16,0.46,1718894684.6945374
-0.3,-0.19,0.47,1718894684.6954587
-0.26,-0.14,0.57,1718894684.6964436
-0.27,-0.16,0.55,1718894684.697422
-0.18,-0.16,0.54,1718894684.761909
-0.27,-0.19,0.64,1718894684.7625387
-0.28,-0.19,0.64,1718894684.7635765
-0.31,-0.21,0.61,1718894684.764594
-0.22,-0.13,0.56,1718894684.8285298
-0.25,-0.16,0.43,1718894684.8294592
-0.22,-0.18,0.35,1718894684.8304617
-0.12,-0.1,0.44,1718894684.8949661
-0.23,-0.18,0.39,1718894684.8958364
-0.28,-0.22,0.4,1718894684.8968365
-0.23,-0.26,0.32,1718894684.8968365
-0.2,-0.22,0.36,1718894684.9618623
-0.24,-0.18,0.36,1718894684.9618623
-0.34,-0.22,0.4,1718894684.9628603
-0.3,-0.14,0.4,1718894685.0281699
-0.23,-0.21,0.41,1718894685.0290277
-0.13,-0.22,0.44,1718894685.0290277
-0.28,-0.28,0.5,1718894685.0300257
-0.33,-0.33,0.54,1718894685.09493
-0.28,-0.25,0.74,1718894685.0957897
-0.26,-0.33,0.8,1718894685.0957897
-0.23,-0.33,0.78,1718894685.1614115
-0.28,-0.28,0.8,1718894685.162352
-0.21,-0.34,0.78,1718894685.1632907
-0.21,-0.21,0.73,1718894685.1632907
-0.19,-0.27,0.75,1718894685.228736
-0.23,-0.26,0.78,1718894685.2292187
-0.15,-0.27,0.7,1718894685.2292187
-0.24,-0.26,0.67,1718894685.2951403
-0.2,-0.26,0.68,1718894685.2951403
-0.19,-0.26,0.62,1718894685.2962477
-0.24,-0.29,0.57,1718894685.2967691
-0.27,-0.3,0.54,1718894685.362166
-0.43,-0.34,0.49,1718894685.3629284
-0.49,-0.34,0.5,1718894685.3629284
-0.49,-0.39,0.52,1718894685.3639326
-0.43,-0.34,0.57,1718894685.4287627
-0.47,-0.39,0.59,1718894685.4293845
-0.39,-0.35,0.63,1718894685.4298077
-0.44,-0.34,0.62,1718894685.49519
-0.41,-0.31,0.59,1718894685.4954135
-0.33,-0.29,0.66,1718894685.4954135
-0.3,-0.28,0.64,1718894685.4964197
-0.23,-0.33,0.76,1718894685.5621674
-0.26,-0.34,0.76,1718894685.5621674
-0.34,-0.34,0.82,1718894685.5631764
-0.36,-0.39,0.72,1718894685.6286771
-0.35,-0.29,0.57,1718894685.6288786
-0.32,-0.22,0.54,1718894685.6288786
-0.3,-0.26,0.41,1718894685.6298902
-0.28,-0.25,0.48,1718894685.6952622
