X,Y,Z,Timestamp
-0.39,-0.31,0.57,1718894758.5128965
-0.37,-0.28,0.52,1718894758.5128965
-0.36,-0.27,0.49,1718894758.5140188
-0.3,-0.28,0.39,1718894758.5140188
-0.29,-0.2,0.39,1718894758.515024
-0.26,-0.22,0.39,1718894758.515024
-0.25,-0.18,0.39,1718894758.5164483
-0.15,-0.13,0.38,1718894758.5169528
-0.07,-0.06,0.38,1718894758.5169528
-0.08,-0.04,0.32,1718894758.5179584
-0.11,-0.02,0.27,1718894758.5179584
-0.18,-0.06,0.23,1718894758.518958
-0.18,-0.06,0.14,1718894758.518958
-0.26,-0.07,0.09,1718894758.5199585
-0.31,-0.1,0.39,1718894758.5199585
-0.39,-0.13,0.4,1718894758.5209603
-0.32,-0.06,0.45,1718894758.5211172
-0.34,-0.13,0.46,1718894758.5606794
-0.34,-0.16,0.4,1718894758.561679
-0.35,-0.19,0.35,1718894758.561679
-0.44,-0.16,0.33,1718894758.6276062
-0.48,-0.18,0.34,1718894758.6285129
-0.39,-0.19,0.34,1718894758.6285129
-0.38,-0.13,0.32,1718894758.6295264
-0.39,-0.16,0.28,1718894758.6949892
-0.34,-0.18,0.31,1718894758.6960075
-0.36,-0.18,0.31,1718894758.6970067
-0.34,-0.23,0.3,1718894758.760713
-0.15,-0.21,0.68,1718894758.762637
-0.13,-0.21,0.75,1718894758.7635853
-0.12,-0.23,0.72,1718894758.7637584
-0.11,-0.27,0.75,1718894758.8280547
-0.06,-0.21,0.79,1718894758.8280547
-0.06,-0.27,0.77,1718894758.829055
-0.02,-0.29,0.87,1718894758.8947594
-0.02,-0.23,0.77,1718894758.8947594
0.05,-0.23,0.82,1718894758.89577
-0.1,-0.22,0.76,1718894758.8967633
0.2,0.05,1.1,1718894758.9613469
0.08,0.01,0.99,1718894758.9613469
-0.13,-0.3,0.76,1718894758.9623604
-0.13,-0.28,0.71,1718894758.963356
-0.16,-0.28,0.73,1718894759.0279598
-0.21,-0.18,0.7,1718894759.0279598
0.02,-0.06,0.72,1718894759.0289693
-0.34,-0.36,0.53,1718894759.094318
-0.39,-0.32,0.47,1718894759.094318
-0.39,-0.33,0.47,1718894759.0951984
-0.36,-0.27,0.47,1718894759.0951984
-0.26,-0.3,0.45,1718894759.1606936
-0.31,-0.31,0.48,1718894759.1615925
-0.26,-0.16,0.68,1718894759.1615925
-0.39,-0.25,0.52,1718894759.162596
-0.45,-0.28,0.42,1718894759.2277129
-0.36,-0.28,0.39,1718894759.2285807
-0.49,-0.41,0.42,1718894759.2285807
-0.44,-0.37,0.51,1718894759.2941926
-0.45,-0.36,0.74,1718894759.2950642
-0.39,-0.35,0.72,1718894759.2950642
-0.41,-0.37,0.75,1718894759.2960656
-0.35,-0.3,0.7,1718894759.3603017
-0.42,-0.35,0.79,1718894759.361367
-0.33,-0.32,0.67,1718894759.361367
-0.31,-0.39,0.75,1718894759.4276247
-0.28,-0.37,0.75,1718894759.4276247
-0.34,-0.29,0.72,1718894759.4285932
-0.27,-0.3,0.71,1718894759.4285932
-0.03,0.09,1.03,1718894759.4945397
