X,Y,Z,Timestamp
-0.27,-0.13,0.35,1718894585.2770462
-0.1,-0.08,0.47,1718894585.2770462
-0.15,-0.07,0.44,1718894585.278047
0.14,0.23,0.72,1718894585.278047
-0.06,0.13,0.57,1718894585.278047
-0.05,-0.0,0.53,1718894585.2793908
-0.22,-0.06,0.49,1718894585.2793908
-0.29,-0.04,0.49,1718894585.2793908
-0.28,-0.03,0.56,1718894585.280397
-0.24,-0.08,0.54,1718894585.2816253
-0.25,-0.09,0.59,1718894585.282631
-0.21,-0.06,0.6,1718894585.282631
-0.08,0.08,0.82,1718894585.283634
-0.13,-0.12,0.74,1718894585.283634
-0.23,0.03,0.7,1718894585.2957773
-0.28,-0.1,0.68,1718894585.2966588
-0.19,-0.07,0.66,1718894585.2976477
-0.07,0.05,0.71,1718894585.363362
-0.04,-0.06,0.67,1718894585.36363
-0.07,-0.05,0.66,1718894585.3647723
-0.08,0.03,0.63,1718894585.3655849
0.27,0.15,0.59,1718894585.4292874
-0.0,-0.05,0.54,1718894585.4301565
0.01,0.15,0.59,1718894585.4311922
-0.19,-0.11,0.39,1718894585.4321446
0.13,0.18,0.75,1718894585.496208
-0.07,-0.18,0.31,1718894585.4971316
-0.22,-0.17,0.26,1718894585.4971316
-0.27,-0.13,0.39,1718894585.563446
-0.24,-0.25,0.41,1718894585.5644631
-0.29,-0.34,0.43,1718894585.5654619
-0.53,-0.39,0.57,1718894585.5654619
-0.57,-0.36,0.7,1718894585.6292725
-0.59,-0.44,0.8,1718894585.6302755
-0.38,-0.47,0.88,1718894585.6302755
0.26,-0.45,0.82,1718894585.6302755
0.23,-0.4,0.87,1718894585.6960118
-0.0,-0.48,0.9,1718894585.696896
0.08,-0.49,0.86,1718894585.697893
0.03,-0.44,0.9,1718894585.762915
0.08,-0.43,0.82,1718894585.7631695
0.04,-0.45,0.91,1718894585.7641842
-0.08,-0.49,0.9,1718894585.7651806
0.01,-0.51,0.82,1718894585.8297784
-0.01,-0.52,0.67,1718894585.830121
-0.1,-0.52,0.55,1718894585.830121
-0.03,-0.47,0.62,1718894585.831131
-0.08,-0.4,0.65,1718894585.8953626
0.05,-0.41,0.64,1718894585.8963602
-0.02,-0.41,0.57,1718894585.8963602
-0.23,-0.13,0.48,1718894585.9630518
-0.02,0.23,0.68,1718894585.9630518
-0.57,-0.11,0.49,1718894585.9640603
-0.36,-0.05,0.58,1718894585.9640603
-0.06,-0.18,0.7,1718894586.0292702
-0.1,0.03,0.76,1718894586.0292702
-0.08,0.07,0.79,1718894586.03027
-0.12,0.11,0.62,1718894586.03027
-0.08,-0.01,0.66,1718894586.0956576
-0.31,-0.01,0.52,1718894586.0966551
-0.54,-0.08,0.48,1718894586.0966551
-0.52,0.07,0.45,1718894586.1629264
