X,Y,Z,Timestamp
-0.21,-0.23,0.41,1718894635.2630866
-0.27,-0.34,0.37,1718894635.2639852
-0.21,-0.23,0.3,1718894635.2639852
-0.19,-0.19,0.41,1718894635.2639852
-0.23,-0.13,0.46,1718894635.2649841
-0.25,-0.23,0.44,1718894635.2659845
-0.24,-0.15,0.44,1718894635.2659845
-0.21,-0.18,0.56,1718894635.2669842
-0.27,-0.25,0.58,1718894635.2669842
-0.26,-0.22,0.5,1718894635.2678807
-0.24,-0.19,0.6,1718894635.296082
-0.22,-0.23,0.56,1718894635.296082
-0.25,-0.23,0.59,1718894635.2969747
-0.24,-0.22,0.62,1718894635.3622098
-0.21,-0.24,0.64,1718894635.3630774
-0.24,-0.25,0.61,1718894635.3630774
-0.28,-0.21,0.54,1718894635.3640916
-0.03,-0.2,0.77,1718894635.429215
-0.05,-0.24,0.71,1718894635.4301643
-0.13,-0.28,0.67,1718894635.4301643
-0.08,-0.26,0.69,1718894635.495684
-0.16,-0.25,0.59,1718894635.4965472
-0.18,-0.25,0.56,1718894635.4965472
-0.25,-0.23,0.59,1718894635.4975529
-0.28,-0.32,0.53,1718894635.562096
-0.34,-0.3,0.55,1718894635.563121
-0.37,-0.31,0.56,1718894635.5636504
-0.34,-0.28,0.57,1718894635.629601
-0.36,-0.26,0.54,1718894635.6297715
-0.39,-0.3,0.56,1718894635.6307266
-0.39,-0.26,0.61,1718894635.6317384
-0.45,-0.25,0.38,1718894635.6950445
-0.41,-0.31,0.37,1718894635.6960452
-0.39,-0.26,0.39,1718894635.6960452
-0.34,-0.25,0.37,1718894635.697045
-0.31,-0.28,0.28,1718894635.7615523
-0.29,-0.26,0.3,1718894635.7625265
-0.29,-0.29,0.34,1718894635.7625265
-0.21,-0.31,0.31,1718894635.8288796
-0.25,-0.31,0.28,1718894635.8288796
-0.18,-0.3,0.31,1718894635.82983
-0.13,-0.23,0.35,1718894635.8301709
-0.06,-0.23,0.39,1718894635.8953438
-0.05,-0.21,0.42,1718894635.8963227
-0.05,-0.3,0.36,1718894635.8963227
-0.54,-0.54,0.99,1718894635.9617472
-0.52,-0.49,0.81,1718894635.9627638
-0.41,-0.47,0.7,1718894635.9627638
-0.49,-0.52,0.57,1718894635.9637535
-0.43,-0.51,0.63,1718894636.0287127
-0.4,-0.53,0.57,1718894636.029712
-0.36,-0.48,0.58,1718894636.0307086
-0.41,-0.48,0.64,1718894636.0955021
-0.34,-0.46,0.63,1718894636.0955021
-0.29,-0.41,0.49,1718894636.0965033
-0.34,-0.44,0.55,1718894636.0965033
-0.28,-0.39,0.53,1718894636.1624959
-0.28,-0.44,0.49,1718894636.1624959
-0.2,-0.44,0.54,1718894636.163506
-0.03,-0.42,0.64,1718894636.2290359
-0.08,-0.36,0.62,1718894636.2290359
-0.14,-0.4,0.65,1718894636.2300584
-0.09,-0.35,0.72,1718894636.2310472
-0.11,-0.33,0.74,1718894636.295209
-0.1,-0.39,0.76,1718894636.2962232
-0.11,-0.38,0.79,1718894636.2962232
-0.14,-0.33,0.81,1718894636.2972193
-0.1,-0.31,0.89,1718894636.3623135
-0.16,-0.34,0.87,1718894636.3623135
-0.18,-0.36,0.78,1718894636.3633134
-0.18,-0.32,0.75,1718894636.428266
-0.15,-0.32,0.73,1718894636.4292696
-0.2,-0.34,0.75,1718894636.4292696
-0.19,-0.33,0.33,1718894636.4292696
-0.23,-0.2,0.35,1718894636.4959052
