X,Y,Z,Timestamp
-0.28,-0.2,0.29,1718894708.2262437
-0.3,-0.18,0.26,1718894708.227154
-0.24,-0.21,0.27,1718894708.227154
-0.3,-0.21,0.13,1718894708.2281525
-0.22,-0.08,0.31,1718894708.2281525
-0.23,-0.14,0.29,1718894708.2281525
-0.25,-0.12,0.27,1718894708.2291543
-0.1,-0.18,0.39,1718894708.2301538
-0.28,-0.17,0.31,1718894708.2306762
-0.21,-0.13,0.43,1718894708.231105
-0.03,0.1,0.82,1718894708.231105
-0.18,-0.09,0.67,1718894708.2321115
-0.29,-0.04,0.67,1718894708.2321115
-0.29,-0.15,0.59,1718894708.294666
-0.15,-0.01,0.64,1718894708.294666
0.03,0.1,0.82,1718894708.295677
-0.28,-0.16,0.64,1718894708.2961366
-0.1,-0.0,0.76,1718894708.3614597
-0.21,-0.09,0.63,1718894708.3624792
-0.21,-0.19,0.64,1718894708.3634706
-0.16,-0.1,0.65,1718894708.4279532
-0.18,-0.13,0.65,1718894708.4289534
-0.23,-0.2,0.58,1718894708.429952
-0.12,-0.12,0.52,1718894708.4309516
0.35,0.31,0.95,1718894708.4945142
-0.28,-0.28,0.53,1718894708.4955342
-0.39,-0.31,0.68,1718894708.4965334
-0.42,-0.27,0.7,1718894708.4975312
-0.41,-0.24,0.81,1718894708.5614078
-0.34,-0.11,0.96,1718894708.5624208
-0.52,-0.29,0.77,1718894708.5634196
-0.6,-0.34,0.7,1718894708.6278317
-0.35,-0.09,0.82,1718894708.628829
-0.5,-0.39,0.64,1718894708.6298287
-0.5,-0.21,0.62,1718894708.6308274
-0.32,-0.06,0.82,1718894708.6947694
-0.34,-0.09,0.8,1718894708.6947694
-0.34,-0.23,0.69,1718894708.6958208
-0.51,-0.21,0.82,1718894708.7611082
-0.55,-0.36,0.41,1718894708.7620196
-0.06,0.09,0.87,1718894708.7630203
0.06,0.24,1.22,1718894708.7630203
-0.39,-0.38,0.49,1718894708.82778
-0.4,-0.36,0.52,1718894708.8287997
-0.49,-0.42,0.5,1718894708.829783
-0.36,-0.34,0.57,1718894708.830814
-0.27,-0.31,0.5,1718894708.8944666
-0.2,-0.31,0.58,1718894708.8954642
-0.1,-0.3,0.6,1718894708.8964615
-0.01,-0.23,0.65,1718894708.9615393
-0.02,-0.23,0.72,1718894708.9615393
0.03,-0.23,0.79,1718894708.962538
0.23,-0.18,0.81,1718894708.962538
-0.22,-0.34,0.95,1718894709.0276978
-0.26,-0.46,0.91,1718894709.0287023
-0.27,-0.49,0.94,1718894709.0287023
-0.27,-0.5,1.01,1718894709.0947323
-0.24,-0.38,1.07,1718894709.0947323
-0.25,-0.47,1.11,1718894709.0955987
-0.25,-0.43,1.12,1718894709.0955987
-0.3,-0.39,1.09,1718894709.1610005
-0.19,-0.37,1.02,1718894709.162482
-0.13,-0.27,0.81,1718894709.1635628
0.13,-0.16,0.82,1718894709.1635628
0.02,-0.15,0.79,1718894709.2283483
