X,Y,Z,Timestamp
-0.34,0.02,0.3,1718894840.5065577
-0.35,0.04,0.32,1718894840.5065577
-0.37,0.08,0.34,1718894840.5075324
-0.33,0.1,0.34,1718894840.5075324
-0.33,0.08,0.42,1718894840.5075324
0.15,0.41,0.79,1718894840.5085337
-0.23,0.08,0.6,1718894840.5085337
0.06,0.37,0.82,1718894840.5095325
-0.24,0.16,0.54,1718894840.5095325
-0.33,0.13,0.52,1718894840.5102355
-0.42,0.11,0.54,1718894840.5102355
-0.43,0.1,0.43,1718894840.5102355
-0.31,0.08,0.46,1718894840.5112438
-0.41,0.11,0.26,1718894840.5112438
-0.39,0.1,0.24,1718894840.5112438
-0.39,0.13,0.22,1718894840.5122414
-0.37,0.08,0.2,1718894840.5122414
-0.39,0.09,0.2,1718894840.5122414
-0.32,-0.05,0.17,1718894840.5132415
-0.33,-0.1,0.24,1718894840.5132415
-0.3,-0.06,0.3,1718894840.5132415
-0.34,-0.15,0.34,1718894840.5142415
-0.31,-0.15,0.44,1718894840.5142415
-0.22,-0.33,0.8,1718894840.5152411
-0.14,-0.31,1.02,1718894840.5152411
-0.24,-0.38,0.86,1718894840.5152411
-0.13,-0.3,0.87,1718894840.516241
-0.25,-0.31,0.75,1718894840.516241
-0.29,-0.27,0.48,1718894840.516241
-0.29,-0.22,0.4,1718894840.517243
-0.23,-0.16,0.28,1718894840.517243
-0.05,-0.08,0.38,1718894840.51859
-0.28,-0.08,0.31,1718894840.5602217
0.08,0.46,0.87,1718894840.5602217
-0.12,0.1,0.49,1718894840.5611572
-0.12,0.24,0.7,1718894840.5611572
-0.34,-0.1,0.41,1718894840.6269658
-0.47,-0.16,0.19,1718894840.6278553
-0.36,0.1,0.34,1718894840.6278553
-0.37,0.08,0.36,1718894840.6938152
-0.29,0.09,0.54,1718894840.694741
-0.22,0.11,0.57,1718894840.6957417
-0.37,0.09,0.53,1718894840.6957417
-0.33,-0.0,0.52,1718894840.7603145
-0.28,-0.05,0.54,1718894840.761214
-0.33,-0.05,0.4,1718894840.762209
-0.38,-0.08,0.24,1718894840.762209
-0.35,-0.09,-0.0,1718894840.8272674
-0.38,-0.21,0.05,1718894840.8282707
-0.36,-0.27,0.3,1718894840.8282707
-0.29,-0.24,0.59,1718894840.8935833
-0.23,-0.29,0.93,1718894840.8944855
-0.03,-0.1,0.82,1718894840.895486
-0.19,-0.11,0.86,1718894840.896482
-0.3,-0.26,0.56,1718894840.960263
-0.27,-0.17,0.54,1718894840.9611406
-0.31,-0.24,0.48,1718894840.9611406
-0.18,-0.22,0.52,1718894841.026895
