X,Y,Z,Timestamp
0.23,0.08,1.04,1718894783.054003
-0.1,-0.28,0.78,1718894783.0549014
-0.0,-0.38,0.54,1718894783.0559096
0.46,-0.3,0.57,1718894783.0559096
0.52,-0.14,0.67,1718894783.056909
0.27,-0.31,0.69,1718894783.056909
-0.18,-0.51,1.01,1718894783.0579617
0.19,0.13,1.56,1718894783.0583396
-0.56,-0.44,0.75,1718894783.0583396
-0.44,-0.44,0.7,1718894783.0593467
-0.26,-0.17,0.98,1718894783.0593467
-0.3,-0.38,0.87,1718894783.0603468
-0.41,-0.28,0.88,1718894783.0603468
-0.11,-0.17,0.82,1718894783.0603468
0.41,0.35,1.22,1718894783.0946977
0.07,-0.05,0.69,1718894783.0950813
-0.6,-0.41,0.35,1718894783.0955715
-0.45,-0.21,0.39,1718894783.1604517
-0.49,-0.36,0.18,1718894783.16132
-0.01,0.08,0.51,1718894783.1623137
-0.06,-0.15,0.09,1718894783.1633139
-0.18,-0.11,0.43,1718894783.2274547
-0.05,-0.06,0.54,1718894783.2280128
0.04,-0.04,0.72,1718894783.2290988
-0.0,0.03,0.78,1718894783.230116
-0.02,0.12,0.82,1718894783.2937567
-0.13,-0.02,0.59,1718894783.2947495
-0.35,-0.32,0.48,1718894783.2956235
-0.29,-0.25,0.53,1718894783.3612683
-0.29,-0.28,0.52,1718894783.3612683
-0.28,-0.22,0.54,1718894783.362287
-0.26,-0.27,0.64,1718894783.3632834
-0.35,-0.24,0.78,1718894783.4279065
-0.44,-0.34,0.72,1718894783.4279065
-0.39,-0.27,0.59,1718894783.4279065
-0.0,-0.22,0.26,1718894783.4938579
0.08,-0.24,0.39,1718894783.4947345
0.06,-0.22,0.49,1718894783.4947345
0.02,-0.24,0.48,1718894783.4957287
-0.01,-0.2,0.49,1718894783.5604725
0.02,-0.18,0.46,1718894783.5623374
0.11,-0.18,0.55,1718894783.5623374
0.08,-0.18,0.6,1718894783.563336
0.13,-0.21,0.57,1718894783.626834
0.11,-0.19,0.57,1718894783.6278296
0.14,-0.23,0.54,1718894783.6278296
0.18,-0.11,0.74,1718894783.6288314
0.15,-0.05,0.87,1718894783.6936018
0.11,-0.21,0.74,1718894783.694596
0.01,-0.1,0.62,1718894783.694596
0.06,-0.16,0.59,1718894783.7609828
-0.39,-0.41,0.49,1718894783.7609828
-0.44,-0.42,0.41,1718894783.7618983
-0.2,-0.1,0.89,1718894783.7618983
-0.54,-0.38,0.4,1718894783.827155
-0.4,-0.38,0.45,1718894783.827155
-0.51,-0.38,0.29,1718894783.8281543
-0.46,-0.38,0.39,1718894783.8281543
-0.33,-0.23,0.52,1718894783.8947165
-0.21,-0.04,0.92,1718894783.8951192
-0.23,-0.2,0.75,1718894783.8956084
-0.19,-0.24,0.69,1718894783.9606225
-0.05,0.23,1.2,1718894783.961493
-0.33,-0.24,0.7,1718894783.961493
-0.59,-0.51,0.47,1718894783.961493
-0.3,-0.44,0.46,1718894784.027058
-0.26,-0.47,0.57,1718894784.027933
-0.01,-0.23,0.92,1718894784.027933
0.01,-0.13,1.06,1718894784.0943706
