X,Y,Z,Timestamp
-0.59,-0.44,0.39,1718895384.6047132
-0.64,-0.44,0.33,1718895384.6047132
-0.67,-0.43,0.28,1718895384.6057134
-0.58,-0.41,0.3,1718895384.6067991
-0.42,-0.23,0.33,1718895384.6077166
-0.41,-0.23,0.28,1718895384.6077166
-0.44,-0.17,0.17,1718895384.6087162
-0.39,-0.17,0.17,1718895384.6087162
-0.29,-0.19,0.21,1718895384.6087162
-0.27,-0.14,0.23,1718895384.6100876
-0.25,-0.12,0.18,1718895384.6110969
-0.2,-0.13,0.19,1718895384.6110969
-0.24,-0.07,0.13,1718895384.6110969
-0.21,-0.15,0.16,1718895384.612094
-0.28,-0.08,0.18,1718895384.612094
-0.19,-0.13,0.18,1718895384.612094
-0.16,-0.11,0.18,1718895384.6746922
-0.18,-0.12,0.18,1718895384.6756084
0.03,-0.07,0.44,1718895384.676607
0.05,-0.11,0.63,1718895384.6776083
-0.07,-0.08,0.47,1718895384.7418356
-0.11,-0.13,0.51,1718895384.7427194
-0.03,-0.12,0.56,1718895384.7437236
-0.06,-0.13,0.49,1718895384.7448251
-0.08,-0.08,0.47,1718895384.8082967
-0.05,-0.08,0.57,1718895384.8092234
0.05,-0.08,0.6,1718895384.8092234
-0.01,-0.2,0.63,1718895384.8752096
-0.07,-0.23,0.72,1718895384.8752096
-0.08,-0.16,0.78,1718895384.8762214
-0.12,-0.26,0.78,1718895384.8762214
-0.22,-0.17,0.7,1718895384.9417393
-0.25,-0.22,0.78,1718895384.9427595
-0.18,-0.23,0.81,1718895384.9427595
-0.18,-0.29,0.82,1718895385.0083725
-0.18,-0.19,0.71,1718895385.0083725
-0.25,-0.23,0.75,1718895385.009274
-0.26,-0.27,0.7,1718895385.009274
-0.23,-0.25,0.64,1718895385.0751
-0.29,-0.28,0.62,1718895385.0751
-0.26,-0.28,0.6,1718895385.0761123
-0.27,-0.24,0.61,1718895385.0761123
-0.22,-0.27,0.62,1718895385.1417313
-0.29,-0.25,0.63,1718895385.142631
-0.19,-0.24,0.65,1718895385.142631
-0.28,-0.21,0.59,1718895385.2085667
-0.22,-0.18,0.48,1718895385.2090473
-0.28,-0.18,0.54,1718895385.2100601
-0.25,-0.21,0.44,1718895385.2100601
-0.28,-0.2,0.47,1718895385.2754228
-0.26,-0.22,0.47,1718895385.2754228
-0.29,-0.18,0.54,1718895385.2764237
-0.21,-0.23,0.5,1718895385.3413148
-0.24,-0.21,0.46,1718895385.3413148
-0.25,-0.19,0.44,1718895385.3426118
-0.22,-0.22,0.47,1718895385.3426118
-0.25,-0.19,0.42,1718895385.4081957
-0.28,-0.22,0.39,1718895385.4081957
-0.28,-0.24,0.44,1718895385.409195
-0.29,-0.25,0.4,1718895385.475281
-0.15,-0.26,0.29,1718895385.475281
-0.1,-0.33,0.33,1718895385.476497
-0.08,-0.3,0.31,1718895385.476497
-0.08,-0.34,0.33,1718895385.5421371
-0.08,-0.3,0.4,1718895385.5421371
-0.09,-0.32,0.38,1718895385.5431488
-0.05,-0.36,0.47,1718895385.6083114
0.08,-0.37,0.45,1718895385.6091785
0.05,-0.35,0.43,1718895385.6091785
0.11,-0.38,0.41,1718895385.6091785
0.07,-0.41,0.46,1718895385.6753206
0.12,-0.42,0.48,1718895385.6755629
0.04,-0.45,0.47,1718895385.6765811
-0.05,-0.44,0.52,1718895385.6765811
-0.05,-0.49,0.49,1718895385.7414956
-0.5,-0.94,0.69,1718895385.7414956
-0.34,-0.68,0.8,1718895385.7424936
-0.65,-0.8,0.66,1718895385.8082163
-0.63,-0.83,0.78,1718895385.8086798
-0.67,-0.87,1.08,1718895385.8092213
-0.65,-0.93,1.0,1718895385.8097281
-0.69,-0.97,0.92,1718895385.8752608
-0.59,-0.96,0.98,1718895385.8752608
-0.6,-0.9,0.8,1718895385.8762558
-0.54,-0.92,0.69,1718895385.8762558
-0.59,-0.9,0.64,1718895385.941443
-0.64,-0.8,0.57,1718895385.9423172
-0.71,-0.85,0.68,1718895385.9423172
-0.73,-0.79,0.69,1718895386.007887
-0.67,-0.62,0.53,1718895386.0087612
-0.62,-0.62,0.54,1718895386.0097647
-0.69,-0.54,0.45,1718895386.0097647
-0.65,-0.59,0.44,1718895386.07495
