X,Y,Z,Timestamp
-0.4,-0.41,0.78,1718895490.0888734
-0.39,-0.37,0.62,1718895490.0898583
-0.35,-0.39,0.55,1718895490.0898583
-0.28,-0.37,0.53,1718895490.091219
-0.3,-0.38,0.51,1718895490.091219
-0.23,-0.34,0.6,1718895490.091219
-0.25,-0.33,0.46,1718895490.0923104
-0.29,-0.26,0.26,1718895490.0923104
-0.31,-0.25,0.29,1718895490.0932252
-0.19,-0.18,0.27,1718895490.0943086
-0.13,-0.17,0.33,1718895490.0952642
-0.18,-0.19,0.43,1718895490.0952642
-0.18,-0.16,0.34,1718895490.0963197
-0.25,-0.2,0.37,1718895490.0973217
-0.26,-0.2,0.44,1718895490.1407204
-0.2,-0.14,0.42,1718895490.1407204
-0.19,-0.19,0.45,1718895490.1417413
-0.27,-0.18,0.49,1718895490.207495
-0.22,-0.13,0.56,1718895490.207495
-0.29,-0.19,0.56,1718895490.208599
-0.27,-0.14,0.54,1718895490.2090335
-0.25,-0.1,0.61,1718895490.2745204
-0.24,-0.16,0.48,1718895490.2745204
-0.25,-0.08,0.52,1718895490.2755146
-0.21,-0.18,0.51,1718895490.340349
-0.19,-0.16,0.56,1718895490.3412287
-0.23,-0.18,0.62,1718895490.3422287
-0.22,-0.21,0.59,1718895490.3422287
-0.21,-0.13,0.6,1718895490.4073641
-0.22,-0.19,0.62,1718895490.4073641
-0.18,-0.18,0.64,1718895490.4083798
-0.23,-0.19,0.61,1718895490.4739625
-0.26,-0.22,0.65,1718895490.4739625
-0.31,-0.16,0.61,1718895490.474797
-0.2,-0.18,0.62,1718895490.474797
-0.23,-0.22,0.6,1718895490.5418441
-0.2,-0.2,0.65,1718895490.5418441
-0.36,-0.19,0.49,1718895490.5418441
-0.4,-0.2,0.51,1718895490.5428412
-0.44,-0.23,0.49,1718895490.6073103
-0.47,-0.13,0.48,1718895490.6073103
-0.47,-0.21,0.58,1718895490.608321
-0.42,-0.22,0.6,1718895490.6739573
-0.49,-0.27,0.61,1718895490.6739573
-0.51,-0.24,0.57,1718895490.674855
-0.54,-0.22,0.59,1718895490.674855
-0.57,-0.23,0.54,1718895490.7408133
-0.52,-0.25,0.44,1718895490.7418747
-0.6,-0.22,0.43,1718895490.7428405
-0.65,-0.19,0.44,1718895490.8068697
-0.64,-0.18,0.39,1718895490.8078437
-0.03,-0.14,0.6,1718895490.8088393
-0.03,-0.17,0.61,1718895490.8088393
-0.01,-0.12,0.64,1718895490.8742654
0.08,-0.16,0.74,1718895490.875199
0.09,-0.19,0.73,1718895490.875199
0.07,-0.16,0.7,1718895490.941014
0.08,-0.19,0.74,1718895490.941014
0.07,-0.18,0.68,1718895490.9419105
0.09,-0.23,0.75,1718895490.9419105
0.09,-0.25,0.67,1718895491.0072775
0.04,-0.18,0.64,1718895491.0080638
0.06,-0.24,0.65,1718895491.0087092
-0.03,-0.23,0.64,1718895491.009136
-0.03,-0.23,0.72,1718895491.0741348
-0.0,-0.17,0.71,1718895491.0746858
-0.26,-0.23,0.63,1718895491.0753565
-0.28,-0.27,0.58,1718895491.1412225
-0.27,-0.23,0.54,1718895491.1416497
-0.21,-0.18,0.58,1718895491.1421812
-0.13,-0.13,0.54,1718895491.1421812
-0.27,-0.08,0.54,1718895491.2073042
-0.16,-0.21,0.5,1718895491.2081869
-0.2,-0.16,0.49,1718895491.2081869
-0.22,-0.16,0.56,1718895491.2091856
