X,Y,Z,Timestamp
-0.15,-0.14,0.05,1718895625.7650156
-0.04,-0.19,0.1,1718895625.7660162
-0.05,-0.18,0.15,1718895625.7670183
-0.01,-0.15,0.13,1718895625.7670183
0.01,-0.04,0.22,1718895625.7680154
0.1,-0.14,0.11,1718895625.7680154
0.08,-0.08,0.19,1718895625.769016
0.03,-0.1,0.1,1718895625.769016
0.11,-0.09,0.15,1718895625.7703803
0.04,-0.08,0.18,1718895625.7703803
-0.04,-0.09,0.27,1718895625.7703803
-0.04,-0.1,0.33,1718895625.7713857
-0.02,-0.07,0.35,1718895625.7713857
0.02,-0.09,0.29,1718895625.7713857
-0.15,-0.09,0.46,1718895625.7723877
-0.16,-0.06,0.53,1718895625.7723877
-0.16,-0.02,0.53,1718895625.7723877
-0.07,-0.02,0.54,1718895625.7723877
-0.14,0.05,0.64,1718895625.773385
-0.12,0.04,0.58,1718895625.773385
-0.12,-0.01,0.64,1718895625.773385
-0.16,-0.02,0.64,1718895625.8325417
-0.08,-0.07,0.57,1718895625.8334477
-0.06,0.02,0.61,1718895625.8334477
-0.1,-0.02,0.52,1718895625.8344462
-0.16,0.01,0.54,1718895625.8994856
-0.16,-0.1,0.61,1718895625.9005094
-0.12,-0.05,0.62,1718895625.9005094
-0.12,-0.05,0.63,1718895625.9655473
-0.18,-0.08,0.5,1718895625.9655473
-0.12,-0.07,0.54,1718895625.9665444
-0.1,-0.07,0.58,1718895625.9665444
-0.08,-0.06,0.64,1718895626.0322669
-0.1,-0.08,0.63,1718895626.0322669
-0.13,-0.05,0.61,1718895626.0331643
-0.11,-0.03,0.57,1718895626.0331643
-0.21,-0.03,0.54,1718895626.099335
-0.17,-0.13,0.55,1718895626.1002555
-0.19,-0.02,0.61,1718895626.1022134
-0.15,-0.09,0.6,1718895626.1661608
-0.13,-0.12,0.52,1718895626.1668
-0.12,-0.08,0.49,1718895626.1678128
-0.13,-0.1,0.59,1718895626.1688108
-0.21,-0.08,0.49,1718895626.2325294
-0.2,-0.01,0.52,1718895626.233508
-0.22,-0.05,0.48,1718895626.233508
-0.24,-0.13,0.42,1718895626.2994123
-0.31,-0.15,0.41,1718895626.2994123
-0.31,-0.13,0.39,1718895626.3004265
-0.3,-0.2,0.39,1718895626.3004265
-0.34,-0.14,0.39,1718895626.3663275
-0.46,-0.17,0.3,1718895626.3666847
-0.57,-0.21,0.18,1718895626.3676953
-0.48,-0.17,0.14,1718895626.4323769
-0.52,-0.24,0.25,1718895626.4323769
-0.47,-0.24,0.26,1718895626.4333904
-0.04,-0.34,0.51,1718895626.4333904
-0.05,-0.36,0.59,1718895626.4988358
-0.02,-0.33,0.68,1718895626.4997368
0.02,-0.27,0.73,1718895626.4997368
0.06,-0.27,0.8,1718895626.4997368
0.09,-0.32,0.8,1718895626.565701
0.15,-0.28,0.8,1718895626.565701
0.2,-0.27,0.78,1718895626.566702
0.19,-0.23,0.94,1718895626.6323292
0.35,-0.31,0.97,1718895626.6323292
0.39,-0.25,1.12,1718895626.6333287
0.38,-0.31,1.11,1718895626.6336324
0.35,-0.25,1.07,1718895626.6985302
0.26,-0.28,1.08,1718895626.6994953
0.23,-0.37,1.05,1718895626.6994953
0.17,-0.32,1.05,1718895626.6994953
-0.23,-0.43,0.54,1718895626.7660284
-0.21,-0.32,0.48,1718895626.7660284
-0.12,-0.3,0.51,1718895626.7669818
-0.12,-0.34,0.55,1718895626.8326247
-0.1,-0.3,0.59,1718895626.8326247
-0.19,-0.34,0.62,1718895626.833539
-0.18,-0.31,0.58,1718895626.833539
-0.07,-0.3,0.58,1718895626.8988805
-0.05,-0.33,0.55,1718895626.8988805
-0.03,-0.36,0.45,1718895626.8998942
-0.03,-0.34,0.49,1718895626.9655623
0.06,-0.31,0.44,1718895626.9655623
0.1,-0.3,0.51,1718895626.9665904
0.11,-0.33,0.54,1718895626.9665904
0.13,-0.34,0.56,1718895627.0328388
0.04,-0.3,0.49,1718895627.0328388
-0.12,-0.35,0.53,1718895627.0338573
-0.21,-0.4,0.61,1718895627.0338573
-0.27,-0.44,0.58,1718895627.0986538
-0.43,-0.44,0.52,1718895627.1016552
-0.52,-0.5,0.41,1718895627.1016552
-0.52,-0.43,0.46,1718895627.165234
-0.48,-0.46,0.44,1718895627.1661713
-0.56,-0.44,0.43,1718895627.1671257
-0.64,-0.51,0.39,1718895627.1671257
-0.7,-0.52,0.39,1718895627.2327757
-0.77,-0.43,0.51,1718895627.2330074
-0.7,-0.54,0.59,1718895627.2337344
-0.69,-0.53,0.57,1718895627.2337344
-0.47,-0.46,0.57,1718895627.2986953
-0.44,-0.44,0.56,1718895627.2995684
-0.37,-0.44,0.58,1718895627.3007948
-0.32,-0.44,0.63,1718895627.3652134
-0.36,-0.44,0.63,1718895627.3662126
-0.37,-0.49,0.57,1718895627.3662126
-0.29,-0.41,0.6,1718895627.3662126
-0.27,-0.37,0.62,1718895627.4325862
-0.26,-0.4,0.59,1718895627.4325862
-0.28,-0.36,0.56,1718895627.4335978
-0.26,-0.36,0.57,1718895627.4990795
-0.25,-0.34,0.57,1718895627.4990795
-0.27,-0.39,0.56,1718895627.5000923
-0.43,-0.28,0.87,1718895627.5003514
-0.48,-0.37,0.88,1718895627.5657094
-0.42,-0.39,0.98,1718895627.5660143
-0.39,-0.3,1.07,1718895627.5665843
-0.45,-0.31,0.99,1718895627.6330335
-0.49,-0.39,0.95,1718895627.6332324
-0.4,-0.39,0.94,1718895627.633845
-0.34,-0.37,0.92,1718895627.633845
-0.36,-0.42,1.0,1718895627.6987584
