X,Y,Z,Timestamp
0.05,-0.26,0.6,1718895335.3828714
0.11,-0.26,0.63,1718895335.3840728
-0.15,-0.15,0.31,1718895335.3840728
-0.17,-0.16,0.25,1718895335.3850794
-0.13,-0.16,0.2,1718895335.3850794
-0.21,-0.13,0.21,1718895335.3863485
-0.23,-0.16,0.13,1718895335.3863485
-0.23,-0.17,0.16,1718895335.387354
-0.26,-0.11,0.21,1718895335.387354
-0.25,-0.12,0.17,1718895335.3883548
-0.26,-0.1,0.2,1718895335.3883548
-0.3,-0.08,0.31,1718895335.389391
-0.31,-0.06,0.25,1718895335.389391
-0.3,-0.04,0.24,1718895335.3903978
-0.3,-0.01,0.17,1718895335.3907282
-0.39,-0.11,0.11,1718895335.391062
-0.38,-0.11,0.68,1718895335.391062
-0.45,-0.17,0.75,1718895335.3920681
-0.41,-0.14,0.78,1718895335.3920681
-0.36,-0.12,0.78,1718895335.3920681
-0.35,-0.09,0.75,1718895335.408072
-0.3,-0.13,0.78,1718895335.409069
-0.21,-0.1,0.75,1718895335.409069
-0.28,-0.13,0.73,1718895335.4100676
-0.2,-0.15,0.8,1718895335.4756634
-0.19,-0.11,0.77,1718895335.4765956
-0.15,-0.15,0.82,1718895335.4765956
-0.18,-0.16,0.86,1718895335.5420346
-0.2,-0.19,0.79,1718895335.5430453
-0.19,-0.16,0.8,1718895335.5430453
-0.23,-0.16,0.56,1718895335.5430453
-0.24,-0.2,0.53,1718895335.6085644
-0.25,-0.19,0.6,1718895335.6085644
-0.24,-0.19,0.6,1718895335.6095605
-0.22,-0.2,0.62,1718895335.6105611
-0.23,-0.19,0.59,1718895335.6753714
-0.28,-0.16,0.59,1718895335.6763778
-0.27,-0.16,0.59,1718895335.6763778
-0.22,-0.15,0.66,1718895335.7420447
-0.25,-0.16,0.67,1718895335.743054
-0.24,-0.14,0.58,1718895335.743054
-0.22,-0.12,0.58,1718895335.7440517
-0.23,-0.17,0.59,1718895335.8083112
-0.16,-0.14,0.54,1718895335.8092222
-0.13,-0.16,0.47,1718895335.8092222
-0.16,-0.09,0.54,1718895335.8748817
-0.18,-0.09,0.52,1718895335.8758817
-0.1,-0.12,0.51,1718895335.8758817
-0.11,-0.11,0.48,1718895335.8758817
-0.13,-0.15,0.46,1718895335.9417033
-0.14,-0.12,0.35,1718895335.9427037
-0.17,-0.16,0.39,1718895335.9427037
-0.14,-0.13,0.39,1718895336.0084853
-0.17,-0.17,0.41,1718895336.0094936
-0.13,-0.17,0.37,1718895336.0094936
-0.14,-0.21,0.37,1718895336.0094936
-0.21,-0.2,0.35,1718895336.0752115
-0.29,-0.23,0.42,1718895336.0752115
-0.42,-0.41,0.43,1718895336.076251
-0.39,-0.4,0.54,1718895336.1417825
-0.43,-0.46,0.53,1718895336.1426435
-0.38,-0.37,0.55,1718895336.143005
-0.44,-0.4,0.61,1718895336.1435866
-0.41,-0.41,0.56,1718895336.2086127
-0.39,-0.47,0.62,1718895336.2095144
-0.42,-0.49,0.63,1718895336.2095144
-0.49,-0.5,0.7,1718895336.2095144
-0.39,-0.48,0.82,1718895336.2752876
-0.34,-0.43,0.82,1718895336.2762766
-0.24,-0.46,0.82,1718895336.2762766
-0.23,-0.42,0.82,1718895336.3413632
-0.27,-0.5,0.87,1718895336.342362
-0.0,-0.48,0.99,1718895336.342362
0.08,-0.49,0.97,1718895336.3433661
0.1,-0.49,1.04,1718895336.4090052
0.11,-0.47,0.98,1718895336.4090052
0.07,-0.45,0.98,1718895336.409909
0.13,-0.41,0.96,1718895336.4751344
0.14,-0.47,0.95,1718895336.4751344
0.15,-0.38,1.01,1718895336.4761465
0.15,-0.43,0.93,1718895336.476445
0.11,-0.39,0.91,1718895336.5418403
0.11,-0.42,0.82,1718895336.5418403
0.13,-0.39,0.78,1718895336.5418403
0.1,-0.46,0.78,1718895336.5432117
0.01,-0.45,0.73,1718895336.6082327
0.02,-0.39,0.68,1718895336.609246
0.09,-0.25,0.41,1718895336.609246
0.1,-0.18,0.37,1718895336.609246
0.07,-0.17,0.3,1718895336.6749444
0.02,-0.18,0.34,1718895336.6759439
0.05,-0.13,0.28,1718895336.6769445
-0.03,-0.18,0.33,1718895336.7413177
