X,Y,Z,Timestamp
-0.2,-0.1,0.41,1718895449.0189383
-0.09,-0.1,0.48,1718895449.0199354
-0.15,-0.23,0.39,1718895449.0199354
-0.1,-0.18,0.52,1718895449.022242
-0.15,-0.13,0.49,1718895449.022242
-0.25,-0.16,0.45,1718895449.02325
0.02,0.14,0.59,1718895449.02325
-0.25,-0.13,0.38,1718895449.02325
-0.18,-0.15,0.64,1718895449.024249
-0.25,-0.21,0.69,1718895449.024249
-0.27,-0.18,0.7,1718895449.024249
-0.21,-0.2,0.63,1718895449.0257325
-0.14,-0.25,0.64,1718895449.0257325
-0.21,-0.13,0.59,1718895449.0257325
-0.19,-0.08,0.63,1718895449.0267408
-0.16,-0.16,0.49,1718895449.0267408
-0.19,-0.1,0.55,1718895449.0267408
-0.24,-0.15,0.6,1718895449.0267408
-0.23,-0.13,0.68,1718895449.0277376
-0.21,-0.15,0.67,1718895449.0277376
-0.27,-0.22,0.7,1718895449.073799
-0.15,-0.12,0.63,1718895449.0747154
-0.22,-0.13,0.64,1718895449.0757146
-0.17,-0.2,0.64,1718895449.0757146
-0.19,-0.13,0.59,1718895449.1416569
-0.2,-0.17,0.59,1718895449.1416569
-0.19,-0.11,0.58,1718895449.1426563
-0.18,-0.2,0.55,1718895449.2078886
-0.26,-0.16,0.57,1718895449.208913
-0.23,-0.16,0.62,1718895449.2091117
-0.16,-0.18,0.62,1718895449.210127
-0.2,-0.15,0.59,1718895449.273966
-0.2,-0.14,0.56,1718895449.2749658
-0.2,-0.18,0.54,1718895449.2749658
-0.19,-0.13,0.64,1718895449.340481
-0.14,-0.14,0.54,1718895449.3414927
-0.23,-0.18,0.58,1718895449.342491
-0.15,-0.19,0.6,1718895449.343492
-0.19,-0.17,0.62,1718895449.4071548
-0.17,-0.18,0.61,1718895449.4081502
-0.14,-0.17,0.59,1718895449.4091504
-0.18,-0.18,0.58,1718895449.4736593
-0.14,-0.16,0.59,1718895449.4746587
-0.06,-0.13,0.6,1718895449.475657
-0.1,-0.16,0.62,1718895449.475657
-0.02,-0.13,0.59,1718895449.5410242
-0.05,-0.14,0.6,1718895449.5410242
0.02,-0.12,0.6,1718895449.5410242
0.01,-0.15,0.64,1718895449.54203
0.04,-0.14,0.63,1718895449.6085725
-0.18,-0.24,0.62,1718895449.6085725
-0.18,-0.2,0.63,1718895449.609571
-0.22,-0.23,0.67,1718895449.6737075
-0.05,-0.02,0.75,1718895449.6757095
-0.34,-0.18,0.7,1718895449.6757095
-0.32,-0.13,0.63,1718895449.6767075
-0.34,-0.24,0.61,1718895449.74107
-0.09,-0.08,0.61,1718895449.74107
-0.24,-0.1,0.51,1718895449.74107
-0.4,-0.24,0.4,1718895449.80715
-0.46,-0.18,0.38,1718895449.8083103
-0.52,-0.27,0.42,1718895449.8083103
-0.54,-0.19,0.49,1718895449.809316
-0.59,-0.26,0.48,1718895449.8745413
-0.35,-0.19,0.59,1718895449.8754513
-0.34,-0.15,0.59,1718895449.8754513
-0.35,-0.15,0.57,1718895449.8764508
-0.26,-0.15,0.52,1718895449.9407046
-0.17,-0.06,0.56,1718895449.9416063
-0.13,-0.1,0.59,1718895449.9416063
-0.24,-0.16,0.45,1718895450.0078895
-0.16,-0.12,0.54,1718895450.0078895
-0.13,-0.18,0.47,1718895450.0088894
-0.15,-0.11,0.52,1718895450.0088894
-0.11,-0.13,0.51,1718895450.0752382
-0.2,-0.15,0.4,1718895450.076237
-0.17,-0.13,0.46,1718895450.076237
-0.25,-0.15,0.4,1718895450.1407652
-0.27,-0.26,0.03,1718895450.1417768
-0.34,-0.28,0.1,1718895450.1427732
-0.41,-0.31,0.23,1718895450.1427732
-0.48,-0.37,0.37,1718895450.207809
-0.44,-0.36,0.45,1718895450.207809
-0.3,-0.31,0.61,1718895450.208809
-0.21,-0.44,0.63,1718895450.2740736
-0.33,-0.49,0.7,1718895450.275081
-0.36,-0.51,0.82,1718895450.275081
-0.23,-0.41,1.19,1718895450.2760794
-0.44,-0.54,1.03,1718895450.3405657
-0.21,-0.4,1.29,1718895450.3415718
-0.37,-0.53,1.19,1718895450.3415718
-0.21,-0.32,1.26,1718895450.4068813
-0.31,-0.41,0.6,1718895450.4082274
-0.31,-0.36,0.77,1718895450.4082274
-0.36,-0.42,0.6,1718895450.4092352
-0.46,-0.58,0.48,1718895450.4744453
-0.43,-0.48,0.54,1718895450.4744453
-0.45,-0.54,0.5,1718895450.4754455
-0.35,-0.32,0.63,1718895450.4754455
-0.51,-0.54,0.49,1718895450.5412655
-0.52,-0.55,0.52,1718895450.5412655
-0.51,-0.55,0.46,1718895450.5422666
-0.5,-0.47,0.44,1718895450.60693
-0.42,-0.42,0.47,1718895450.608178
-0.43,-0.3,0.51,1718895450.608178
-0.39,-0.39,0.53,1718895450.609189
0.26,-0.23,0.63,1718895450.674457
0.28,-0.13,0.73,1718895450.6753194
0.41,-0.29,0.71,1718895450.6753194
0.4,-0.15,0.79,1718895450.740588
0.26,-0.31,0.77,1718895450.7414937
0.28,-0.29,0.76,1718895450.7414937
0.14,-0.34,0.78,1718895450.7424936
0.13,-0.37,0.72,1718895450.8069358
0.18,-0.32,0.82,1718895450.8079765
0.08,-0.33,0.87,1718895450.8079765
0.1,-0.35,0.88,1718895450.8089428
-0.08,-0.47,0.93,1718895450.8744
-0.14,-0.57,0.92,1718895450.8744
-0.22,-0.59,0.82,1718895450.875469
-0.23,-0.56,0.8,1718895450.9410453
-0.32,-0.32,0.78,1718895450.9410453
-0.34,-0.35,0.72,1718895450.942046
-0.23,-0.41,0.75,1718895450.942046
-0.22,-0.32,0.72,1718895451.0070088
-0.21,-0.36,0.7,1718895451.0083869
-0.16,-0.34,0.59,1718895451.0089593
-0.16,-0.32,0.51,1718895451.0093966
-0.13,-0.28,0.53,1718895451.074208
