X,Y,Z,Timestamp
0.15,-0.33,1.0,1718895687.1677103
0.23,-0.27,1.04,1718895687.169021
0.16,-0.33,0.92,1718895687.169021
0.12,-0.28,1.03,1718895687.1700282
0.02,-0.34,0.9,1718895687.1714504
0.02,-0.34,0.73,1718895687.1714504
-0.09,-0.39,0.48,1718895687.1724575
-0.2,-0.3,0.28,1718895687.1724575
-0.18,-0.26,0.16,1718895687.1734567
-0.18,-0.23,0.13,1718895687.174459
-0.13,-0.23,0.18,1718895687.1754572
-0.08,-0.3,0.34,1718895687.1754572
-0.27,-0.39,0.34,1718895687.1764572
-0.34,-0.24,0.17,1718895687.1764572
-0.22,-0.17,0.28,1718895687.177456
-0.22,-0.19,0.28,1718895687.177456
-0.35,-0.2,0.28,1718895687.1784563
-0.4,-0.18,0.21,1718895687.1784563
-0.37,-0.16,0.25,1718895687.1794565
-0.38,-0.13,0.35,1718895687.1794565
-0.34,-0.16,0.47,1718895687.1794565
-0.3,-0.12,0.52,1718895687.1804562
-0.28,-0.13,0.52,1718895687.1804562
-0.29,-0.19,0.45,1718895687.1814568
-0.36,-0.1,0.39,1718895687.1814568
-0.28,-0.13,0.35,1718895687.182457
-0.23,-0.08,0.44,1718895687.182457
-0.21,-0.09,0.62,1718895687.1834564
-0.25,-0.13,0.61,1718895687.1834564
-0.22,-0.18,0.55,1718895687.1844563
-0.24,-0.13,0.61,1718895687.1844563
-0.21,-0.2,0.67,1718895687.1844563
-0.22,-0.16,0.64,1718895687.1854563
-0.19,-0.17,0.71,1718895687.1854563
-0.23,-0.23,0.68,1718895687.1854563
-0.3,-0.16,0.55,1718895687.2315435
-0.28,-0.18,0.58,1718895687.2324412
-0.29,-0.17,0.55,1718895687.2324412
-0.3,-0.19,0.49,1718895687.2334437
-0.29,-0.22,0.58,1718895687.2986019
-0.27,-0.22,0.59,1718895687.2986019
-0.12,0.05,0.65,1718895687.2996309
-0.19,-0.11,0.54,1718895687.3656805
-0.13,0.06,0.64,1718895687.3656805
-0.25,-0.15,0.54,1718895687.3666992
-0.2,-0.16,0.6,1718895687.3666992
0.01,0.21,0.9,1718895687.4312694
-0.17,-0.1,0.61,1718895687.4321818
-0.06,0.1,0.75,1718895687.4321818
0.08,-0.0,0.6,1718895687.4332
0.04,0.1,0.75,1718895687.4983516
-0.23,-0.13,0.52,1718895687.499223
-0.15,-0.1,0.63,1718895687.499223
0.23,0.21,0.78,1718895687.5002213
0.03,0.12,0.73,1718895687.565314
0.08,0.22,0.69,1718895687.565314
0.04,-0.16,0.34,1718895687.5663333
-0.03,-0.08,0.33,1718895687.632006
0.03,-0.09,0.25,1718895687.6330433
0.03,0.02,0.22,1718895687.6330433
0.16,0.06,0.36,1718895687.6330433
0.07,0.04,0.42,1718895687.6985812
0.03,-0.08,0.19,1718895687.6985812
0.26,0.13,0.41,1718895687.6995995
0.13,0.03,0.38,1718895687.6995995
0.14,-0.02,0.26,1718895687.7656732
0.13,-0.04,0.28,1718895687.7656732
0.17,-0.15,0.35,1718895687.7666917
0.12,-0.11,0.36,1718895687.7666917
0.08,-0.09,0.49,1718895687.8323545
-0.02,-0.1,0.51,1718895687.8333757
0.03,-0.24,0.46,1718895687.8343723
0.03,-0.23,0.64,1718895687.8343723
-0.52,-0.49,1.14,1718895687.8983774
-0.57,-0.47,1.05,1718895687.8983774
-0.55,-0.59,1.22,1718895687.8993642
-0.59,-0.55,1.0,1718895687.9650972
-0.45,-0.41,1.0,1718895687.9650972
-0.35,-0.39,1.25,1718895687.9650972
-0.48,-0.4,0.98,1718895687.9663446
-0.39,-0.38,0.88,1718895688.0317557
-0.35,-0.28,0.82,1718895688.0317557
-0.77,-0.63,0.27,1718895688.0328739
-0.57,-0.44,0.53,1718895688.0986104
-0.6,-0.48,0.47,1718895688.0986104
-0.61,-0.51,0.57,1718895688.0986104
-0.59,-0.49,0.62,1718895688.1000822
-0.43,-0.49,0.22,1718895688.1649442
-0.34,-0.49,0.31,1718895688.1649442
-0.19,-0.43,0.39,1718895688.1659572
-0.13,-0.43,0.45,1718895688.2324579
0.05,-0.34,0.54,1718895688.2324579
0.09,-0.36,0.53,1718895688.2334661
0.12,-0.27,0.49,1718895688.2334661
0.19,-0.28,0.52,1718895688.2983587
0.26,-0.2,0.49,1718895688.2987728
0.39,-0.17,0.45,1718895688.2987728
0.47,-0.08,0.73,1718895688.2997906
0.69,0.01,0.68,1718895688.3657203
0.54,-0.06,0.73,1718895688.3657203
0.44,-0.21,0.6,1718895688.366632
0.57,0.05,0.82,1718895688.366632
-0.26,-0.71,0.8,1718895688.4324744
-0.31,-0.66,0.69,1718895688.432794
-0.24,-0.75,0.75,1718895688.432794
-0.43,-0.68,0.93,1718895688.4985971
-0.41,-0.61,0.9,1718895688.4985971
-0.31,-0.6,0.9,1718895688.499463
-0.31,-0.59,1.0,1718895688.499463
-0.22,-0.56,1.02,1718895688.565616
-0.18,-0.54,1.15,1718895688.565616
-0.15,-0.56,1.18,1718895688.5666237
0.13,-0.26,1.58,1718895688.5666237
-0.08,-0.41,1.29,1718895688.6316385
-0.27,-0.5,1.21,1718895688.6325157
-0.13,-0.47,1.26,1718895688.6335144
-0.2,-0.23,0.25,1718895688.698582
