X,Y,Z,Timestamp
-0.29,-0.18,0.49,1718895774.942564
-0.32,-0.15,0.43,1718895774.942564
-0.37,-0.08,0.28,1718895774.9438035
-0.41,-0.13,0.26,1718895774.9438035
-0.39,-0.1,0.05,1718895774.944809
-0.37,-0.0,0.15,1718895774.944809
-0.44,-0.06,0.58,1718895774.945809
-0.38,-0.03,0.46,1718895774.945809
-0.5,-0.0,0.49,1718895774.9468095
-0.48,0.02,0.54,1718895774.948063
-0.36,-0.06,0.61,1718895774.948063
-0.46,-0.07,0.46,1718895774.948063
-0.42,-0.04,0.39,1718895774.9490688
-0.39,0.08,0.36,1718895774.9490688
-0.37,0.03,0.39,1718895774.9490688
-0.44,0.07,0.39,1718895774.9505262
-0.37,-0.05,0.41,1718895774.9505262
-0.36,0.02,0.53,1718895774.964136
-0.42,0.06,0.56,1718895774.9651375
-0.44,-0.03,0.49,1718895774.9651375
-0.39,0.03,0.54,1718895775.0305636
-0.39,-0.01,0.55,1718895775.0315678
-0.41,-0.04,0.59,1718895775.0325627
-0.46,-0.02,0.62,1718895775.03356
-0.43,-0.07,0.5,1718895775.0977418
-0.39,0.04,0.52,1718895775.0987537
-0.39,0.02,0.49,1718895775.0987537
-0.39,-0.04,0.54,1718895775.0997531
-0.46,-0.02,0.56,1718895775.1642585
-0.44,-0.06,0.54,1718895775.165258
-0.43,0.02,0.57,1718895775.1662478
-0.43,-0.05,0.54,1718895775.231159
-0.38,0.03,0.46,1718895775.231159
-0.42,0.01,0.55,1718895775.2321556
-0.42,-0.05,0.66,1718895775.2321556
-0.39,-0.03,0.67,1718895775.2974982
-0.48,0.08,0.59,1718895775.2984934
-0.44,0.01,0.61,1718895775.2994914
-0.47,0.08,0.8,1718895775.2994914
-0.38,-0.04,0.78,1718895775.3641565
-0.43,-0.0,0.62,1718895775.365154
-0.4,0.09,0.46,1718895775.3661537
-0.47,0.09,0.17,1718895775.4309406
-0.44,0.13,0.18,1718895775.4321675
-0.54,0.22,0.1,1718895775.4321675
-0.44,0.28,-0.03,1718895775.433179
-0.34,0.23,-0.07,1718895775.4975045
-0.4,0.35,-0.24,1718895775.4985025
-0.44,0.31,-0.34,1718895775.4985025
-0.31,0.13,-0.64,1718895775.4995015
-0.47,-0.24,1.14,1718895775.5640519
-0.33,-0.28,1.26,1718895775.5650597
-0.31,-0.37,1.1,1718895775.5650597
-0.44,-0.52,0.82,1718895775.6311882
-0.49,-0.41,0.52,1718895775.6311882
-0.45,-0.15,0.23,1718895775.632202
-0.41,-0.01,0.04,1718895775.632202
-0.36,0.09,-0.21,1718895775.6980786
-0.41,0.2,-0.36,1718895775.6980786
-0.49,0.28,-0.58,1718895775.6990044
-0.4,0.28,-0.74,1718895775.763215
-0.35,0.21,-0.72,1718895775.7657034
-0.26,0.09,-0.78,1718895775.7657034
-0.21,-0.08,-0.84,1718895775.7657034
-0.39,-0.07,0.28,1718895775.830841
-0.38,-0.03,0.34,1718895775.8318346
-0.34,-0.0,0.38,1718895775.8318346
-0.29,0.01,0.41,1718895775.897578
