X,Y,Z,Timestamp
-0.43,-0.48,0.37,1718895760.642251
-0.43,-0.54,0.43,1718895760.6432338
-0.37,-0.47,0.39,1718895760.6432338
-0.48,-0.49,0.44,1718895760.6442347
-0.41,-0.49,0.39,1718895760.6442347
-0.46,-0.5,0.34,1718895760.6452336
-0.41,-0.5,0.33,1718895760.6452336
-0.44,-0.45,0.44,1718895760.6452336
-0.44,-0.5,0.46,1718895760.646324
-0.38,-0.44,0.49,1718895760.646324
-0.37,-0.44,0.46,1718895760.646324
-0.43,-0.45,0.46,1718895760.6473298
-0.42,-0.49,0.42,1718895760.6473298
-0.42,-0.52,0.44,1718895760.6473298
-0.44,-0.46,0.47,1718895760.6483305
-0.43,-0.48,0.47,1718895760.6483305
-0.44,-0.48,0.49,1718895760.6483305
-0.49,-0.5,0.4,1718895760.6493323
-0.45,-0.52,0.42,1718895760.6493323
-0.47,-0.5,0.43,1718895760.6493323
-0.42,-0.44,0.43,1718895760.650332
-0.44,-0.51,0.49,1718895760.650332
-0.42,-0.47,0.49,1718895760.650332
-0.44,-0.49,0.49,1718895760.6513321
-0.39,-0.49,0.44,1718895760.6513321
-0.39,-0.44,0.43,1718895760.6513321
-0.42,-0.52,0.48,1718895760.6523318
-0.39,-0.44,0.51,1718895760.6523318
-0.46,-0.46,0.45,1718895760.6523318
-0.44,-0.5,0.46,1718895760.65333
-0.36,-0.43,0.47,1718895760.65333
-0.44,-0.49,0.48,1718895760.65333
-0.44,-0.49,0.47,1718895760.6543293
-0.44,-0.47,0.51,1718895760.6555967
-0.44,-0.49,0.46,1718895760.6555967
-0.41,-0.49,0.47,1718895760.6555967
-0.43,-0.44,0.49,1718895760.6566021
-0.41,-0.44,0.51,1718895760.6566021
-0.43,-0.45,0.53,1718895760.6566021
-0.4,-0.44,0.44,1718895760.6576028
-0.44,-0.44,0.54,1718895760.6586027
-0.43,-0.44,0.53,1718895760.6586027
-0.36,-0.52,0.49,1718895760.6596043
-0.36,-0.54,0.58,1718895760.6596043
-0.46,-0.49,0.53,1718895760.6596043
-0.42,-0.49,0.48,1718895760.6606042
-0.45,-0.46,0.55,1718895760.6606042
-0.44,-0.52,0.52,1718895760.6606042
-0.43,-0.47,0.48,1718895760.6616018
-0.4,-0.5,0.52,1718895760.6616018
-0.44,-0.54,0.54,1718895760.6616018
-0.56,-0.57,0.75,1718895760.6626017
-0.54,-0.56,0.82,1718895760.6626017
-0.64,-0.56,0.88,1718895760.6626017
-0.53,-0.54,0.9,1718895760.6636019
-0.55,-0.55,0.9,1718895760.6636019
-0.5,-0.46,0.9,1718895760.6636019
-0.52,-0.47,0.74,1718895760.6646018
-0.47,-0.46,0.69,1718895760.6646018
-0.55,-0.38,0.61,1718895760.6646018
-0.51,-0.44,0.56,1718895760.6656082
-0.51,-0.41,0.55,1718895760.6656082
-0.41,-0.36,0.63,1718895760.6656082
-0.34,-0.35,0.7,1718895760.666602
-0.41,-0.34,0.67,1718895760.666602
-0.21,-0.13,0.63,1718895760.666602
-0.25,-0.19,0.54,1718895760.667605
-0.36,-0.2,0.53,1718895760.667605
-0.55,-0.2,0.39,1718895760.667605
-0.52,-0.2,0.31,1718895760.668604
-0.43,-0.15,0.21,1718895760.668604
-0.44,-0.15,0.1,1718895760.668604
-0.39,-0.13,0.18,1718895760.669604
-0.28,-0.13,0.16,1718895760.669604
-0.29,-0.12,0.17,1718895760.669604
-0.39,-0.11,0.19,1718895760.6706047
-0.47,-0.15,0.19,1718895760.6706047
-0.49,-0.12,0.26,1718895760.6706047
-0.42,-0.08,0.31,1718895760.6716027
-0.36,-0.16,0.44,1718895760.6716027
-0.31,-0.19,0.37,1718895760.672603
-0.36,-0.19,0.34,1718895760.672603
-0.44,-0.18,0.4,1718895760.673605
-0.36,-0.25,0.53,1718895760.673605
-0.26,-0.11,0.62,1718895760.6746058
-0.23,-0.19,0.69,1718895760.6746058
-0.3,-0.16,0.58,1718895760.6746058
-0.44,-0.17,0.57,1718895760.6756048
-0.49,-0.15,0.47,1718895760.6978798
-0.47,-0.1,0.39,1718895760.6978798
-0.35,-0.13,0.49,1718895760.6989353
-0.23,-0.12,0.53,1718895760.765013
-0.26,-0.08,0.57,1718895760.7659183
-0.46,-0.13,0.38,1718895760.7669175
-0.35,-0.15,0.46,1718895760.7679164
-0.31,-0.06,0.56,1718895760.8314033
-0.37,-0.18,0.59,1718895760.8323226
-0.34,-0.2,0.71,1718895760.8323226
-0.43,-0.13,0.69,1718895760.8978279
-0.46,-0.18,0.64,1718895760.8978279
-0.42,-0.13,0.62,1718895760.8987901
-0.34,-0.14,0.48,1718895760.899306
-0.35,-0.13,0.48,1718895760.964404
-0.39,-0.15,0.49,1718895760.9652677
-0.38,-0.16,0.53,1718895760.9662669
-0.33,-0.13,0.66,1718895761.0304458
-0.38,-0.11,0.62,1718895761.0314765
-0.43,-0.18,0.56,1718895761.0314765
-0.52,-0.21,0.59,1718895761.0324733
-0.54,-0.2,0.57,1718895761.0978112
-0.55,-0.15,0.53,1718895761.0988424
-0.57,-0.26,0.47,1718895761.0988424
-0.61,-0.2,0.43,1718895761.1643481
-0.65,-0.26,0.3,1718895761.165197
-0.66,-0.24,0.31,1718895761.165197
-0.67,-0.24,0.24,1718895761.1661954
-0.7,-0.26,0.28,1718895761.2311018
-0.68,-0.22,0.3,1718895761.2319913
-0.61,-0.21,0.25,1718895761.2319913
-0.68,-0.17,0.22,1718895761.2329867
-0.6,-0.22,0.14,1718895761.298374
0.18,-0.08,0.49,1718895761.2993503
0.25,-0.08,0.51,1718895761.2993503
0.38,-0.07,0.52,1718895761.3643272
0.33,-0.16,0.41,1718895761.3643272
0.29,-0.1,0.49,1718895761.3653271
0.3,-0.11,0.6,1718895761.3653271
0.48,-0.04,0.6,1718895761.4316967
0.42,-0.12,0.62,1718895761.432572
0.42,-0.07,0.63,1718895761.432572
0.51,-0.1,0.76,1718895761.4335773
0.43,-0.08,0.88,1718895761.4983737
0.37,-0.04,0.82,1718895761.4983737
0.33,-0.14,0.91,1718895761.4995315
0.35,-0.08,1.07,1718895761.4995315
0.41,-0.17,0.97,1718895761.56468
0.47,-0.15,1.03,1718895761.56468
-0.59,-0.61,0.32,1718895761.565678
-0.68,-0.56,0.27,1718895761.6306849
-0.66,-0.6,0.14,1718895761.6318483
-0.77,-0.6,0.08,1718895761.6318483
-0.73,-0.59,0.17,1718895761.6318483
-0.71,-0.62,0.34,1718895761.6978664
-0.68,-0.62,0.34,1718895761.6978664
-0.73,-0.65,0.27,1718895761.6988688
-0.9,-0.64,0.16,1718895761.76453
-0.95,-0.67,-0.03,1718895761.76453
-0.91,-0.6,0.09,1718895761.7652504
-0.9,-0.59,-0.03,1718895761.7652504
-0.93,-0.61,0.06,1718895761.83136
-0.87,-0.65,0.28,1718895761.83136
-0.46,-0.59,0.89,1718895761.8323598
-0.37,-0.56,1.11,1718895761.897952
-0.23,-0.45,1.13,1718895761.897952
-0.02,-0.38,1.1,1718895761.8989587
-0.01,-0.36,1.11,1718895761.8994448
-0.03,-0.45,0.93,1718895761.9644957
-0.1,-0.44,0.75,1718895761.965365
-0.04,-0.43,0.72,1718895761.965365
0.07,-0.42,0.75,1718895761.965365
0.13,-0.47,0.82,1718895762.0312166
0.2,-0.47,0.91,1718895762.032089
0.16,-0.44,0.86,1718895762.032089
0.11,-0.44,0.73,1718895762.0981417
