X,Y,Z,Timestamp
-0.26,0.11,0.31,1719431946.9040983
-0.36,0.12,0.39,1719431946.9040983
-0.58,0.08,0.42,1719431946.9050987
-0.39,0.03,0.55,1719431946.9050987
-0.3,0.03,0.64,1719431946.9050987
-0.3,0.13,0.61,1719431946.9060988
-0.34,0.04,0.51,1719431946.906543
-0.42,0.15,0.36,1719431946.906543
-0.37,0.13,0.31,1719431946.906543
-0.37,0.18,0.32,1719431946.906543
-0.44,0.08,0.42,1719431946.906543
-0.46,0.11,0.47,1719431946.906543
-0.39,0.04,0.45,1719431946.907546
-0.34,0.1,0.62,1719431946.907546
-0.35,0.13,0.46,1719431946.907546
-0.51,0.13,0.44,1719431946.907546
-0.54,0.09,0.37,1719431946.9085474
-0.51,0.09,0.29,1719431946.9085474
-0.41,0.09,0.28,1719431946.9085474
-0.26,0.16,0.46,1719431946.9085474
-0.33,0.1,0.52,1719431946.9085474
-0.47,0.07,0.59,1719431946.9095478
-0.45,0.07,0.67,1719431946.9543796
-0.47,0.06,0.58,1719431946.9543796
-0.44,0.11,0.48,1719431946.9551132
-0.67,-0.03,0.33,1719431947.0210571
-0.54,0.08,0.28,1719431947.0210571
-0.51,0.09,0.31,1719431947.0215614
-0.48,0.08,0.29,1719431947.0215614
-0.29,-0.2,0.52,1719431947.0875936
-0.33,0.02,0.28,1719431947.0875936
-0.68,-0.08,0.03,1719431947.0885937
-0.39,-0.25,0.1,1719431947.0885937
-0.13,-0.19,-0.17,1719431947.1543968
0.34,-0.25,-0.0,1719431947.1557026
0.75,-0.2,-0.29,1719431947.1557026
0.62,-0.27,0.07,1719431947.2210426
0.6,-0.4,0.58,1719431947.2210426
0.73,-0.47,0.68,1719431947.221677
0.44,-0.5,0.92,1719431947.221677
0.34,-0.45,0.9,1719431947.2877119
0.21,-0.48,0.57,1719431947.2877119
0.33,-0.59,0.47,1719431947.2877119
0.31,-0.56,0.22,1719431947.288716
-0.63,-1.11,1.21,1719431947.354683
-0.46,-1.23,1.55,1719431947.3552115
-0.5,-1.36,1.88,1719431947.3552115
-0.39,-1.58,1.98,1719431947.4210675
-0.24,-1.42,1.04,1719431947.4220872
-0.15,-1.27,0.2,1719431947.4220872
-0.42,-1.09,-0.5,1719431947.4220872
-0.75,-0.91,-0.7,1719431947.4871922
-1.04,-0.65,-0.42,1719431947.488192
-1.31,-0.79,0.64,1719431947.488192
-1.42,-0.91,0.41,1719431947.5543997
-1.69,-0.84,0.02,1719431947.5543997
-1.51,-0.83,0.13,1719431947.5543997
0.2,0.2,0.23,1719431947.5554183
0.11,0.15,0.34,1719431947.6210508
0.14,0.08,0.79,1719431947.6210508
0.22,0.13,0.67,1719431947.6210508
0.23,0.07,0.8,1719431947.6220558
0.06,0.11,0.7,1719431947.6876915
0.19,0.13,0.87,1719431947.6886916
0.14,0.1,0.69,1719431947.6886916
-0.23,0.1,0.47,1719431947.6886916
-0.43,0.1,0.29,1719431947.7544012
