X,Y,Z,Timestamp
-0.19,-0.03,0.61,1719432615.7166865
-0.16,0.01,0.6,1719432615.7176864
-0.24,-0.02,0.56,1719432615.7176864
-0.22,-0.02,0.54,1719432615.7176864
-0.18,0.01,0.48,1719432615.7186868
-0.24,-0.01,0.49,1719432615.7186868
-0.23,-0.06,0.55,1719432615.73
-0.16,-0.08,0.89,1719432615.73
-0.2,-0.03,0.86,1719432615.73
-0.14,-0.05,0.57,1719432615.7310033
-0.33,0.02,0.4,1719432615.7964478
-0.38,-0.07,0.32,1719432615.7964478
-0.53,-0.03,0.29,1719432615.797452
-0.55,-0.06,0.24,1719432615.8633318
-0.62,-0.11,0.4,1719432615.8633318
-0.69,-0.15,0.52,1719432615.8633318
-0.73,-0.21,0.64,1719432615.8643343
-0.9,-0.36,0.88,1719432615.9300022
-1.05,-0.4,0.82,1719432615.9300022
-1.09,-0.41,0.72,1719432615.9310045
-1.12,-0.38,0.65,1719432615.9966648
0.22,0.17,0.49,1719432615.9966648
0.18,0.21,0.66,1719432615.9966648
0.14,0.21,0.53,1719432615.9976673
0.08,0.27,0.41,1719432616.0633166
0.09,0.21,0.37,1719432616.0634692
0.06,0.26,0.26,1719432616.0634692
-0.03,0.24,0.11,1719432616.0634692
-0.03,0.19,0.02,1719432616.1300044
-0.17,0.16,0.01,1719432616.1300044
-0.14,0.19,-0.1,1719432616.1300044
-0.07,0.14,-0.13,1719432616.1310077
-0.02,0.14,-0.22,1719432616.196643
-0.04,0.04,-0.34,1719432616.196643
0.13,-0.06,-0.03,1719432616.1976457
0.02,-0.11,-0.32,1719432616.1976457
0.31,-0.18,-0.53,1719432616.2633314
0.18,-0.45,0.32,1719432616.2633314
0.16,-0.44,0.29,1719432616.2644753
-0.02,-0.53,0.41,1719432616.3294933
0.16,-0.47,0.64,1719432616.3304791
0.18,-0.51,0.72,1719432616.3304791
0.18,-0.35,0.67,1719432616.331479
0.41,-0.39,0.59,1719432616.3966942
0.46,-0.33,0.47,1719432616.3966942
0.36,-0.43,0.32,1719432616.3976989
-0.0,-0.46,0.36,1719432616.3976989
-0.27,-0.59,0.4,1719432616.4633224
-0.45,-0.66,0.37,1719432616.4638286
-0.54,-0.76,0.57,1719432616.4648316
-0.55,-0.65,0.69,1719432616.5300102
-0.49,-0.7,0.75,1719432616.5300102
0.42,-0.96,0.69,1719432616.5300102
0.38,-0.83,0.06,1719432616.5310123
0.52,-0.69,0.13,1719432616.597478
0.41,-0.71,0.16,1719432616.597478
-0.13,-0.58,-0.34,1719432616.5984778
-0.52,-0.28,-0.83,1719432616.6634684
-0.84,-0.29,-0.64,1719432616.6634684
-0.72,-0.1,-0.48,1719432616.6644685
-0.42,-0.07,-0.42,1719432616.6654692
