X,Y,Z,Timestamp
-0.23,-0.03,0.52,1719433198.4996612
-0.2,0.05,0.46,1719433198.5006611
-0.2,0.07,0.4,1719433198.5016618
-0.3,0.05,0.28,1719433198.5016618
-0.33,0.14,0.21,1719433198.5016618
-0.34,0.08,0.25,1719433198.5016618
-0.14,0.18,0.4,1719433198.5299876
0.06,0.11,0.54,1719433198.5299876
0.03,0.15,0.56,1719433198.5299876
0.11,0.17,0.43,1719433198.5309916
-0.08,0.18,0.49,1719433198.5966618
-0.16,0.22,0.51,1719433198.5976787
-0.17,0.2,0.37,1719433198.5976787
-0.46,0.14,0.37,1719433198.5976787
-0.28,0.16,0.43,1719433198.6634896
-0.23,0.16,0.68,1719433198.6634896
-0.12,0.09,0.77,1719433198.6634896
-0.05,0.12,0.8,1719433198.6644971
0.02,0.08,0.81,1719433198.729984
-0.05,0.13,0.53,1719433198.729984
-0.25,0.15,0.44,1719433198.729984
-0.68,0.15,0.14,1719433198.7310019
-0.71,0.18,0.15,1719433198.7964206
-0.56,0.18,0.29,1719433198.7964206
-0.61,0.25,0.07,1719433198.7984226
-0.79,0.15,-0.05,1719433198.862739
-0.99,0.12,-0.36,1719433198.8637393
-1.11,0.05,-0.68,1719433198.8647397
0.88,-0.52,1.56,1719433198.8647397
0.79,-0.58,1.48,1719433198.9299996
0.77,-0.49,1.31,1719433198.9299996
0.64,-0.51,0.86,1719433198.9299996
0.62,-0.49,0.66,1719433198.9310188
0.59,-0.52,0.61,1719433198.996658
0.53,-0.45,0.46,1719433198.997163
0.78,-0.37,0.23,1719433198.997163
0.91,-0.41,-0.03,1719433198.997163
1.01,-0.43,-0.05,1719433199.063045
0.92,-0.56,-0.05,1719433199.064263
0.76,-0.83,-0.08,1719433199.064263
0.63,-0.95,-0.07,1719433199.1299868
0.29,-1.09,0.09,1719433199.1299868
-0.17,-1.23,0.64,1719433199.1299868
-0.9,-1.07,1.03,1719433199.13099
-1.03,-0.96,1.13,1719433199.1961472
-0.99,-1.1,1.13,1719433199.1971471
-0.76,-1.05,1.01,1719433199.1971471
-0.8,-1.03,0.95,1719433199.263333
-0.51,-1.06,1.16,1719433199.263333
-0.33,-1.07,1.32,1719433199.2640088
-0.4,-1.29,1.42,1719433199.2640088
-0.35,-1.36,1.56,1719433199.3301632
-0.51,-1.37,1.26,1719433199.3305714
-0.55,-1.37,0.71,1719433199.3315754
-0.25,-1.1,-0.23,1719433199.39667
