X,Y,Z,Timestamp
-0.51,0.01,0.38,1719419522.8197072
-0.46,-0.09,0.53,1719419522.8197072
-0.32,-0.08,0.59,1719419522.8207235
-0.41,-0.1,0.51,1719419522.8207235
-0.38,-0.12,0.67,1719419522.8207235
-0.45,0.03,0.64,1719419522.8207235
-0.36,-0.06,0.65,1719419522.8207235
-0.29,-0.04,0.55,1719419522.8217235
-0.28,-0.1,0.49,1719419522.8217235
-0.23,-0.06,0.43,1719419522.8217235
-0.22,-0.02,0.39,1719419522.8217235
-0.23,-0.06,0.52,1719419522.8217235
-0.28,-0.03,0.54,1719419522.8217235
-0.23,-0.13,0.75,1719419522.8227236
-0.25,-0.04,0.68,1719419522.8227236
-0.23,-0.06,0.73,1719419522.8227236
0.03,0.03,0.56,1719419522.8227236
0.05,0.01,0.44,1719419522.8539162
-0.05,0.07,0.47,1719419522.8547444
-0.0,0.02,0.44,1719419522.8553603
0.03,0.03,0.52,1719419522.8553603
0.11,-0.04,0.71,1719419522.9205732
0.2,-0.09,0.95,1719419522.921366
0.3,-0.06,0.63,1719419522.9215157
0.29,-0.0,0.62,1719419522.9870498
0.31,-0.1,0.49,1719419522.9870498
0.13,0.07,0.39,1719419522.9881852
0.02,-0.03,0.11,1719419522.9881852
-0.23,-0.0,0.13,1719419523.0539203
-0.15,0.08,0.1,1719419523.0547996
-0.14,-0.07,0.07,1719419523.0547996
-0.14,-0.14,0.07,1719419523.055827
-0.47,-0.8,0.64,1719419523.1205661
-0.53,-0.71,0.58,1719419523.1213808
-0.63,-0.89,0.67,1719419523.1215389
-0.64,-0.88,0.62,1719419523.1872327
-0.64,-0.9,0.6,1719419523.18798
-0.75,-0.98,0.63,1719419523.188103
-0.64,-0.87,0.44,1719419523.188103
-0.57,-0.88,0.49,1719419523.253915
-0.48,-0.75,0.41,1719419523.253915
-0.53,-0.89,0.34,1719419523.255032
-0.46,-0.85,-0.03,1719419523.320567
-0.64,-0.89,-0.13,1719419523.3226302
-0.63,-0.88,-0.15,1719419523.3230405
-0.44,-1.0,0.23,1719419523.324214
-0.1,-0.83,0.47,1719419523.3882263
-0.01,-0.83,0.52,1719419523.3882263
0.08,-0.9,0.65,1719419523.3892543
-0.01,-0.85,0.8,1719419523.4539025
-0.08,-0.92,0.82,1719419523.4539025
0.06,-0.77,0.7,1719419523.4549115
-0.04,-0.77,0.52,1719419523.4550016
-0.11,-0.72,0.68,1719419523.520584
0.06,-0.75,0.79,1719419523.520584
-0.09,-0.69,0.49,1719419523.5214927
-0.07,-0.57,0.18,1719419523.5214927
-0.11,-0.54,0.36,1719419523.5872269
-0.13,-0.34,0.19,1719419523.5881717
-0.15,-0.38,0.18,1719419523.5881717
-0.08,-0.13,0.55,1719419523.653914
0.04,-0.14,0.74,1719419523.653914
0.01,-0.08,0.54,1719419523.6549568
0.1,-0.03,0.62,1719419523.6549568
-0.03,0.03,0.34,1719419523.720579
-0.23,0.11,-0.13,1719419523.7215233
-0.18,0.07,0.17,1719419523.7215233
-0.25,0.05,0.13,1719419523.7215233
-0.31,0.13,0.28,1719419523.7872448
-0.26,0.14,0.35,1719419523.7881496
-0.23,0.08,0.44,1719419523.7901459
-0.18,-0.05,0.68,1719419523.853329
-0.05,0.1,0.7,1719419523.8547595
-0.04,-0.05,0.8,1719419523.8547595
0.02,-0.02,0.74,1719419523.855783
-0.63,0.04,0.56,1719419523.920344
-0.52,-0.0,0.49,1719419523.920344
-0.48,-0.02,0.36,1719419523.9214466
-0.49,0.01,0.35,1719419523.9214466
-0.47,-0.09,0.35,1719419523.9872465
