X,Y,Z,Timestamp
0.02,-0.08,0.49,1719432385.0977151
0.02,-0.11,0.52,1719432385.0977151
-0.02,-0.08,0.58,1719432385.0977151
0.05,-0.01,0.54,1719432385.0987153
0.07,-0.03,0.52,1719432385.0987153
-0.03,-0.05,0.46,1719432385.0987153
-0.07,-0.11,0.51,1719432385.0987153
-0.03,-0.12,0.64,1719432385.0997155
-0.02,-0.1,0.76,1719432385.0997155
0.05,-0.11,0.75,1719432385.0997155
-0.03,-0.08,0.71,1719432385.1007159
-0.01,-0.06,0.67,1719432385.1007159
0.11,-0.02,0.44,1719432385.1007159
0.33,-0.04,0.45,1719432385.150364
0.64,0.03,0.49,1719432385.150364
0.67,-0.03,0.5,1719432385.1513677
0.69,-0.04,0.51,1719432385.152373
0.8,0.08,0.28,1719432385.2169878
0.71,-0.02,0.08,1719432385.2169878
0.65,0.02,0.03,1719432385.2169878
0.57,-0.13,0.09,1719432385.2179918
0.38,-0.15,0.41,1719432385.283654
0.19,-0.33,0.78,1719432385.283654
0.05,-0.34,0.82,1719432385.283654
-0.05,-0.39,1.03,1719432385.350169
-0.22,-0.45,1.06,1719432385.3511677
-0.44,-0.4,0.82,1719432385.3511677
-0.75,-0.39,0.64,1719432385.3511677
-0.69,-0.22,-0.06,1719432385.417008
-0.74,-0.36,-0.01,1719432385.417008
-0.35,-0.31,-0.09,1719432385.417008
-0.15,-0.34,-0.09,1719432385.4831314
-0.12,-0.49,0.13,1719432385.4841318
-0.04,-0.6,0.34,1719432385.4841318
0.12,-0.59,0.38,1719432385.4851317
-0.3,-0.75,0.4,1719432385.5503294
-0.51,-0.9,0.49,1719432385.5503294
-0.22,-0.95,0.32,1719432385.5503294
0.04,-0.92,0.39,1719432385.6169896
-0.0,-1.09,0.97,1719432385.6169896
0.24,-1.13,1.2,1719432385.617982
0.56,-0.98,1.15,1719432385.617982
-0.29,-0.68,0.49,1719432385.682884
-0.29,-0.77,0.38,1719432385.6838844
-0.49,-0.83,0.34,1719432385.6838844
-0.46,-0.74,0.28,1719432385.6848834
-0.47,-0.83,0.32,1719432385.750305
-0.36,-0.78,0.32,1719432385.750305
-0.48,-0.88,0.52,1719432385.751305
-0.43,-0.9,0.64,1719432385.8171663
-0.46,-0.98,0.7,1719432385.8171663
-0.3,-1.03,0.69,1719432385.8171663
-0.12,-0.92,0.32,1719432385.818186
0.38,-0.73,0.04,1719432385.8834934
0.62,-0.56,-0.16,1719432385.884486
0.66,-0.51,-0.0,1719432385.884486
0.15,-0.71,1.51,1719432385.9503267
0.51,-0.89,1.87,1719432385.9503267
0.8,-1.06,2.14,1719432385.9503267
0.69,-0.93,1.36,1719432385.9513292
0.44,-0.88,0.52,1719432386.0169919
-0.18,-0.6,-0.35,1719432386.0169919
-0.41,-0.47,-0.41,1719432386.0169919
-0.25,-0.49,0.08,1719432386.01801
-0.28,-0.49,0.12,1719432386.0836594
