X,Y,Z,Timestamp
-0.23,0.09,1.02,1719433006.3677723
-0.1,0.18,0.88,1719433006.3677723
-0.28,0.1,0.63,1719433006.3687725
-0.22,0.17,0.68,1719433006.3687725
-0.2,0.15,0.72,1719433006.3687725
-0.23,0.09,0.47,1719433006.369773
-0.25,0.1,0.64,1719433006.369773
-0.18,0.11,0.82,1719433006.369773
0.12,0.23,0.53,1719433006.369773
0.37,0.27,0.42,1719433006.369773
0.23,0.34,0.31,1719433006.4065897
0.1,0.18,0.42,1719433006.4065897
-0.0,0.24,0.44,1719433006.4065897
-0.17,0.33,0.33,1719433006.4075933
-0.13,0.2,0.29,1719433006.4732525
-0.1,0.21,0.25,1719433006.4732525
0.13,0.19,0.62,1719433006.4732525
0.28,0.29,0.31,1719433006.4742553
0.06,0.38,0.07,1719433006.539928
-0.08,0.24,0.3,1719433006.539928
0.04,0.31,0.36,1719433006.539928
0.1,0.34,-0.0,1719433006.5409327
-0.12,0.24,-0.18,1719433006.6065793
-0.5,0.18,-0.06,1719433006.6065793
-0.37,0.1,-0.3,1719433006.6075816
-0.3,-0.93,1.15,1719433006.6075816
-0.23,-0.77,0.67,1719433006.6730394
-0.13,-0.67,0.31,1719433006.6740396
-0.1,-0.61,0.2,1719433006.6740396
-0.37,-0.74,0.54,1719433006.7399282
-0.21,-0.86,0.86,1719433006.7399282
-0.19,-0.73,0.73,1719433006.7399282
-0.23,-0.87,0.82,1719433006.7409308
-0.33,-0.85,0.92,1719433006.8065922
-0.07,-0.79,0.44,1719433006.8065922
-0.15,-0.73,0.09,1719433006.8065922
-0.3,-0.64,0.19,1719433006.8724396
-0.26,-0.83,0.4,1719433006.87344
-0.26,-0.74,0.33,1719433006.87344
0.6,-0.52,0.2,1719433006.8744404
0.6,-0.54,0.38,1719433006.940063
0.69,-0.5,0.91,1719433006.940063
0.9,-0.54,1.35,1719433006.940063
0.67,-0.56,1.12,1719433006.9410636
0.37,-0.34,0.75,1719433007.0060122
0.34,-0.42,0.62,1719433007.007015
0.32,-0.4,0.57,1719433007.007015
0.45,-0.44,0.68,1719433007.073037
0.64,-0.34,1.06,1719433007.073037
1.1,-0.51,1.96,1719433007.073037
1.28,-0.65,1.98,1719433007.0743132
1.13,-0.83,1.74,1719433007.1395183
0.44,-0.92,0.74,1719433007.1405184
-0.45,-0.67,-0.01,1719433007.1415186
-0.23,0.13,0.17,1719433007.1415186
-0.16,0.17,0.31,1719433007.2065833
