X,Y,Z,Timestamp
-0.23,0.17,0.94,1719434056.9494352
-0.05,0.17,0.74,1719434056.9494352
-0.25,0.18,0.39,1719434056.9509377
-0.43,0.14,0.44,1719434056.9509377
-0.49,0.13,0.52,1719434056.9509377
-0.41,0.05,0.55,1719434056.9509377
-0.28,0.09,0.49,1719434056.9519393
-0.37,0.05,0.55,1719434056.9519393
-0.28,0.08,0.54,1719434056.952443
-0.33,0.12,0.48,1719434056.952443
-0.35,0.09,0.38,1719434056.952443
-0.4,0.07,0.42,1719434056.952443
-0.4,0.04,0.49,1719434056.953688
-0.25,0.05,0.5,1719434056.953688
-0.33,0.05,0.68,1719434056.953688
-0.27,-0.04,0.86,1719434056.953688
-0.22,-0.03,0.77,1719434056.953688
-0.24,-0.0,0.57,1719434056.9548268
-0.3,0.02,0.45,1719434056.9548268
-0.42,0.03,0.46,1719434056.9548268
-0.43,0.12,0.52,1719434056.9548268
-0.33,0.15,0.49,1719434056.995074
-0.25,0.11,0.57,1719434056.995074
-0.38,0.1,0.16,1719434056.996436
-0.21,0.17,0.14,1719434056.996436
-0.3,0.24,-0.15,1719434057.0619013
-0.39,0.39,-0.37,1719434057.0629015
-0.37,0.52,-0.5,1719434057.0629015
-0.28,0.49,-0.57,1719434057.063902
-0.24,0.61,-0.87,1719434057.1290214
-0.2,0.75,-1.39,1719434057.1290214
-0.15,0.92,-1.94,1719434057.1300497
0.01,0.82,-2.57,1719434057.1959023
0.36,0.36,-2.75,1719434057.1959023
0.65,-0.36,-2.35,1719434057.1959023
0.38,-1.37,-1.7,1719434057.1974075
-0.18,-2.03,-1.29,1719434057.2628107
0.04,-1.85,1.14,1719434057.2628107
-0.07,-1.7,0.91,1719434057.2638893
-0.2,-1.61,0.82,1719434057.3285656
-0.06,-1.41,0.51,1719434057.3295658
0.09,-1.35,0.47,1719434057.3295658
-0.03,-1.21,0.44,1719434057.33057
-0.13,-1.24,0.49,1719434057.395715
-0.29,-1.21,0.23,1719434057.395715
-0.5,-1.02,-0.16,1719434057.395715
-0.48,-0.71,-0.61,1719434057.3971956
-0.21,-0.41,-0.92,1719434057.462208
0.1,-0.15,-0.48,1719434057.463712
0.23,0.03,-0.16,1719434057.463712
0.28,0.08,-0.4,1719434057.5291975
0.1,0.4,-0.86,1719434057.5291975
-0.03,0.51,-0.57,1719434057.5291975
-0.0,0.4,-0.47,1719434057.5291975
-0.03,0.35,-0.56,1719434057.5956428
-0.04,0.18,-0.9,1719434057.5956428
0.07,0.13,-1.25,1719434057.5967202
0.04,-0.23,-1.21,1719434057.662817
0.12,-0.62,-1.1,1719434057.662817
0.07,-1.12,-0.87,1719434057.6638234
-0.03,-1.52,-0.7,1719434057.6638234
-0.07,-1.82,-0.4,1719434057.7293866
-0.16,-2.17,0.3,1719434057.7293866
-0.03,-2.33,1.27,1719434057.7303867
-0.06,-2.16,2.35,1719434057.7958503
-0.03,-1.03,0.56,1719434057.7958503
-0.18,-0.79,0.35,1719434057.7958503
-0.34,-0.85,0.35,1719434057.7968793
-0.53,-0.72,0.38,1719434057.8620002
-0.59,-0.56,-0.13,1719434057.863051
-0.52,-0.27,-0.55,1719434057.863051
-0.13,-0.06,-0.34,1719434057.928635
0.22,-0.01,0.13,1719434057.928635
0.39,-0.03,0.59,1719434057.929625
0.27,0.02,0.03,1719434057.929625
-0.23,0.2,-0.35,1719434057.9955263
-0.49,0.13,0.1,1719434057.997033
-0.62,0.23,-0.01,1719434057.997033
-0.7,0.23,-0.16,1719434057.997033
-0.71,0.31,-0.35,1719434058.0624287
