X,Y,Z,Timestamp
-0.32,-0.95,0.68,1719431672.3067064
-0.21,-0.93,0.58,1719431672.3073616
-0.02,-0.86,0.59,1719431672.3073616
-0.0,-0.87,0.59,1719431672.308031
-0.13,-0.64,0.29,1719431672.308031
-0.09,-0.61,0.37,1719431672.308031
-0.12,-0.66,0.38,1719431672.308031
-0.26,-0.66,0.49,1719431672.3090565
-0.25,-0.68,0.58,1719431672.3090565
-0.22,-0.69,0.57,1719431672.3090565
-0.25,-0.65,0.44,1719431672.3090565
-0.3,-0.67,0.49,1719431672.3090565
-0.3,-0.68,0.39,1719431672.3100564
-0.26,-0.61,0.3,1719431672.3100564
-0.26,-0.62,0.25,1719431672.3100564
-0.26,-0.61,0.24,1719431672.3100564
-0.25,-0.57,0.23,1719431672.3100564
-0.23,-0.56,0.22,1719431672.3100564
-0.26,-0.67,0.37,1719431672.3110588
-0.23,-0.67,0.41,1719431672.3110588
-0.24,-0.62,0.44,1719431672.3117585
-0.26,-0.69,0.39,1719431672.3117585
-0.29,-0.7,0.51,1719431672.3117585
-0.31,-0.66,0.44,1719431672.3117585
-0.26,-0.71,0.44,1719431672.312759
-0.2,-0.64,0.39,1719431672.312759
-0.19,-0.67,0.34,1719431672.312759
-0.21,-0.67,0.31,1719431672.312759
-0.21,-0.65,0.32,1719431672.312759
-0.21,-0.62,0.35,1719431672.3137634
-0.22,-0.62,0.39,1719431672.3137634
-0.26,-0.67,0.42,1719431672.3137634
-0.26,-0.67,0.37,1719431672.3137634
-0.24,-0.64,0.44,1719431672.3137634
-0.23,-0.67,0.37,1719431672.3147671
-0.26,-0.65,0.44,1719431672.3147671
-0.21,-0.64,0.36,1719431672.3147671
-0.27,-0.66,0.41,1719431672.3147671
-0.29,-0.71,0.49,1719431672.3147671
-0.32,-0.83,1.0,1719431672.3157706
-0.67,-1.24,2.4,1719431672.3157706
-0.98,-1.66,3.3,1719431672.3157706
-1.0,-2.1,3.3,1719431672.3157706
-0.7,-2.08,1.74,1719431672.3157706
-0.08,-1.74,0.51,1719431672.3157706
0.2,-1.31,0.03,1719431672.3167741
-0.01,0.2,0.45,1719431672.3167741
-0.18,0.2,0.25,1719431672.3167741
-0.2,0.17,0.16,1719431672.3174694
-0.13,0.18,0.11,1719431672.3174694
-0.18,0.18,0.22,1719431672.3174694
-0.2,0.1,0.39,1719431672.3174694
-0.19,0.05,0.61,1719431672.3174694
-0.14,0.01,0.89,1719431672.3174694
-0.2,0.04,0.95,1719431672.3186862
-0.17,0.11,0.57,1719431672.3186862
-0.23,0.1,0.52,1719431672.3186862
-0.34,0.03,0.39,1719431672.3186862
-0.32,0.07,0.46,1719431672.3186862
-0.27,0.04,0.34,1719431672.3186862
-0.23,0.09,0.31,1719431672.3197067
-0.23,0.08,0.39,1719431672.3197067
-0.25,0.02,0.74,1719431672.3197067
-0.19,-0.08,0.91,1719431672.3197067
-0.21,-0.03,0.71,1719431672.3404956
-0.13,-0.01,0.53,1719431672.3404956
-0.13,0.01,0.58,1719431672.341439
-0.03,0.08,0.55,1719431672.34169
-0.1,0.04,0.53,1719431672.4071798
-0.23,0.07,0.34,1719431672.4083261
-0.24,0.03,0.26,1719431672.4083261
-0.25,-0.02,0.35,1719431672.4740927
-0.33,-0.05,0.54,1719431672.4748566
-0.41,-0.1,0.73,1719431672.4748566
-0.33,-0.06,0.75,1719431672.4748566
-0.25,-0.06,0.7,1719431672.5404952
-0.16,-0.05,0.58,1719431672.5415838
-0.22,-0.0,0.62,1719431672.5415838
-0.23,-0.07,0.52,1719431672.6071703
-0.29,-0.1,0.45,1719431672.6071703
-0.26,-0.08,0.46,1719431672.6081367
-0.29,-0.08,0.49,1719431672.6081367
-0.4,-0.08,0.57,1719431672.6738293
-0.38,-0.08,0.66,1719431672.674716
-0.31,-0.08,0.67,1719431672.6748264
-0.25,-0.12,0.64,1719431672.6748264
-0.33,-0.16,0.75,1719431672.7405162
-0.44,-0.14,0.95,1719431672.7416692
-0.51,-0.21,0.82,1719431672.7416692
-0.5,-0.14,0.53,1719431672.8071625
-0.46,-0.12,0.42,1719431672.8082478
0.23,-0.08,-0.19,1719431672.8092706
0.59,-0.03,0.4,1719431672.8093896
1.21,0.08,0.72,1719431672.8741393
1.06,0.17,0.43,1719431672.874847
0.51,0.08,0.35,1719431672.874847
0.25,-0.1,0.4,1719431672.874847
0.33,-0.1,0.55,1719431672.9404972
0.44,-0.23,0.96,1719431672.9414487
0.48,-0.26,1.36,1719431672.9414487
0.59,-0.18,1.43,1719431673.0071652
0.62,-0.22,1.67,1719431673.0071652
0.52,-0.28,1.89,1719431673.0071652
0.57,-0.19,1.36,1719431673.0081348
0.59,-0.15,0.82,1719431673.0738304
0.39,-0.23,0.52,1719431673.0748987
0.31,-0.31,0.65,1719431673.0748987
-0.68,-0.49,0.44,1719431673.0758917
-0.8,-0.54,0.4,1719431673.1405008
-0.74,-0.56,0.43,1719431673.1411438
-0.67,-0.56,0.45,1719431673.1417522
-0.68,-0.59,0.39,1719431673.2071698
-0.56,-0.55,0.35,1719431673.2071698
-0.49,-0.55,0.3,1719431673.208143
-0.41,-0.55,0.38,1719431673.208143
-0.44,-0.62,0.65,1719431673.2738464
-0.4,-0.7,0.82,1719431673.2738464
-0.45,-0.68,0.68,1719431673.2748067
-0.49,-0.69,0.52,1719431673.2748067
-0.52,-0.72,0.45,1719431673.3403506
-0.5,-0.69,0.51,1719431673.3415992
0.18,-0.49,0.41,1719431673.3415992
0.1,-0.44,0.27,1719431673.407192
