X,Y,Z,Timestamp
0.15,0.13,0.7,1718096824.8944302
0.19,0.12,0.65,1718096824.8944302
0.28,0.18,0.65,1718096824.8954287
0.28,0.12,0.64,1718096824.8954287
0.25,0.11,0.53,1718096824.8968728
0.08,-0.0,0.55,1718096824.8968728
0.2,0.06,0.47,1718096824.897878
0.22,0.05,0.62,1718096824.897878
0.15,-0.01,0.54,1718096824.897878
0.13,0.06,0.57,1718096824.9000463
0.09,0.04,0.57,1718096824.9000463
0.1,0.03,0.54,1718096824.9009635
0.13,0.08,0.53,1718096824.9009635
0.17,0.07,0.55,1718096824.9020467
0.09,-0.06,0.56,1718096824.9020467
0.1,0.01,0.56,1718096824.9030676
0.11,-0.0,0.49,1718096824.9030676
0.14,0.05,0.49,1718096824.9030676
0.13,-0.02,0.47,1718096824.9039652
0.13,0.06,0.53,1718096824.9039652
0.13,0.02,0.54,1718096824.9039652
0.07,-0.02,0.51,1718096824.9039652
0.12,-0.02,0.5,1718096824.9050052
0.08,0.01,0.5,1718096824.9050052
0.08,0.02,0.55,1718096824.9059637
0.13,-0.03,0.53,1718096824.9059637
0.11,-0.01,0.53,1718096824.9059637
0.12,0.06,0.51,1718096824.9059637
0.13,0.07,0.53,1718096824.9069865
0.14,0.09,0.57,1718096824.9069865
0.14,0.05,0.5,1718096824.9080036
0.16,0.02,0.56,1718096824.9080036
0.13,0.03,0.52,1718096824.9080036
0.09,0.07,0.59,1718096824.9080036
0.18,0.03,0.51,1718096824.90899
0.13,-0.02,0.54,1718096824.90899
0.15,0.02,0.51,1718096824.90899
0.15,0.05,0.59,1718096824.909991
0.09,-0.05,0.54,1718096824.909991
0.04,0.03,0.54,1718096824.909991
0.05,0.03,0.51,1718096824.9110498
0.06,0.04,0.52,1718096824.9110498
0.1,-0.04,0.51,1718096824.9110498
0.07,0.04,0.5,1718096824.911964
0.08,-0.04,0.49,1718096824.911964
0.04,0.03,0.49,1718096824.911964
0.06,0.02,0.49,1718096824.911964
0.01,-0.0,0.49,1718096824.9130046
0.03,-0.0,0.47,1718096824.9130046
0.09,0.02,0.49,1718096824.914026
0.03,-0.03,0.49,1718096824.914026
0.07,-0.01,0.5,1718096824.914026
0.13,-0.01,0.43,1718096824.9149644
0.17,0.05,0.5,1718096824.9149644
0.27,0.18,0.6,1718096824.9422295
0.14,-0.15,0.37,1718096824.9432056
0.32,-0.1,0.54,1718096824.9432056
0.11,-0.28,0.35,1718096824.9442017
0.11,-0.28,0.41,1718096825.0099108
0.12,-0.22,0.51,1718096825.0109277
0.12,-0.28,0.42,1718096825.0109277
0.04,-0.37,0.39,1718096825.0119278
0.15,-0.31,0.56,1718096825.076802
0.11,-0.28,0.63,1718096825.076802
0.1,-0.34,0.68,1718096825.0777428
0.08,-0.33,0.63,1718096825.142971
0.09,-0.27,0.68,1718096825.142971
0.1,-0.28,0.62,1718096825.14389
0.14,-0.33,0.58,1718096825.14389
0.11,-0.35,0.59,1718096825.2099602
0.1,-0.36,0.62,1718096825.2099602
0.11,-0.49,0.67,1718096825.2109716
0.06,-0.49,0.6,1718096825.2109716
0.08,-0.44,0.56,1718096825.276746
0.07,-0.44,0.58,1718096825.276746
0.03,-0.44,0.53,1718096825.27776
0.04,-0.46,0.6,1718096825.27776
-0.0,-0.49,0.52,1718096825.342805
-0.04,-0.47,0.56,1718096825.3436718
0.01,-0.48,0.52,1718096825.3436718
-0.13,-0.47,0.49,1718096825.4100835
-0.21,-0.5,0.51,1718096825.4100835
-0.18,-0.49,0.53,1718096825.4110954
-0.18,-0.49,0.58,1718096825.4110954
-0.21,-0.49,0.61,1718096825.4764597
-0.18,-0.49,0.68,1718096825.477346
-0.06,-0.47,0.51,1718096825.477346
-0.02,-0.46,0.56,1718096825.543238
-0.05,-0.46,0.59,1718096825.543238
0.09,-0.44,0.59,1718096825.5441606
0.08,-0.44,0.67,1718096825.5441606
-0.03,-0.43,0.63,1718096825.609337
-0.01,-0.49,0.64,1718096825.6102116
-0.07,-0.43,0.66,1718096825.6102116
-0.11,-0.51,0.68,1718096825.6112113
-0.06,-0.45,0.65,1718096825.6769428
-0.13,-0.52,0.65,1718096825.6772797
-0.14,-0.49,0.6,1718096825.6778314
-0.11,-0.48,0.59,1718096825.7434378
-0.12,-0.45,0.58,1718096825.7434378
-0.26,-0.28,0.5,1718096825.7443357
-0.06,-0.25,0.42,1718096825.7443357
0.24,-0.22,0.4,1718096825.809585
0.35,-0.15,0.24,1718096825.8099608
0.18,-0.1,0.22,1718096825.8105965
0.04,-0.11,0.23,1718096825.811001
-0.03,-0.09,0.3,1718096825.876751
-0.01,-0.09,0.33,1718096825.877745
-0.02,-0.1,0.37,1718096825.877745
-0.03,-0.11,0.32,1718096825.9426515
0.24,0.11,0.59,1718096825.943648
0.11,0.07,0.47,1718096825.943648
0.1,-0.03,0.42,1718096825.943648
0.15,-0.01,0.43,1718096826.0088658
0.21,-0.02,0.44,1718096826.0088658
0.19,0.09,0.6,1718096826.0103126
0.11,0.15,0.59,1718096826.0103126
0.08,0.04,0.57,1718096826.0755956
0.18,0.08,0.67,1718096826.0765114
0.19,0.09,0.67,1718096826.0765114
0.06,0.05,0.55,1718096826.077504
0.11,0.01,0.55,1718096826.142581
0.1,-0.04,0.54,1718096826.1434782
0.18,0.13,0.76,1718096826.1434782
0.01,-0.06,0.59,1718096826.1434782
0.03,0.05,0.59,1718096826.2099006
0.1,-0.01,0.55,1718096826.210827
0.09,0.01,0.57,1718096826.210827
0.05,-0.02,0.54,1718096826.2118225
0.11,-0.0,0.56,1718096826.2763097
