X,Y,Z,Timestamp
-0.21,-0.04,0.38,1718096967.79705
-0.21,-0.04,0.42,1718096967.7979693
-0.16,-0.04,0.43,1718096967.7979693
-0.2,-0.06,0.49,1718096967.7979693
-0.25,-0.03,0.52,1718096967.7989695
-0.3,-0.01,0.51,1718096967.7989695
-0.33,-0.05,0.54,1718096967.7999725
-0.29,-0.11,0.55,1718096967.7999725
-0.37,-0.1,0.61,1718096967.800971
-0.41,-0.13,0.59,1718096967.800971
-0.35,-0.14,0.48,1718096967.800971
-0.34,-0.16,0.54,1718096967.801969
-0.38,-0.09,0.6,1718096967.801969
-0.41,-0.13,0.5,1718096967.8032627
0.07,0.03,0.7,1718096967.8032627
0.02,-0.07,0.63,1718096967.8032627
0.05,-0.07,0.7,1718096967.8042674
-0.01,-0.03,0.71,1718096967.8042674
0.04,-0.11,0.77,1718096967.8042674
-0.03,-0.03,0.66,1718096967.8052676
-0.01,-0.09,0.7,1718096967.8052676
-0.03,-0.02,0.64,1718096967.8052676
0.02,-0.1,0.62,1718096967.8062704
0.03,-0.02,0.61,1718096967.8062704
0.01,0.03,0.6,1718096967.8062704
-0.01,0.03,0.57,1718096967.8072703
0.03,-0.03,0.53,1718096967.8072703
-0.08,0.01,0.62,1718096967.8072703
-0.04,0.02,0.55,1718096967.8082674
-0.12,-0.0,0.6,1718096967.8082674
-0.08,-0.02,0.59,1718096967.8082674
0.01,0.05,0.64,1718096967.8092682
-0.05,0.03,0.72,1718096967.8092682
-0.12,0.04,0.74,1718096967.8092682
-0.11,0.02,0.67,1718096967.8102677
-0.12,0.03,0.59,1718096967.8102677
-0.13,-0.0,0.56,1718096967.8102677
-0.12,-0.01,0.59,1718096967.8112748
-0.13,-0.02,0.57,1718096967.8112748
-0.09,0.02,0.54,1718096967.8748934
-0.17,0.03,0.58,1718096967.875914
-0.17,-0.01,0.55,1718096967.8769133
-0.13,0.02,0.6,1718096967.877913
-0.2,-0.04,0.66,1718096967.9422143
-0.09,0.03,0.65,1718096967.943232
