X,Y,Z,Timestamp
0.04,-0.01,0.38,1718097096.5292838
0.06,-0.01,0.38,1718097096.5292838
-0.03,0.04,0.36,1718097096.5302827
-0.0,-0.02,0.37,1718097096.5302827
0.05,-0.03,0.39,1718097096.5312905
0.06,-0.03,0.42,1718097096.5322826
0.09,0.01,0.48,1718097096.5322826
-0.03,0.03,0.47,1718097096.5332835
0.03,-0.07,0.5,1718097096.5332835
0.04,-0.1,0.49,1718097096.535278
0.04,-0.07,0.5,1718097096.535278
0.03,-0.08,0.49,1718097096.535278
0.02,-0.08,0.49,1718097096.5362835
0.05,-0.07,0.54,1718097096.5362835
0.03,-0.05,0.54,1718097096.5362835
0.03,-0.05,0.57,1718097096.5362835
0.02,-0.11,0.53,1718097096.5372837
0.03,-0.05,0.59,1718097096.5372837
0.03,-0.08,0.55,1718097096.5382843
-0.03,-0.06,0.57,1718097096.5392888
-0.01,-0.05,0.58,1718097096.5392888
0.07,-0.08,0.57,1718097096.5392888
0.04,-0.1,0.59,1718097096.5402856
-0.02,-0.1,0.54,1718097096.541285
-0.05,-0.03,0.47,1718097096.5422847
-0.03,-0.08,0.48,1718097096.5422847
-0.04,-0.08,0.5,1718097096.5422847
-0.02,-0.09,0.48,1718097096.5422847
-0.09,-0.09,0.53,1718097096.543285
-0.09,-0.07,0.52,1718097096.543285
-0.12,-0.03,0.58,1718097096.543285
-0.09,-0.1,0.59,1718097096.5442839
-0.01,-0.07,0.54,1718097096.5442839
-0.04,-0.1,0.54,1718097096.5442839
-0.02,-0.03,0.54,1718097096.5452836
-0.04,-0.07,0.48,1718097096.5452836
-0.02,-0.12,0.5,1718097096.5462835
-0.03,-0.04,0.55,1718097096.5462835
-0.05,-0.1,0.55,1718097096.5462835
-0.06,-0.13,0.57,1718097096.5472832
-0.01,-0.15,0.57,1718097096.5472832
-0.07,-0.16,0.56,1718097096.5472832
-0.08,-0.17,0.59,1718097096.5472832
-0.08,-0.15,0.59,1718097096.5472832
-0.0,-0.14,0.63,1718097096.5487885
-0.05,-0.1,0.62,1718097096.5491738
-0.09,-0.13,0.59,1718097096.5491738
-0.08,-0.2,0.61,1718097096.5491738
-0.08,-0.12,0.56,1718097096.5501792
-0.08,-0.11,0.6,1718097096.5501792
-0.03,-0.12,0.59,1718097096.5511801
-0.07,-0.1,0.56,1718097096.5511801
-0.08,-0.11,0.58,1718097096.5511801
-0.04,-0.1,0.54,1718097096.55218
-0.09,-0.12,0.58,1718097096.55218
-0.06,-0.09,0.51,1718097096.55218
-0.01,-0.13,0.57,1718097096.55318
-0.03,-0.18,0.58,1718097096.5967715
-0.04,-0.13,0.54,1718097096.5967715
-0.08,-0.12,0.52,1718097096.5976565
-0.08,-0.1,0.6,1718097096.6637983
-0.03,-0.11,0.58,1718097096.6637983
-0.01,-0.1,0.56,1718097096.6637983
-0.04,-0.1,0.57,1718097096.6648078
0.02,-0.16,0.6,1718097096.7304318
-0.02,-0.15,0.61,1718097096.7304318
-0.01,-0.12,0.54,1718097096.731439
-0.05,-0.1,0.59,1718097096.731439
-0.03,-0.06,0.56,1718097096.797153
-0.1,-0.05,0.58,1718097096.797153
-0.08,-0.14,0.49,1718097096.798165
-0.08,-0.1,0.57,1718097096.8637602
-0.13,-0.11,0.52,1718097096.8637602
-0.1,-0.08,0.59,1718097096.8646793
-0.1,-0.12,0.57,1718097096.8646793
-0.06,-0.13,0.56,1718097096.930026
-0.1,-0.08,0.57,1718097096.9308877
-0.05,-0.16,0.61,1718097096.9308877
-0.05,-0.11,0.68,1718097096.997171
-0.08,-0.15,0.62,1718097096.997171
-0.15,-0.13,0.52,1718097096.9981833
-0.2,-0.14,0.49,1718097096.9981833
-0.18,-0.13,0.55,1718097097.0632753
-0.15,-0.07,0.49,1718097097.0632753
-0.19,-0.1,0.53,1718097097.0642867
-0.1,-0.08,0.5,1718097097.130023
-0.1,-0.1,0.48,1718097097.130023
-0.12,-0.1,0.5,1718097097.131029
-0.14,-0.16,0.5,1718097097.131029
-0.15,-0.15,0.48,1718097097.196494
-0.1,-0.13,0.47,1718097097.1973639
-0.13,-0.1,0.46,1718097097.1973639
-0.14,-0.15,0.44,1718097097.2631743
-0.22,-0.13,0.38,1718097097.2640352
-0.0,-0.29,0.59,1718097097.2640352
-0.03,-0.29,0.68,1718097097.2640352
0.04,-0.31,0.67,1718097097.3301337
0.07,-0.25,0.78,1718097097.3301337
0.08,-0.31,0.73,1718097097.3301337
0.12,-0.27,0.72,1718097097.331132
0.19,-0.31,0.69,1718097097.3965685
0.24,-0.26,0.94,1718097097.3965685
