X,Y,Z,Timestamp
-0.18,-0.2,0.47,1718096759.6070275
-0.13,-0.04,0.54,1718096759.6070275
-0.14,-0.1,0.56,1718096759.6080275
-0.16,-0.08,0.57,1718096759.6080275
-0.14,-0.05,0.61,1718096759.6090274
-0.12,-0.03,0.54,1718096759.6090274
-0.11,-0.08,0.56,1718096759.6105099
0.05,0.05,0.68,1718096759.6105099
-0.03,-0.04,0.62,1718096759.6127374
-0.06,-0.07,0.56,1718096759.6127374
-0.13,-0.07,0.55,1718096759.6127374
-0.07,-0.09,0.58,1718096759.6137433
0.03,-0.02,0.68,1718096759.6137433
-0.11,-0.18,0.53,1718096759.6137433
-0.08,-0.11,0.59,1718096759.6147437
-0.08,-0.04,0.57,1718096759.614975
-0.12,-0.08,0.57,1718096759.614975
-0.15,-0.1,0.59,1718096759.614975
-0.11,-0.1,0.62,1718096759.6159809
-0.09,-0.06,0.56,1718096759.6159809
-0.08,-0.13,0.61,1718096759.6159809
-0.07,-0.12,0.59,1718096759.6169808
-0.13,-0.05,0.54,1718096759.6169808
-0.13,-0.04,0.58,1718096759.6179812
-0.11,-0.08,0.51,1718096759.6179812
-0.08,-0.11,0.49,1718096759.6179812
-0.1,-0.09,0.54,1718096759.6189806
-0.05,-0.09,0.58,1718096759.6189806
-0.07,-0.13,0.58,1718096759.6189806
-0.07,-0.1,0.58,1718096759.6199806
-0.04,-0.07,0.63,1718096759.6199806
-0.03,-0.07,0.56,1718096759.6199806
-0.04,-0.11,0.55,1718096759.6209807
-0.04,-0.04,0.58,1718096759.6209807
-0.03,-0.09,0.62,1718096759.6209807
-0.11,-0.06,0.57,1718096759.6219807
-0.07,-0.13,0.57,1718096759.6219807
-0.05,-0.07,0.57,1718096759.6219807
-0.08,-0.1,0.54,1718096759.6229813
-0.05,-0.07,0.58,1718096759.6229813
-0.1,-0.08,0.53,1718096759.623981
-0.11,-0.07,0.58,1718096759.623981
-0.09,-0.11,0.51,1718096759.623981
-0.03,-0.11,0.54,1718096759.6249814
-0.05,-0.12,0.54,1718096759.6249814
-0.09,-0.12,0.55,1718096759.6249814
-0.11,-0.14,0.55,1718096759.625981
-0.08,-0.13,0.5,1718096759.625981
-0.08,-0.13,0.49,1718096759.625981
-0.08,-0.13,0.5,1718096759.626981
-0.1,-0.15,0.46,1718096759.626981
-0.08,-0.14,0.45,1718096759.626981
-0.1,-0.13,0.49,1718096759.6279807
-0.05,-0.13,0.44,1718096759.6279807
-0.06,-0.13,0.44,1718096759.6279807
-0.12,-0.17,0.44,1718096759.6289823
-0.12,-0.17,0.43,1718096759.6289823
-0.05,-0.16,0.43,1718096759.6289823
-0.29,-0.21,0.48,1718096759.6299806
-0.31,-0.21,0.38,1718096759.6299806
-0.31,-0.2,0.46,1718096759.6299806
-0.29,-0.22,0.41,1718096759.63098
-0.31,-0.26,0.42,1718096759.63098
-0.39,-0.35,0.34,1718096759.63098
-0.54,-0.51,0.2,1718096759.63098
-0.47,-0.42,0.31,1718096759.6319795
-0.44,-0.41,0.34,1718096759.6319795
-0.36,-0.38,0.38,1718096759.6764307
-0.38,-0.4,0.36,1718096759.6774378
-0.28,-0.32,0.51,1718096759.677773
-0.18,-0.26,0.58,1718096759.7432835
-0.22,-0.33,0.52,1718096759.744281
-0.14,-0.34,0.59,1718096759.744281
-0.12,-0.29,0.64,1718096759.744281
-0.09,-0.32,0.61,1718096759.8099983
-0.06,-0.31,0.64,1718096759.810996
-0.08,-0.31,0.68,1718096759.810996
-0.06,-0.25,0.66,1718096759.8766177
-0.08,-0.27,0.65,1718096759.8776138
-0.0,-0.26,0.64,1718096759.8776138
-0.0,-0.25,0.64,1718096759.8776138
0.07,-0.27,0.67,1718096759.9435847
0.03,-0.27,0.6,1718096759.9435847
0.01,-0.22,0.63,1718096759.9445994
-0.01,-0.28,0.65,1718096759.9445994
-0.04,-0.23,0.63,1718096760.0098627
-0.18,-0.4,0.45,1718096760.010881
0.08,-0.21,0.65,1718096760.010881
0.04,-0.18,0.67,1718096760.0770106
0.07,-0.18,0.58,1718096760.0770106
-0.01,-0.16,0.61,1718096760.07802
0.07,-0.18,0.58,1718096760.07802
0.03,-0.13,0.58,1718096760.1433709
0.05,-0.12,0.59,1718096760.1433709
-0.02,-0.16,0.59,1718096760.1443565
0.03,-0.1,0.55,1718096760.1443565
-0.03,-0.1,0.51,1718096760.2093458
0.03,-0.07,0.49,1718096760.2103603
0.05,-0.09,0.51,1718096760.2103603
0.02,-0.05,0.5,1718096760.2103603
0.06,-0.02,0.49,1718096760.2765074
-0.21,-0.04,0.52,1718096760.2775135
-0.16,-0.03,0.55,1718096760.2775135
-0.14,-0.05,0.53,1718096760.3430846
-0.13,-0.07,0.52,1718096760.3430846
-0.18,-0.09,0.54,1718096760.3445644
-0.18,-0.05,0.56,1718096760.3445644
-0.15,-0.1,0.53,1718096760.4102361
-0.2,-0.02,0.54,1718096760.4102361
-0.19,-0.02,0.55,1718096760.4113872
-0.23,-0.02,0.51,1718096760.476529
-0.18,-0.04,0.55,1718096760.476529
-0.18,0.01,0.48,1718096760.4776337
-0.1,-0.01,0.52,1718096760.4776337
-0.07,0.07,0.52,1718096760.5434003
-0.13,0.02,0.53,1718096760.5434003
-0.1,-0.04,0.56,1718096760.5443091
-0.09,-0.03,0.57,1718096760.5443091
-0.24,-0.16,0.41,1718096760.6106172
