X,Y,Z,Timestamp
-0.12,-0.1,0.47,1718096904.2672184
-0.08,-0.12,0.47,1718096904.268218
-0.09,-0.12,0.55,1718096904.2692215
-0.06,-0.15,0.55,1718096904.2692215
-0.04,-0.1,0.53,1718096904.2702205
-0.08,-0.14,0.56,1718096904.2712185
-0.03,-0.16,0.57,1718096904.2712185
-0.05,-0.08,0.55,1718096904.272219
0.02,-0.14,0.56,1718096904.2736764
-0.0,-0.15,0.56,1718096904.2736764
-0.06,-0.12,0.55,1718096904.274681
-0.07,-0.14,0.55,1718096904.2751155
-0.0,-0.13,0.57,1718096904.2751155
-0.02,-0.15,0.59,1718096904.2751155
-0.03,-0.09,0.55,1718096904.2761247
-0.0,-0.08,0.61,1718096904.2761247
-0.05,-0.15,0.57,1718096904.2761247
-0.01,-0.17,0.55,1718096904.2771242
-0.06,-0.07,0.59,1718096904.2771242
-0.06,-0.16,0.56,1718096904.2781227
-0.05,-0.2,0.59,1718096904.2781227
-0.05,-0.17,0.57,1718096904.2781227
-0.03,-0.11,0.54,1718096904.2791216
-0.05,-0.15,0.57,1718096904.2791216
0.02,-0.15,0.53,1718096904.2791216
-0.01,-0.1,0.54,1718096904.28016
-0.04,-0.15,0.6,1718096904.28016
-0.03,-0.14,0.53,1718096904.2811222
-0.02,-0.16,0.62,1718096904.2811222
0.02,-0.15,0.54,1718096904.2811222
-0.05,-0.13,0.57,1718096904.2821217
-0.07,-0.1,0.63,1718096904.2821217
-0.02,-0.1,0.56,1718096904.2821217
-0.06,-0.1,0.57,1718096904.2831662
-0.04,-0.13,0.58,1718096904.2831662
-0.03,-0.11,0.6,1718096904.2841218
-0.03,-0.1,0.63,1718096904.2841218
-0.05,-0.12,0.61,1718096904.2841218
-0.01,-0.07,0.61,1718096904.2851222
-0.04,-0.08,0.55,1718096904.2851222
-0.05,-0.08,0.56,1718096904.2851222
-0.03,-0.14,0.53,1718096904.286122
-0.04,-0.13,0.51,1718096904.286122
-0.04,-0.13,0.52,1718096904.286122
-0.08,-0.16,0.54,1718096904.286122
-0.02,-0.14,0.54,1718096904.2871222
-0.07,-0.14,0.61,1718096904.2871222
0.01,-0.15,0.59,1718096904.2871222
-0.02,-0.14,0.58,1718096904.2871222
0.03,-0.1,0.54,1718096904.2881205
0.02,-0.1,0.59,1718096904.2881205
0.03,-0.17,0.54,1718096904.2881205
0.02,-0.1,0.54,1718096904.2891223
-0.0,-0.1,0.51,1718096904.342918
0.04,-0.13,0.54,1718096904.3439317
-0.0,-0.08,0.55,1718096904.34493
0.03,-0.11,0.53,1718096904.409373
0.1,-0.13,0.6,1718096904.409373
0.07,-0.15,0.56,1718096904.4103916
0.06,-0.12,0.55,1718096904.4103916
0.07,-0.18,0.64,1718096904.4759412
-0.03,-0.13,0.56,1718096904.4759412
0.08,-0.16,0.62,1718096904.4769526
0.03,-0.15,0.61,1718096904.4769526
0.19,-0.12,0.54,1718096904.5426748
0.15,-0.13,0.58,1718096904.5426748
0.2,-0.13,0.59,1718096904.5436027
0.14,-0.09,0.64,1718096904.5436027
0.13,-0.1,0.69,1718096904.6093886
0.16,-0.05,0.59,1718096904.6093886
0.02,-0.07,0.62,1718096904.6104026
-0.05,-0.17,0.67,1718096904.6760688
-0.13,-0.13,0.57,1718096904.6760688
-0.15,-0.21,0.53,1718096904.6770818
-0.26,-0.24,0.53,1718096904.6770818
-0.26,-0.15,0.45,1718096904.7421923
-0.2,-0.15,0.43,1718096904.7421923
-0.25,-0.16,0.4,1718096904.7430596
-0.29,-0.16,0.39,1718096904.808537
-0.16,-0.32,0.55,1718096904.8093948
-0.11,-0.31,0.51,1718096904.8093948
-0.08,-0.29,0.44,1718096904.8103938
-0.14,-0.28,0.42,1718096904.8752515
-0.13,-0.27,0.38,1718096904.8761666
-0.09,-0.25,0.37,1718096904.8761666
-0.09,-0.19,0.36,1718096904.8772166
-0.08,-0.15,0.34,1718096904.942198
-0.08,-0.23,0.34,1718096904.9431958
-0.05,-0.15,0.31,1718096904.9441943
-0.04,-0.13,0.29,1718096905.0084522
-0.06,-0.15,0.39,1718096905.0084522
0.06,-0.19,0.36,1718096905.009724
0.08,-0.21,0.41,1718096905.009724
0.11,-0.15,0.44,1718096905.074935
0.02,-0.36,0.82,1718096905.075934
-0.09,-0.46,0.81,1718096905.075934
-0.1,-0.49,0.76,1718096905.1417136
-0.15,-0.46,0.78,1718096905.142695
-0.17,-0.5,0.77,1718096905.142695
