X,Y,Z,Timestamp
-0.16,-0.22,0.46,1718097031.9759626
-0.13,-0.26,0.45,1718097031.9769628
-0.19,-0.23,0.48,1718097031.9779627
-0.12,-0.28,0.52,1718097031.9779627
-0.12,-0.26,0.5,1718097031.9789636
-0.16,-0.35,0.58,1718097031.9799623
-0.18,-0.28,0.55,1718097031.9799623
-0.18,-0.25,0.55,1718097031.980962
-0.18,-0.29,0.6,1718097031.9822416
-0.19,-0.27,0.61,1718097031.9822416
-0.16,-0.27,0.6,1718097031.9822416
-0.18,-0.27,0.64,1718097031.9822416
-0.15,-0.25,0.64,1718097031.983249
-0.09,-0.22,0.67,1718097031.983249
-0.13,-0.24,0.59,1718097031.983249
-0.13,-0.26,0.56,1718097031.9842465
-0.11,-0.23,0.57,1718097031.9842465
-0.11,-0.21,0.58,1718097031.9842465
-0.11,-0.25,0.59,1718097031.9852457
-0.1,-0.26,0.64,1718097031.9852457
-0.11,-0.23,0.58,1718097031.9852457
-0.14,-0.23,0.6,1718097031.9862466
-0.15,-0.31,0.65,1718097031.9862466
-0.16,-0.26,0.56,1718097031.9862466
-0.13,-0.32,0.61,1718097031.9872487
-0.19,-0.23,0.54,1718097031.9872487
-0.16,-0.25,0.55,1718097031.988018
-0.12,-0.25,0.54,1718097031.988018
-0.12,-0.2,0.56,1718097031.988018
-0.11,-0.21,0.57,1718097031.9890265
-0.1,-0.25,0.53,1718097031.9890265
-0.17,-0.2,0.56,1718097031.9900267
-0.15,-0.18,0.59,1718097031.9900267
-0.16,-0.2,0.62,1718097031.9900267
-0.12,-0.24,0.52,1718097031.9910262
-0.17,-0.19,0.54,1718097031.9910262
-0.1,-0.25,0.59,1718097031.9910262
-0.13,-0.18,0.58,1718097031.9920244
-0.11,-0.2,0.59,1718097031.9920244
-0.16,-0.18,0.59,1718097031.9930263
-0.11,-0.23,0.57,1718097031.9930263
-0.12,-0.21,0.57,1718097031.9930263
-0.12,-0.19,0.63,1718097031.9940264
-0.09,-0.26,0.62,1718097031.9940264
-0.11,-0.23,0.56,1718097031.9940264
-0.12,-0.22,0.57,1718097031.9950266
-0.1,-0.17,0.55,1718097031.9950266
-0.1,-0.18,0.56,1718097031.9950266
-0.1,-0.19,0.45,1718097031.9960265
-0.11,-0.15,0.54,1718097031.9960265
-0.1,-0.16,0.57,1718097031.9960265
-0.1,-0.17,0.62,1718097031.997027
-0.09,-0.18,0.63,1718097031.997027
-0.13,-0.18,0.66,1718097031.997027
-0.07,-0.21,0.65,1718097031.9980261
-0.09,-0.18,0.67,1718097031.9980261
-0.08,-0.18,0.67,1718097032.0076742
-0.04,-0.21,0.67,1718097032.0076742
-0.13,-0.2,0.64,1718097032.008684
-0.13,-0.18,0.62,1718097032.0743403
-0.11,-0.14,0.63,1718097032.0743403
-0.09,-0.2,0.62,1718097032.0755417
-0.1,-0.21,0.57,1718097032.0755417
-0.11,-0.19,0.58,1718097032.1417172
-0.11,-0.18,0.6,1718097032.1417172
-0.06,-0.22,0.59,1718097032.1427588
-0.1,-0.18,0.57,1718097032.2078817
-0.09,-0.23,0.6,1718097032.2087564
-0.13,-0.13,0.59,1718097032.209803
-0.08,-0.16,0.56,1718097032.2107987
-0.07,-0.22,0.55,1718097032.2746086
-0.07,-0.15,0.6,1718097032.2746086
-0.09,-0.21,0.54,1718097032.275622
-0.09,-0.17,0.52,1718097032.3414536
-0.08,-0.18,0.57,1718097032.3414536
-0.07,-0.15,0.6,1718097032.3414536
-0.01,-0.2,0.49,1718097032.3427682
-0.06,-0.17,0.56,1718097032.4083166
-0.04,-0.16,0.58,1718097032.4083166
0.01,-0.15,0.53,1718097032.4093285
-0.03,-0.23,0.5,1718097032.4093285
-0.08,-0.2,0.52,1718097032.474992
-0.1,-0.24,0.55,1718097032.474992
-0.1,-0.26,0.53,1718097032.476004
-0.12,-0.23,0.54,1718097032.540659
-0.05,-0.26,0.57,1718097032.5415905
-0.12,-0.23,0.53,1718097032.5425372
-0.1,-0.25,0.53,1718097032.5425372
-0.08,-0.26,0.53,1718097032.608156
-0.08,-0.18,0.49,1718097032.6090636
-0.16,-0.34,0.62,1718097032.6092882
-0.18,-0.39,0.65,1718097032.674214
-0.21,-0.39,0.72,1718097032.6750898
-0.11,-0.36,0.61,1718097032.6750898
-0.1,-0.34,0.68,1718097032.6760895
-0.11,-0.37,0.66,1718097032.7415075
-0.04,-0.46,0.6,1718097032.7424378
-0.08,-0.44,0.67,1718097032.7424378
-0.05,-0.41,0.66,1718097032.8078418
-0.11,-0.49,0.67,1718097032.8078418
-0.26,-0.63,0.52,1718097032.8088164
-0.13,-0.54,0.7,1718097032.8088164
-0.14,-0.54,0.69,1718097032.8739548
-0.09,-0.54,0.73,1718097032.8749642
-0.16,-0.57,0.53,1718097032.8749642
-0.19,-0.54,0.48,1718097032.9415123
-0.18,-0.49,0.53,1718097032.9417593
-0.2,-0.52,0.48,1718097032.9417593
-0.21,-0.46,0.54,1718097032.94277
-0.23,-0.54,0.45,1718097033.0076356
-0.18,-0.49,0.51,1718097033.0085015
-0.1,-0.43,0.53,1718097033.0085015
-0.12,-0.44,0.54,1718097033.0095026
-0.1,-0.34,0.58,1718097033.074338
-0.15,-0.33,0.5,1718097033.0752187
-0.07,-0.31,0.49,1718097033.0752187
-0.05,-0.28,0.49,1718097033.1412103
0.04,-0.25,0.44,1718097033.1412103
0.08,-0.23,0.46,1718097033.1412103
0.06,-0.18,0.51,1718097033.1422124
0.07,-0.2,0.53,1718097033.2077014
0.1,-0.17,0.54,1718097033.208586
0.09,-0.23,0.54,1718097033.208586
0.09,-0.2,0.56,1718097033.2095819
0.1,-0.26,0.52,1718097033.275138
0.07,-0.22,0.6,1718097033.2755136
0.07,-0.24,0.57,1718097033.2755136
0.04,-0.26,0.57,1718097033.3415675
0.07,-0.26,0.59,1718097033.3415675
0.13,-0.23,0.59,1718097033.3425815
0.14,-0.18,0.57,1718097033.3425815
0.17,-0.18,0.57,1718097033.408463
0.16,-0.23,0.57,1718097033.408667
0.15,-0.16,0.63,1718097033.408667
0.14,-0.23,0.75,1718097033.4096746
0.15,-0.29,0.81,1718097033.4749947
0.07,-0.27,0.7,1718097033.4749947
0.05,-0.23,0.69,1718097033.4758816
-0.0,-0.29,0.67,1718097033.4758816
0.04,-0.25,0.56,1718097033.5416234
-0.05,-0.29,0.56,1718097033.5416234
-0.08,-0.27,0.48,1718097033.5426314
-0.08,-0.2,0.45,1718097033.6077487
-0.07,-0.23,0.44,1718097033.6086261
-0.22,-0.18,0.44,1718097033.6086261
-0.13,-0.16,0.29,1718097033.6086261
-0.23,-0.18,0.33,1718097033.6742654
