X,Y,Z,Timestamp
-0.44,-0.56,0.48,1718097212.6827624
-0.36,-0.5,0.49,1718097212.6827624
-0.37,-0.57,0.42,1718097212.6837637
-0.34,-0.54,0.32,1718097212.6837637
-0.36,-0.44,0.38,1718097212.6847606
-0.39,-0.43,0.42,1718097212.6847606
-0.49,-0.42,0.44,1718097212.6857605
-0.48,-0.27,0.54,1718097212.6857605
-0.44,-0.33,0.56,1718097212.686798
-0.45,-0.3,0.53,1718097212.686798
-0.44,-0.29,0.53,1718097212.6877637
-0.39,-0.3,0.52,1718097212.6877637
-0.47,-0.32,0.52,1718097212.6877637
-0.38,-0.28,0.57,1718097212.688763
-0.44,-0.31,0.47,1718097212.689761
-0.44,-0.29,0.49,1718097212.689761
-0.41,-0.24,0.48,1718097212.690838
-0.44,-0.25,0.49,1718097212.690838
-0.41,-0.29,0.46,1718097212.690838
-0.37,-0.2,0.48,1718097212.690838
-0.46,-0.32,0.52,1718097212.6917999
-0.46,-0.26,0.57,1718097212.6917999
-0.39,-0.23,0.52,1718097212.6928496
-0.44,-0.3,0.56,1718097212.6938472
-0.41,-0.29,0.54,1718097212.6938472
-0.38,-0.28,0.59,1718097212.6938472
-0.38,-0.23,0.59,1718097212.6938472
-0.43,-0.29,0.52,1718097212.6948502
-0.37,-0.29,0.52,1718097212.6958413
-0.46,-0.21,0.51,1718097212.6958413
-0.46,-0.33,0.51,1718097212.6958413
-0.46,-0.27,0.52,1718097212.6968021
-0.41,-0.27,0.53,1718097212.6968021
-0.39,-0.28,0.58,1718097212.6968021
-0.47,-0.28,0.54,1718097212.6968021
-0.39,-0.26,0.52,1718097212.697812
-0.38,-0.28,0.49,1718097212.697812
-0.47,-0.23,0.58,1718097212.6988406
-0.4,-0.25,0.59,1718097212.6988406
-0.4,-0.29,0.57,1718097212.6988406
-0.39,-0.28,0.57,1718097212.6997874
-0.38,-0.28,0.49,1718097212.6997874
-0.45,-0.26,0.51,1718097212.6997874
-0.39,-0.29,0.57,1718097212.7007616
-0.36,-0.29,0.55,1718097212.7007616
-0.44,-0.24,0.51,1718097212.7007616
-0.42,-0.27,0.49,1718097212.7007616
-0.4,-0.23,0.53,1718097212.7018006
-0.44,-0.31,0.59,1718097212.7018006
-0.38,-0.23,0.49,1718097212.7018006
-0.38,-0.29,0.49,1718097212.7028089
-0.46,-0.25,0.55,1718097212.7028089
-0.41,-0.23,0.51,1718097212.7038376
-0.38,-0.24,0.53,1718097212.7038376
-0.4,-0.22,0.54,1718097212.7047634
-0.39,-0.23,0.52,1718097212.7047634
-0.43,-0.31,0.51,1718097212.7291298
-0.41,-0.25,0.53,1718097212.7291298
-0.47,-0.3,0.54,1718097212.7300901
-0.39,-0.29,0.57,1718097212.7960393
-0.41,-0.2,0.58,1718097212.7960393
-0.44,-0.26,0.56,1718097212.7960393
-0.39,-0.24,0.58,1718097212.7970383
-0.44,-0.29,0.53,1718097212.862817
-0.46,-0.27,0.55,1718097212.862817
-0.43,-0.26,0.57,1718097212.8638332
-0.35,-0.27,0.57,1718097212.9295473
-0.39,-0.22,0.5,1718097212.93023
-0.4,-0.28,0.51,1718097212.93023
-0.41,-0.21,0.54,1718097212.93023
-0.39,-0.25,0.53,1718097212.9958642
-0.44,-0.23,0.52,1718097212.9958642
-0.42,-0.29,0.52,1718097212.9968028
-0.44,-0.28,0.55,1718097213.0625181
-0.4,-0.26,0.49,1718097213.0629463
-0.43,-0.24,0.58,1718097213.0629463
-0.38,-0.23,0.53,1718097213.0629463
-0.44,-0.29,0.57,1718097213.1292913
-0.4,-0.25,0.55,1718097213.129632
-0.43,-0.24,0.56,1718097213.129632
-0.39,-0.25,0.52,1718097213.1958332
-0.38,-0.19,0.47,1718097213.1958332
-0.39,-0.21,0.49,1718097213.1958332
-0.37,-0.22,0.5,1718097213.1968412
-0.47,-0.29,0.53,1718097213.2620826
-0.45,-0.22,0.57,1718097213.263111
-0.48,-0.25,0.51,1718097213.263111
-0.41,-0.21,0.56,1718097213.263111
-0.42,-0.28,0.54,1718097213.3292923
-0.45,-0.31,0.53,1718097213.3292923
-0.4,-0.3,0.53,1718097213.330293
-0.28,-0.23,0.31,1718097213.3955467
-0.02,-0.37,-0.41,1718097213.3964024
0.22,-0.44,-1.02,1718097213.3967383
0.55,-0.9,-1.73,1718097213.3972087
0.15,-1.26,-1.27,1718097213.4621732
-1.16,-1.71,1.27,1718097213.4630413
-0.9,-1.44,2.44,1718097213.4640381
-0.26,-1.4,1.97,1718097213.5290194
-0.75,-1.31,1.42,1718097213.5294602
-0.09,-0.78,0.76,1718097213.5299704
-0.19,-0.87,0.47,1718097213.5299704
-0.16,-0.83,0.52,1718097213.5960472
-0.23,-0.85,0.54,1718097213.5960472
-0.33,-0.94,0.43,1718097213.5970562
-0.39,-0.62,0.33,1718097213.662657
-0.46,-0.66,0.39,1718097213.662657
-0.45,-0.6,0.38,1718097213.6635947
-0.41,-0.56,0.37,1718097213.6635947
-0.44,-0.56,0.4,1718097213.7297025
-0.43,-0.51,0.44,1718097213.7300115
-0.41,-0.52,0.45,1718097213.7305446
-0.39,-0.48,0.54,1718097213.7955787
-0.35,-0.44,0.44,1718097213.7964659
-0.39,-0.45,0.34,1718097213.7964659
-0.4,-0.41,0.2,1718097213.7974677
-0.44,-0.33,0.27,1718097213.8627367
-0.42,-0.28,0.37,1718097213.8637657
-0.45,-0.31,0.54,1718097213.8637657
-0.39,-0.21,0.51,1718097213.8647652
-0.42,-0.21,0.52,1718097213.9291418
-0.35,-0.21,0.26,1718097213.9291418
-0.17,-0.22,-0.05,1718097213.9301422
0.19,-0.28,-0.67,1718097213.9955075
0.61,-0.78,-1.71,1718097213.9955075
0.34,-1.19,-1.94,1718097213.9965081
-0.53,-1.73,0.04,1718097213.9965081
-1.19,-1.93,2.5,1718097214.0626404
-0.9,-1.31,2.73,1718097214.0626404
-0.42,-1.21,1.5,1718097214.0635426
-0.47,-1.04,0.78,1718097214.1287994
-0.11,-0.83,0.7,1718097214.1296785
-0.18,-0.93,0.61,1718097214.1296785
-0.31,-0.77,0.53,1718097214.13068
-0.21,-0.77,0.31,1718097214.1954186
