X,Y,Z,Timestamp
-0.18,-0.32,0.55,1718097196.5257032
-0.16,-0.34,0.62,1718097196.5266786
-0.18,-0.33,0.57,1718097196.5266786
-0.18,-0.38,0.6,1718097196.5276785
-0.18,-0.34,0.62,1718097196.528679
-0.15,-0.32,0.59,1718097196.528679
-0.11,-0.31,0.54,1718097196.5299861
-0.16,-0.35,0.6,1718097196.5299861
-0.15,-0.41,0.59,1718097196.5299861
-0.14,-0.41,0.61,1718097196.5309935
-0.13,-0.32,0.5,1718097196.5309935
-0.12,-0.38,0.54,1718097196.5319905
-0.16,-0.34,0.56,1718097196.5319905
-0.2,-0.42,0.56,1718097196.5319905
-0.18,-0.35,0.56,1718097196.5319905
-0.13,-0.36,0.52,1718097196.532991
-0.13,-0.4,0.59,1718097196.532991
-0.18,-0.35,0.55,1718097196.532991
-0.13,-0.39,0.53,1718097196.5339904
-0.13,-0.35,0.53,1718097196.5339904
-0.15,-0.33,0.5,1718097196.5339904
-0.15,-0.34,0.52,1718097196.5339904
-0.19,-0.41,0.53,1718097196.5349908
-0.16,-0.31,0.57,1718097196.5349908
-0.2,-0.39,0.52,1718097196.5359905
-0.15,-0.33,0.58,1718097196.5359905
-0.14,-0.35,0.59,1718097196.5359905
-0.13,-0.4,0.59,1718097196.5369911
-0.15,-0.38,0.58,1718097196.5369911
-0.14,-0.3,0.57,1718097196.5379918
-0.13,-0.38,0.67,1718097196.5379918
-0.12,-0.39,0.77,1718097196.5379918
-0.13,-0.34,0.86,1718097196.538993
-0.15,-0.33,0.8,1718097196.538993
-0.06,-0.34,0.66,1718097196.538993
-0.05,-0.26,0.61,1718097196.5399923
-0.08,-0.23,0.54,1718097196.541073
-0.04,-0.28,0.52,1718097196.541073
-0.05,-0.23,0.51,1718097196.5420833
-0.02,-0.23,0.55,1718097196.5420833
-0.03,-0.23,0.64,1718097196.5430813
-0.09,-0.22,0.66,1718097196.5430813
-0.14,-0.28,0.58,1718097196.5436604
-0.15,-0.3,0.63,1718097196.5436604
-0.1,-0.2,0.56,1718097196.5436604
-0.13,-0.28,0.6,1718097196.5447109
-0.21,-0.31,0.59,1718097196.5447109
-0.21,-0.31,0.58,1718097196.5447109
-0.21,-0.27,0.57,1718097196.5457008
-0.31,-0.28,0.58,1718097196.5457008
-0.26,-0.21,0.56,1718097196.5466664
-0.31,-0.23,0.6,1718097196.5466664
-0.31,-0.23,0.59,1718097196.5466664
-0.28,-0.25,0.65,1718097196.5476668
-0.21,-0.2,0.63,1718097196.5476668
-0.17,-0.2,0.64,1718097196.5476668
-0.19,-0.21,0.64,1718097196.5486667
-0.2,-0.23,0.65,1718097196.5486667
-0.22,-0.21,0.59,1718097196.5486667
-0.25,-0.23,0.64,1718097196.5496666
-0.24,-0.25,0.63,1718097196.5496666
-0.26,-0.26,0.55,1718097196.5496666
-0.2,-0.21,0.51,1718097196.5506668
-0.31,-0.2,0.49,1718097196.5506668
-0.31,-0.19,0.49,1718097196.5506668
-0.25,-0.18,0.51,1718097196.5516677
-0.3,-0.28,0.53,1718097196.5516677
-0.28,-0.18,0.54,1718097196.5955675
-0.28,-0.24,0.61,1718097196.5964434
-0.24,-0.21,0.57,1718097196.5964434
-0.27,-0.25,0.56,1718097196.6631565
-0.19,-0.29,0.59,1718097196.6631565
-0.25,-0.27,0.51,1718097196.6631565
