X,Y,Z,Timestamp
-0.03,0.07,0.62,1718102546.0701852
-0.03,0.04,0.6,1718102546.0711842
-0.07,0.04,0.63,1718102546.0711842
-0.08,0.07,0.58,1718102546.0711842
-0.13,0.07,0.61,1718102546.072427
-0.15,0.03,0.59,1718102546.072427
-0.05,0.07,0.51,1718102546.0734563
-0.04,0.04,0.59,1718102546.0734563
-0.08,0.01,0.64,1718102546.0734563
-0.05,0.08,0.64,1718102546.074462
-0.13,0.06,0.65,1718102546.1075518
-0.28,0.03,0.59,1718102546.1075518
-0.3,0.03,0.62,1718102546.1075518
-0.63,0.05,0.5,1718102546.1085496
-0.61,-0.0,0.45,1718102546.1737359
-0.7,0.09,0.4,1718102546.1747355
-0.74,0.08,0.41,1718102546.1747355
-0.86,0.05,0.33,1718102546.1747355
-0.9,0.06,0.38,1718102546.240653
-0.72,0.05,0.34,1718102546.240653
-0.65,-0.01,0.49,1718102546.2416492
-0.59,-0.11,0.62,1718102546.306744
-0.49,-0.11,0.62,1718102546.3076584
-0.24,-0.08,0.52,1718102546.3086493
-0.15,-0.06,0.51,1718102546.3086493
-0.29,-0.02,0.42,1718102546.3737535
-0.32,-0.02,0.37,1718102546.3747432
-0.44,-0.07,0.22,1718102546.3747432
0.25,-0.33,0.49,1718102546.3747432
0.38,-0.34,0.3,1718102546.4407432
0.32,-0.36,0.32,1718102546.4416907
0.34,-0.41,0.39,1718102546.4416907
0.29,-0.41,0.49,1718102546.507139
0.23,-0.47,0.45,1718102546.507139
0.1,-0.54,0.67,1718102546.5081723
0.25,-0.5,0.88,1718102546.5081723
0.38,-0.54,0.87,1718102546.5740645
0.34,-0.52,0.74,1718102546.5740645
0.4,-0.49,0.71,1718102546.5750508
0.32,-0.49,0.69,1718102546.5750508
0.19,-0.51,0.5,1718102546.640302
0.31,-0.52,0.5,1718102546.6413038
0.41,-0.49,0.49,1718102546.6413038
0.18,-0.51,0.75,1718102546.6413038
0.23,-0.52,0.77,1718102546.7073238
0.08,-0.57,0.89,1718102546.7073238
-0.05,-0.54,0.91,1718102546.7083077
-0.03,-0.55,1.15,1718102546.7738872
-0.14,-0.61,1.2,1718102546.7738872
-0.25,-0.62,1.06,1718102546.7748866
-0.22,-0.6,1.0,1718102546.7748866
-0.11,-0.65,0.82,1718102546.8409052
-0.03,-0.65,0.64,1718102546.8409052
-0.09,-0.6,0.48,1718102546.8409052
-0.23,-0.59,0.2,1718102546.9070005
-0.38,-0.52,0.23,1718102546.907893
-0.41,-0.48,0.42,1718102546.907893
-0.34,-0.49,0.59,1718102546.907893
0.07,-0.07,0.64,1718102546.9739606
0.13,-0.07,0.67,1718102546.9739606
0.02,-0.06,0.52,1718102546.9749188
-0.24,-0.05,0.57,1718102546.9749188
-0.08,-0.07,0.51,1718102547.0409496
0.12,0.03,0.43,1718102547.0409496
0.08,0.05,0.31,1718102547.0418186
0.15,0.07,0.47,1718102547.0418186
0.27,0.08,0.47,1718102547.1070538
