X,Y,Z,Timestamp
-0.15,-0.03,0.29,1718102664.7302713
-0.32,-0.03,0.31,1718102664.731271
-0.31,-0.06,0.32,1718102664.731271
-0.34,-0.05,0.32,1718102664.7322724
-0.28,-0.08,0.27,1718102664.7322724
-0.12,0.09,0.59,1718102664.7322724
-0.1,0.07,0.59,1718102664.733273
-0.16,0.08,0.61,1718102664.733273
-0.13,-0.0,0.64,1718102664.733273
-0.14,-0.0,0.6,1718102664.733273
-0.18,0.05,0.64,1718102664.7342715
-0.15,0.07,0.64,1718102664.7342715
-0.15,0.07,0.62,1718102664.7342715
-0.17,0.06,0.6,1718102664.7352726
-0.19,-0.03,0.65,1718102664.7352726
-0.24,0.03,0.65,1718102664.7352726
-0.31,-0.03,0.59,1718102664.7362735
-0.29,0.01,0.61,1718102664.7727427
-0.23,-0.0,0.61,1718102664.7727427
-0.21,-0.02,0.63,1718102664.773647
-0.49,0.03,0.45,1718102664.773647
-0.49,0.02,0.51,1718102664.840007
-0.52,-0.09,0.62,1718102664.840007
-0.51,-0.03,0.59,1718102664.8409257
-0.59,-0.09,0.56,1718102664.9067564
-0.61,-0.09,0.54,1718102664.9067564
-0.57,-0.1,0.56,1718102664.907661
-0.7,-0.11,0.51,1718102664.907661
-0.7,-0.11,0.47,1718102664.9732287
-0.7,-0.13,0.45,1718102664.974138
-0.63,-0.09,0.41,1718102664.974138
-0.59,-0.15,0.44,1718102665.0396743
-0.31,-0.09,0.57,1718102665.0406902
-0.01,-0.07,0.59,1718102665.0406902
0.08,0.08,0.53,1718102665.0416858
0.01,0.1,0.54,1718102665.1067953
0.03,0.08,0.56,1718102665.1067953
-0.05,0.01,0.61,1718102665.1078064
-0.06,0.01,0.59,1718102665.1078064
-0.06,0.06,0.59,1718102665.1729193
-0.08,0.08,0.61,1718102665.1729193
-0.11,0.02,0.55,1718102665.1739495
-0.12,-0.03,0.59,1718102665.1739495
-0.09,0.03,0.52,1718102665.2397733
-0.11,0.04,0.55,1718102665.2397733
-0.13,0.02,0.54,1718102665.2407916
-0.1,-0.01,0.57,1718102665.30677
-0.12,-0.04,0.55,1718102665.30677
-0.21,-0.06,0.52,1718102665.30677
-0.21,-0.05,0.56,1718102665.307783
-0.05,-0.08,0.77,1718102665.372598
-0.04,-0.1,0.73,1718102665.373488
-0.1,-0.03,0.47,1718102665.373488
-0.1,-0.05,0.51,1718102665.4396458
-0.11,-0.01,0.59,1718102665.4405255
-0.08,-0.03,0.61,1718102665.4405255
-0.09,-0.03,0.55,1718102665.4415226
-0.08,0.03,0.62,1718102665.5069249
-0.06,0.01,0.62,1718102665.5069249
-0.06,0.08,0.67,1718102665.5079224
-0.0,0.04,0.66,1718102665.5084732
0.1,-0.0,0.7,1718102665.57328
0.13,0.01,0.75,1718102665.5736609
0.08,0.04,0.66,1718102665.5742214
-0.01,0.03,0.69,1718102665.574631
0.17,-0.05,0.55,1718102665.6401403
0.17,-0.05,0.54,1718102665.6401403
0.16,-0.05,0.52,1718102665.6411424
0.09,-0.1,0.57,1718102665.7066875
0.09,-0.12,0.59,1718102665.7066875
0.07,-0.12,0.55,1718102665.7076836
-0.01,-0.1,0.58,1718102665.7076836
-0.07,-0.13,0.53,1718102665.7734506
-0.04,-0.06,0.53,1718102665.7734506
0.02,-0.05,0.49,1718102665.7744803
0.08,-0.01,0.47,1718102665.7744803
-0.01,-0.08,0.5,1718102665.8399312
-0.08,-0.05,0.58,1718102665.840853
-0.16,-0.05,0.52,1718102665.8418527
-0.24,-0.09,0.54,1718102665.9061742
-0.3,-0.15,0.91,1718102665.9061742
-0.26,-0.09,0.93,1718102665.9071736
-0.25,-0.04,0.93,1718102665.9071736
-0.22,-0.13,0.92,1718102665.9729736
-0.15,-0.16,0.93,1718102665.9729736
-0.1,-0.02,0.78,1718102665.9739902
-0.08,-0.02,0.78,1718102666.0401244
-0.18,-0.04,0.71,1718102666.0401244
-0.25,-0.07,0.68,1718102666.0411363
-0.24,-0.06,0.58,1718102666.0411363
-0.21,-0.06,0.53,1718102666.106257
