X,Y,Z,Timestamp
-0.15,-0.44,0.68,1718102767.1336
0.07,-0.17,0.55,1718102767.1346
0.02,-0.15,0.41,1718102767.1356514
0.06,-0.09,0.39,1718102767.1366577
0.24,-0.08,0.41,1718102767.1366577
0.28,-0.04,0.31,1718102767.1366577
0.18,0.02,0.2,1718102767.1381178
0.07,0.03,0.22,1718102767.1381178
0.08,-0.04,0.25,1718102767.1391222
0.04,0.03,0.31,1718102767.1391222
0.03,-0.04,0.27,1718102767.139519
0.1,-0.06,0.34,1718102767.139519
0.03,-0.02,0.31,1718102767.139519
0.06,-0.05,0.37,1718102767.1405249
-0.03,-0.05,0.43,1718102767.1405249
-0.01,-0.09,0.42,1718102767.1405249
0.04,-0.09,0.41,1718102767.1415348
-0.04,-0.03,0.56,1718102767.1415348
-0.06,-0.11,0.53,1718102767.1415348
-0.06,-0.05,0.57,1718102767.1425467
-0.03,-0.1,0.63,1718102767.1425467
-0.09,-0.05,0.57,1718102767.1435246
-0.09,-0.03,0.56,1718102767.1435246
-0.12,-0.03,0.59,1718102767.1445255
-0.07,-0.07,0.54,1718102767.1445255
-0.18,-0.06,0.55,1718102767.1445255
-0.14,-0.07,0.52,1718102767.1455245
-0.19,-0.02,0.51,1718102767.1455245
-0.22,-0.06,0.51,1718102767.1467533
-0.15,0.04,0.48,1718102767.1716201
-0.18,-0.02,0.49,1718102767.172527
-0.47,-0.18,0.32,1718102767.172527
-0.32,-0.23,0.48,1718102767.2394016
-0.23,-0.29,0.49,1718102767.239678
0.02,-0.25,0.55,1718102767.2406888
0.17,-0.27,0.55,1718102767.2406888
0.24,-0.26,0.5,1718102767.3057487
0.18,-0.25,0.56,1718102767.3057487
0.16,-0.3,0.63,1718102767.3067575
0.19,-0.23,0.59,1718102767.3067575
0.14,-0.26,0.54,1718102767.3718362
0.13,-0.26,0.51,1718102767.372725
0.2,-0.29,0.52,1718102767.372725
0.33,-0.27,0.6,1718102767.3737326
0.41,-0.33,0.87,1718102767.439255
0.37,-0.33,0.75,1718102767.439255
0.31,-0.34,0.63,1718102767.4402678
0.39,-0.31,0.57,1718102767.5048876
0.31,-0.27,0.5,1718102767.5057604
0.26,-0.27,0.49,1718102767.5057604
0.24,-0.26,0.47,1718102767.506759
0.19,-0.28,0.49,1718102767.5719297
0.23,-0.28,0.48,1718102767.5728106
0.2,-0.27,0.43,1718102767.5728106
0.13,-0.25,0.43,1718102767.5738149
0.23,-0.27,0.33,1718102767.6391537
0.18,-0.24,0.48,1718102767.6394641
0.18,-0.24,0.36,1718102767.6401427
0.16,-0.22,0.47,1718102767.6401427
0.13,-0.31,0.47,1718102767.7056847
0.1,-0.25,0.52,1718102767.7056847
0.03,-0.34,0.57,1718102767.7066865
0.04,-0.28,0.48,1718102767.772403
-0.35,-0.36,0.73,1718102767.772403
-0.34,-0.44,0.77,1718102767.7734048
-0.33,-0.41,0.76,1718102767.7734048
-0.32,-0.4,0.89,1718102767.8391023
-0.3,-0.44,0.98,1718102767.8393931
-0.25,-0.42,0.95,1718102767.8393931
-0.24,-0.46,0.9,1718102767.905686
