X,Y,Z,Timestamp
-0.08,0.22,0.13,1718102508.8253036
0.15,0.13,0.28,1718102508.8263628
0.02,0.08,0.32,1718102508.8263628
-0.23,-0.0,0.52,1718102508.8263628
-0.38,-0.06,0.59,1718102508.827303
-0.49,-0.0,0.57,1718102508.827303
-0.45,-0.0,0.55,1718102508.8283036
-0.12,0.11,0.53,1718102508.8283036
-0.01,0.16,0.49,1718102508.8293033
0.17,0.14,0.51,1718102508.8293033
0.25,0.09,0.63,1718102508.830302
0.08,0.12,0.64,1718102508.830302
0.07,0.09,0.56,1718102508.830302
-0.02,0.13,0.52,1718102508.8313026
0.04,0.11,0.57,1718102508.8313026
-0.01,0.15,0.5,1718102508.8313026
-0.0,0.15,0.41,1718102508.8323197
-0.01,0.15,0.41,1718102508.8323197
0.1,0.19,0.46,1718102508.8323197
0.13,0.16,0.47,1718102508.8333101
0.15,0.12,0.52,1718102508.8333101
0.12,0.18,0.53,1718102508.8333101
0.11,0.11,0.59,1718102508.8343077
0.05,0.1,0.55,1718102508.8343077
0.03,0.07,0.55,1718102508.8343077
0.17,0.19,0.29,1718102508.8353019
0.23,0.18,0.39,1718102508.8353019
0.27,0.18,0.31,1718102508.8353019
0.31,0.22,0.34,1718102508.836303
0.32,0.09,0.4,1718102508.836303
0.32,0.15,0.39,1718102508.840334
0.4,0.18,0.45,1718102508.841304
0.33,0.18,0.39,1718102508.841304
0.28,0.15,0.41,1718102508.842304
0.31,0.2,0.32,1718102508.9079561
0.47,0.2,0.29,1718102508.9079561
0.54,0.24,0.2,1718102508.9089603
0.45,0.21,0.23,1718102508.9089603
0.51,0.27,0.13,1718102508.974185
0.4,0.26,0.18,1718102508.974185
0.36,0.25,0.19,1718102508.9751897
0.39,0.19,0.23,1718102508.9751897
0.18,0.15,0.21,1718102509.0403082
-0.51,-0.52,0.44,1718102509.0412307
-0.36,-0.61,0.57,1718102509.0412307
-0.2,-0.65,0.76,1718102509.1073816
-0.26,-0.59,0.82,1718102509.1073816
-0.2,-0.54,0.7,1718102509.1083992
-0.12,-0.54,0.67,1718102509.1083992
-0.08,-0.49,0.66,1718102509.1740406
-0.01,-0.54,0.62,1718102509.1749334
-0.13,-0.61,0.68,1718102509.1749334
-0.22,-0.68,0.73,1718102509.1759334
-0.4,-0.7,0.91,1718102509.241126
-0.54,-0.75,0.95,1718102509.2421231
-0.39,-0.8,0.99,1718102509.2421231
-0.24,-0.76,0.82,1718102509.307147
-0.03,-0.62,0.58,1718102509.3081357
0.01,-0.67,0.75,1718102509.3081357
0.07,-0.69,0.76,1718102509.3091362
0.16,-0.68,0.67,1718102509.3737934
0.19,-0.67,0.72,1718102509.374712
0.16,-0.68,0.82,1718102509.374712
0.06,-0.72,0.95,1718102509.374712
-0.02,-0.83,0.95,1718102509.44102
-0.08,-0.75,0.79,1718102509.442032
0.16,-0.69,0.62,1718102509.442032
0.51,-0.69,0.45,1718102509.50708
0.29,-0.63,0.54,1718102509.508071
0.16,-0.72,0.63,1718102509.508071
0.24,-0.7,0.81,1718102509.508071
0.14,-0.75,0.81,1718102509.5740695
0.04,-0.68,0.7,1718102509.5740695
0.1,-0.25,0.38,1718102509.5750716
0.27,-0.12,0.31,1718102509.5750716
0.25,-0.05,0.18,1718102509.6405234
0.29,-0.06,0.25,1718102509.6415415
0.27,-0.08,0.39,1718102509.6425364
0.25,-0.07,0.52,1718102509.7073946
0.24,-0.1,0.53,1718102509.7083073
0.1,-0.05,0.5,1718102509.7083073
0.14,-0.08,0.46,1718102509.7093253
0.18,-0.0,0.41,1718102509.7738411
0.2,0.05,0.36,1718102509.7748225
0.2,0.1,0.26,1718102509.7748225
0.17,0.11,0.25,1718102509.7758212
0.28,0.08,0.23,1718102509.8408272
0.32,0.08,0.39,1718102509.8408272
0.25,0.05,0.37,1718102509.842016
-0.47,-0.05,0.49,1718102509.842016
-0.31,0.03,0.45,1718102509.9078958
