X,Y,Z,Timestamp
-0.15,-0.02,0.37,1718102617.7079031
-0.13,-0.07,0.46,1718102617.7079031
-0.15,-0.1,0.47,1718102617.7079031
-0.1,-0.08,0.44,1718102617.708905
-0.03,-0.08,0.52,1718102617.708905
-0.05,-0.03,0.5,1718102617.7099028
0.02,-0.03,0.54,1718102617.7099028
-0.06,-0.01,0.49,1718102617.710905
-0.02,-0.1,0.54,1718102617.710905
0.05,-0.08,0.65,1718102617.711904
0.02,-0.06,0.65,1718102617.711904
-0.03,-0.12,0.68,1718102617.7129025
-0.05,-0.07,0.68,1718102617.7129025
-0.02,-0.14,0.55,1718102617.7129025
-0.07,-0.08,0.64,1718102617.713902
-0.03,-0.08,0.58,1718102617.7142162
-0.05,-0.08,0.57,1718102617.7142162
0.04,-0.05,0.54,1718102617.7152257
0.08,-0.1,0.58,1718102617.7152257
0.18,-0.03,0.58,1718102617.7152257
0.18,-0.08,0.59,1718102617.7735753
0.08,-0.08,0.64,1718102617.7735753
0.08,-0.07,0.58,1718102617.7744849
0.09,-0.1,0.54,1718102617.7754507
-0.05,-0.12,0.64,1718102617.8405519
-0.14,-0.16,0.59,1718102617.8405519
-0.22,-0.2,0.59,1718102617.8415706
-0.41,-0.14,0.59,1718102617.8415706
-0.52,-0.16,0.45,1718102617.9072292
-0.54,-0.13,0.44,1718102617.9072292
-0.56,-0.06,0.34,1718102617.9080865
-0.64,-0.1,0.42,1718102617.9736366
-0.64,-0.09,0.53,1718102617.9746375
-0.65,-0.13,0.49,1718102617.9746375
-0.62,-0.13,0.49,1718102617.975636
-0.49,-0.11,0.54,1718102618.0401523
-0.39,-0.12,0.58,1718102618.0401523
-0.29,-0.11,0.55,1718102618.0411663
-0.14,0.03,-0.39,1718102618.1072326
-0.05,-0.08,-0.34,1718102618.1072326
0.04,-0.18,-0.15,1718102618.1072326
0.04,-0.22,0.36,1718102618.1082444
0.13,-0.32,0.62,1718102618.173401
0.05,-0.35,0.62,1718102618.174416
-0.07,-0.37,0.72,1718102618.174416
-0.17,-0.44,0.88,1718102618.1754143
-0.2,-0.5,0.97,1718102618.2405367
-0.12,-0.52,1.01,1718102618.2405367
-0.06,-0.44,1.06,1718102618.2415562
0.05,-0.45,0.95,1718102618.3072257
-0.0,-0.41,0.82,1718102618.3072257
-0.07,-0.43,0.75,1718102618.308238
-0.06,-0.39,0.66,1718102618.308238
-0.1,-0.39,0.67,1718102618.3738394
-0.12,-0.38,0.68,1718102618.374715
-0.1,-0.38,0.74,1718102618.374715
-0.13,-0.37,0.71,1718102618.439988
-0.19,-0.37,0.67,1718102618.4410052
-0.23,-0.39,0.51,1718102618.441991
-0.29,-0.39,0.48,1718102618.441991
-0.31,-0.42,0.42,1718102618.5071769
-0.26,-0.41,0.45,1718102618.5071769
-0.39,-0.37,0.45,1718102618.5071769
-0.47,-0.4,0.41,1718102618.5734413
-0.54,-0.41,0.49,1718102618.5734413
-0.57,-0.39,0.56,1718102618.5734413
0.44,-0.29,0.57,1718102618.5744524
0.38,-0.34,0.62,1718102618.6397042
0.27,-0.33,0.65,1718102618.6406999
0.18,-0.38,0.69,1718102618.6406999
0.19,-0.38,0.75,1718102618.6406999
0.21,-0.37,0.79,1718102618.706496
0.29,-0.39,0.82,1718102618.7073774
0.26,-0.34,0.82,1718102618.7073774
0.19,-0.43,0.9,1718102618.7073774
0.13,-0.41,0.99,1718102618.7733095
0.19,-0.45,1.03,1718102618.7733095
0.13,-0.46,0.86,1718102618.7743266
0.04,-0.41,0.7,1718102618.8402112
0.01,-0.38,0.63,1718102618.8402112
-0.02,-0.37,0.64,1718102618.8410807
-0.01,-0.41,0.7,1718102618.8410807
-0.17,-0.09,0.24,1718102618.9072242
-0.19,-0.05,0.23,1718102618.9072242
-0.2,-0.03,0.27,1718102618.908236
-0.16,0.01,0.23,1718102618.908236
-0.13,-0.02,0.24,1718102618.9734704
