X,Y,Z,Timestamp
-0.26,-0.16,0.24,1718102695.6293533
-0.23,-0.23,0.26,1718102695.6293533
-0.34,-0.19,0.24,1718102695.6307387
-0.28,-0.22,0.27,1718102695.6307387
-0.3,-0.16,0.28,1718102695.6317441
-0.22,-0.18,0.3,1718102695.6317441
-0.25,-0.18,0.28,1718102695.6331222
-0.23,-0.16,0.28,1718102695.6331222
-0.19,-0.18,0.35,1718102695.6341267
-0.23,-0.18,0.34,1718102695.6341267
-0.17,-0.1,0.38,1718102695.6341267
0.12,-0.14,0.52,1718102695.6351268
0.07,-0.13,0.54,1718102695.6351268
0.09,-0.15,0.51,1718102695.6391997
0.18,-0.14,0.49,1718102695.6391997
0.16,-0.11,0.49,1718102695.6391997
0.19,-0.1,0.46,1718102695.640205
0.15,-0.15,0.47,1718102695.7057214
0.1,-0.13,0.53,1718102695.706704
0.08,-0.15,0.53,1718102695.7076998
0.11,-0.15,0.51,1718102695.708701
0.1,-0.18,0.47,1718102695.7730207
0.07,-0.15,0.55,1718102695.7730207
0.13,-0.19,0.54,1718102695.7740765
0.1,-0.15,0.4,1718102695.7750883
0.18,-0.16,0.36,1718102695.8393967
0.15,-0.15,0.29,1718102695.8404098
-0.18,-0.28,0.57,1718102695.8404098
-0.2,-0.28,0.64,1718102695.9063845
-0.21,-0.3,0.78,1718102695.9063845
-0.2,-0.37,0.82,1718102695.9073968
-0.23,-0.34,0.82,1718102695.9073968
-0.27,-0.39,0.78,1718102695.9728084
-0.33,-0.37,0.81,1718102695.973271
-0.31,-0.4,0.8,1718102695.9738152
-0.26,-0.39,0.72,1718102696.0397177
-0.25,-0.39,0.67,1718102696.0397177
-0.21,-0.38,0.7,1718102696.040731
-0.2,-0.36,0.73,1718102696.040731
-0.26,-0.35,0.72,1718102696.1063864
-0.28,-0.39,0.68,1718102696.1063864
-0.33,-0.39,0.55,1718102696.1073987
-0.29,-0.36,0.45,1718102696.1731234
-0.19,-0.31,0.47,1718102696.1731234
-0.18,-0.35,0.44,1718102696.1731234
-0.04,-0.3,0.41,1718102696.1741185
-0.06,-0.3,0.44,1718102696.2397287
-0.14,-0.33,0.53,1718102696.2397287
-0.03,-0.35,0.54,1718102696.2397287
0.06,-0.33,0.55,1718102696.240743
0.11,-0.28,0.53,1718102696.3066404
0.05,-0.29,0.59,1718102696.3066404
0.09,-0.3,0.62,1718102696.307651
0.26,-0.32,0.53,1718102696.3730717
0.33,-0.29,0.49,1718102696.3730717
0.32,-0.29,0.48,1718102696.3741019
0.31,-0.35,0.72,1718102696.3741019
0.23,-0.38,0.81,1718102696.4391778
0.14,-0.48,0.89,1718102696.4400532
0.17,-0.45,0.88,1718102696.4400532
0.23,-0.48,0.96,1718102696.4410503
0.25,-0.48,1.05,1718102696.5062618
0.23,-0.44,0.99,1718102696.5062618
0.24,-0.49,0.99,1718102696.5071774
0.25,-0.46,0.98,1718102696.5071774
0.24,-0.41,0.91,1718102696.5728757
