X,Y,Z,Timestamp
0.05,-0.18,0.23,1718102882.5686944
0.22,-0.17,0.56,1718102882.5696998
-0.2,-0.3,0.21,1718102882.5696998
-0.22,0.06,0.26,1718102882.5707
-0.45,-0.19,0.07,1718102882.5707
0.06,0.32,0.59,1718102882.5707
-0.25,-0.13,0.29,1718102882.5719113
0.09,0.05,0.62,1718102882.5719113
-0.19,-0.16,0.38,1718102882.5729163
-0.2,-0.01,0.38,1718102882.5729163
-0.08,0.19,0.41,1718102882.5739162
-0.1,0.07,0.52,1718102882.5739162
-0.11,-0.0,0.59,1718102882.5749176
-0.13,-0.03,0.57,1718102882.5749176
-0.14,-0.03,0.54,1718102882.5749176
-0.13,-0.05,0.62,1718102882.5759158
-0.16,-0.05,0.6,1718102882.5759158
-0.12,-0.02,0.55,1718102882.5759158
-0.15,0.04,0.56,1718102882.637568
-0.11,-0.0,0.56,1718102882.638545
-0.08,0.06,0.53,1718102882.638545
-0.1,-0.07,0.54,1718102882.7044873
-0.09,-0.03,0.57,1718102882.7053592
-0.08,-0.01,0.67,1718102882.7053592
-0.17,-0.05,0.66,1718102882.7063606
-0.22,-0.03,0.63,1718102882.7708542
-0.34,-0.0,0.44,1718102882.771854
0.05,-0.39,1.01,1718102882.771854
0.12,-0.39,1.09,1718102882.7728574
0.22,-0.42,1.12,1718102882.8381903
0.09,-0.42,1.07,1718102882.838503
0.12,-0.42,1.17,1718102882.8390262
0.13,-0.46,1.21,1718102882.904966
0.15,-0.49,1.13,1718102882.904966
0.04,-0.52,1.08,1718102882.9059799
0.13,-0.52,1.08,1718102882.9059799
0.64,0.11,1.06,1718102882.9713159
-0.1,-0.36,0.38,1718102882.9722722
0.15,-0.37,1.02,1718102882.9722722
0.03,-0.33,0.68,1718102882.973246
-0.13,-0.28,0.44,1718102883.038275
-0.05,-0.17,0.47,1718102883.038275
-0.29,-0.0,0.39,1718102883.0392935
-0.29,0.12,0.25,1718102883.1049385
-0.29,0.16,0.15,1718102883.1049385
-0.35,0.26,-0.01,1718102883.1049385
-0.12,0.25,-0.1,1718102883.105949
-0.13,0.26,-0.42,1718102883.1716185
-0.03,0.42,-0.32,1718102883.1716185
0.26,0.65,0.34,1718102883.1726358
-0.6,-0.34,-0.02,1718102883.1726358
-0.4,-0.7,0.21,1718102883.2379327
0.09,-0.66,0.52,1718102883.2379327
0.54,-0.75,0.94,1718102883.238946
0.18,-0.58,0.7,1718102883.304358
-0.05,-0.74,1.14,1718102883.304358
0.02,-0.7,1.35,1718102883.3053524
0.08,-0.54,0.34,1718102883.3053524
-0.08,-0.29,0.03,1718102883.370768
0.13,0.33,0.48,1718102883.3717663
-0.1,-0.11,0.23,1718102883.3717663
-0.05,-0.1,0.38,1718102883.3727615
-0.18,0.08,0.33,1718102883.4375026
