X,Y,Z,Timestamp
0.1,-0.3,0.52,1718102810.1461735
0.03,-0.29,0.65,1718102810.1461735
-0.08,-0.3,0.57,1718102810.1471734
-0.0,-0.28,0.51,1718102810.1471734
-0.02,-0.26,0.58,1718102810.1486042
-0.01,-0.29,0.54,1718102810.1486042
-0.01,-0.32,0.54,1718102810.1486042
-0.02,-0.26,0.55,1718102810.1506095
-0.26,-0.21,0.55,1718102810.1506095
-0.27,-0.21,0.68,1718102810.1516085
-0.23,-0.23,0.72,1718102810.1516085
-0.23,-0.13,0.46,1718102810.1516085
-0.55,-0.08,0.24,1718102810.1516085
-0.49,0.02,0.32,1718102810.1526093
-0.28,0.03,0.58,1718102810.1526093
-0.24,-0.02,0.51,1718102810.1526093
-0.14,-0.02,0.47,1718102810.1536112
-0.21,-0.02,0.45,1718102810.1536112
-0.27,-0.04,0.55,1718102810.1536112
-0.34,-0.02,0.48,1718102810.1536112
-0.35,0.04,0.46,1718102810.1546102
-0.34,0.06,0.47,1718102810.1546102
-0.27,-0.02,0.69,1718102810.1546102
-0.36,0.08,0.42,1718102810.1556108
-0.44,0.1,0.5,1718102810.1556108
-0.52,0.04,0.39,1718102810.1709943
-0.5,-0.02,0.49,1718102810.172
-0.46,-0.05,0.7,1718102810.172
-0.44,-0.03,0.58,1718102810.237956
-0.49,-0.08,0.6,1718102810.2389703
-0.55,-0.11,0.59,1718102810.2399697
-0.54,-0.08,0.54,1718102810.2409697
-0.57,-0.03,0.45,1718102810.3047216
-0.63,0.03,0.38,1718102810.3057218
-0.63,0.02,0.39,1718102810.3057218
-0.45,0.03,0.43,1718102810.3057218
-0.38,-0.01,0.51,1718102810.3711221
-0.05,0.07,0.41,1718102810.3721433
-0.46,-0.0,0.44,1718102810.373145
-0.47,0.03,0.46,1718102810.4382849
-0.31,0.04,0.51,1718102810.4392948
-0.43,0.1,0.32,1718102810.4392948
-0.05,0.13,0.26,1718102810.4402914
0.23,0.08,0.5,1718102810.5050995
0.17,0.05,0.58,1718102810.5050995
-0.01,0.06,0.54,1718102810.506125
0.08,0.04,0.62,1718102810.506125
0.13,0.03,0.62,1718102810.5717623
-0.41,0.07,0.44,1718102810.5717623
-0.27,0.07,0.45,1718102810.5729396
-0.1,0.06,0.51,1718102810.5739503
-0.15,0.05,0.45,1718102810.6377873
-0.29,0.06,0.35,1718102810.6388013
-0.15,0.13,0.17,1718102810.6398005
-0.03,-0.09,0.39,1718102810.6398005
-0.11,-0.13,0.49,1718102810.7045908
-0.01,-0.14,0.58,1718102810.7056012
0.06,-0.13,0.75,1718102810.7056012
0.13,-0.14,0.93,1718102810.7712734
0.14,-0.2,1.11,1718102810.772283
-0.1,-0.16,0.82,1718102810.772283
-0.72,-0.25,0.53,1718102810.7732797
-0.4,-0.15,0.61,1718102810.838291
-0.1,-0.13,0.59,1718102810.838291
-0.21,-0.19,0.48,1718102810.839248
-0.13,-0.19,0.62,1718102810.9045568
-0.05,-0.17,0.5,1718102810.9045568
0.08,-0.17,0.56,1718102810.9059267
-0.18,-0.23,0.59,1718102810.9059267
-0.26,-0.19,0.59,1718102810.971388
-0.36,-0.23,0.5,1718102810.9723978
-0.42,-0.19,0.46,1718102810.9723978
-0.39,-0.25,0.55,1718102810.9733968
-0.38,-0.19,0.41,1718102811.0380208
-0.32,-0.19,0.44,1718102811.0390227
-0.24,-0.21,0.48,1718102811.0390227
-0.14,-0.18,0.48,1718102811.10514
-0.14,-0.25,0.54,1718102811.10514
-0.29,-0.29,0.58,1718102811.1061385
-0.47,-0.28,0.42,1718102811.1071374
-0.58,-0.3,0.21,1718102811.1711783
-0.68,-0.3,0.26,1718102811.172191
-0.58,-0.49,0.38,1718102811.1731865
-0.08,-0.48,0.7,1718102811.237586
-0.05,-0.39,0.81,1718102811.238585
-0.31,-0.42,0.65,1718102811.238585
0.03,-0.36,0.5,1718102811.2395852
0.1,-0.29,0.56,1718102811.3049536
-0.2,-0.38,0.53,1718102811.3049536
0.09,-0.38,0.52,1718102811.3059394
0.33,-0.36,0.71,1718102811.3059394
0.06,-0.43,0.78,1718102811.3709736
0.01,-0.45,0.67,1718102811.371995
0.15,-0.38,0.67,1718102811.371995
-0.02,-0.48,0.54,1718102811.437706
